rank,kind,function,file,calls,self_ir,self_pct_total,self_est_sec,inclusive_ir,inclusive_pct_total,inclusive_est_sec
1,solver,"tsp::BranchBoundSolver::computeOneTree(tsp::BranchBoundSolver::PartialSol const&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&) const",solver/tsp_bb_26_07_02/tsp_bb,0,26603901,21.120000,0.008082128,45195641,35.880000,0.013730433
2,solver,"tsp::BranchBoundSolver::buildBranchCandidates(tsp::BranchBoundSolver::PartialSol const&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&) const",solver/tsp_bb_26_07_02/tsp_bb,0,22847973,18.140000,0.006941752,34392914,27.300000,0.010447069
3,solver,"tsp::BranchBoundSolver::search(tsp::BranchBoundSolver::PartialSol&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&, int, tsp::BranchStrategy, tsp::BranchBoundSolver::OneTree const*)::{lambda(bool)#1}::operator()(bool) const",solver/tsp_bb_26_07_02/tsp_bb,0,17680699,14.040000,0.005372778,1527251655,1212.400000,0.463957008
4,runtime,./malloc/./malloc/malloc.c:_int_free,lib/x86_64-linux-gnu/libc.so.6,0,11827129,9.390000,0.003593332,12221597,9.700000,0.003711962
5,runtime,./malloc/./malloc/malloc.c:malloc,lib/x86_64-linux-gnu/libc.so.6,0,9768151,7.750000,0.002965743,11007183,8.740000,0.003344593
6,runtime,./malloc/./malloc/malloc.c:free,lib/x86_64-linux-gnu/libc.so.6,0,6089468,4.830000,0.001848328,18963508,15.050000,0.005759282
7,solver,"void std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >::_M_realloc_insert<tsp::BranchBoundSolver::Edge const&>(__gnu_cxx::__normal_iterator<tsp::BranchBoundSolver::Edge*, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> > >, tsp::BranchBoundSolver::Edge const&)",solver/tsp_bb_26_07_02/tsp_bb,0,5719612,4.540000,0.001737351,14984764,11.900000,0.004553851
8,runtime,operator new(unsigned long),lib/x86_64-linux-gnu/libstdc++.so.6.0.33,0,3479680,2.760000,0.001056187,14919653,11.840000,0.004530890
9,solver,"tsp::BranchBoundSolver::chooseBranchEdge(tsp::BranchBoundSolver::PartialSol const&, tsp::BranchBoundSolver::OneTree const&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> > const&, tsp::BranchBoundSolver::Edge&) const",solver/tsp_bb_26_07_02/tsp_bb,0,3438681,2.730000,0.001044707,3438681,2.730000,0.001044707
10,solver,"std::_Function_handler<void (int, double, int), tsp::BranchBoundSolver::lkSearch(int, int, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<bool, std::allocator<bool> >&) const::{lambda(int, double, int)#1}>::_M_invoke(std::_Any_data const&, int&&, double&&, int&&)",solver/tsp_bb_26_07_02/tsp_bb,0,2775453,2.200000,0.000841888,7336212,5.820000,0.002227177
11,solver,"tsp::BranchBoundSolver::search(tsp::BranchBoundSolver::PartialSol&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&, int, tsp::BranchStrategy, tsp::BranchBoundSolver::OneTree const*)",solver/tsp_bb_26_07_02/tsp_bb,0,2234950,1.770000,0.000677337,1581939307,1255.800000,0.480565168
12,runtime,./string/../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S:__memcpy_avx_unaligned_erms,lib/x86_64-linux-gnu/libc.so.6,0,2084715,1.650000,0.000631416,2084715,1.650000,0.000631416
13,runtime,"std::vector<int, std::allocator<int> >::_M_fill_assign(unsigned long, int const&)",solver/tsp_bb_26_07_02/tsp_bb,0,1286165,1.020000,0.000390330,2463640,1.960000,0.000750046
14,runtime,./malloc/./malloc/malloc.c:_int_malloc,lib/x86_64-linux-gnu/libc.so.6,0,1068654,0.850000,0.000325275,1227992,0.970000,0.000371196
15,runtime,./malloc/./malloc/arena.c:free,???,0,652443,0.520000,0.000198992,0,0.000000,0.000000000
16,solver,"tsp::BranchBoundSolver::search(tsp::BranchBoundSolver::PartialSol&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&, int, tsp::BranchStrategy, tsp::BranchBoundSolver::OneTree const*)::{lambda(tsp::BranchBoundSolver::search(tsp::BranchBoundSolver::PartialSol&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&, int, tsp::BranchStrategy, tsp::BranchBoundSolver::OneTree const*)::LevelChanges const&)#1}::operator()(tsp::BranchBoundSolver::search(tsp::BranchBoundSolver::PartialSol&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&, int, tsp::BranchStrategy, tsp::BranchBoundSolver::OneTree const*)::LevelChanges const&) const",solver/tsp_bb_26_07_02/tsp_bb,0,577504,0.460000,0.000176031,0,0.000000,0.000000000
17,runtime,operator delete(void*),lib/x86_64-linux-gnu/libstdc++.so.6.0.33,0,434960,0.350000,0.000133937,19834209,15.750000,0.006027155
18,runtime,"operator delete(void*, unsigned long)",lib/x86_64-linux-gnu/libstdc++.so.6.0.33,0,434858,0.350000,0.000133937,20699893,16.430000,0.006287375
19,runtime,./string/../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S:__memset_avx2_unaligned_erms,lib/x86_64-linux-gnu/libc.so.6,0,349316,0.280000,0.000107149,0,0.000000,0.000000000
20,runtime,"void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)",solver/tsp_bb_26_07_02/tsp_bb,0,342648,0.270000,0.000103323,0,0.000000,0.000000000
21,runtime,./malloc/./malloc/malloc.c:_int_free_merge_chunk,lib/x86_64-linux-gnu/libc.so.6,0,252706,0.200000,0.000076535,0,0.000000,0.000000000
22,solver,"tsp::BranchBoundSolver::lkSearch(int, int, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<bool, std::allocator<bool> >&) const",solver/tsp_bb_26_07_02/tsp_bb,0,247313,0.200000,0.000076535,4931337,3.910000,0.001496265
23,solver,tsp::BranchBoundSolver::isTour(tsp::BranchBoundSolver::OneTree const&) const,solver/tsp_bb_26_07_02/tsp_bb,0,217289,0.170000,0.000065055,0,0.000000,0.000000000
24,solver,"tsp::BranchBoundSolver::twoOpt(std::vector<int, std::allocator<int> >&, double&) const",solver/tsp_bb_26_07_02/tsp_bb,0,141802,0.110000,0.000042094,0,0.000000,0.000000000
25,solver,(below main),solver/tsp_bb_26_07_02/tsp_bb,0,0,0.000000,0.000000000,123984025,98.420000,0.037663023
26,solver,./csu/../csu/libc-start.c:__libc_start_main@@GLIBC_2.34,lib/x86_64-linux-gnu/libc.so.6,0,0,0.000000,0.000000000,123984013,98.420000,0.037663023
27,solver,./csu/../sysdeps/nptl/libc_start_call_main.h:(below main),lib/x86_64-linux-gnu/libc.so.6,0,0,0.000000,0.000000000,123983839,98.420000,0.037663023
28,solver,main,solver/tsp_bb_26_07_02/tsp_bb,0,0,0.000000,0.000000000,123973450,98.420000,0.037663023
