rank,kind,function,file,calls,self_ir,self_pct_total,self_est_sec,inclusive_ir,inclusive_pct_total,inclusive_est_sec
1,solver,"tsp::BranchBoundSolver::computeOneTree(tsp::BranchBoundSolver::PartialSol const&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> > const&) const",solver/tsp_bb_26_07_02_full/tsp_bb,0,30356157,26.990000,0.009268373,41897722,37.250000,0.012791660
2,solver,"tsp::BranchBoundSolver::buildBranchCandidates(tsp::BranchBoundSolver::PartialSol const&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&, std::vector<unsigned long, std::allocator<unsigned long> >*) const",solver/tsp_bb_26_07_02_full/tsp_bb,0,23255828,20.670000,0.007098083,34556972,30.720000,0.010549256
3,solver,"tsp::BranchBoundSolver::searchSmart(tsp::BranchBoundSolver::PartialSol&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&, int, tsp::BranchBoundSolver::OneTree const*)",solver/tsp_bb_26_07_02_full/tsp_bb,0,13411034,11.920000,0.004093331,1357488274,1206.800000,0.414415432
4,runtime,./malloc/./malloc/malloc.c:_int_free,lib/x86_64-linux-gnu/libc.so.6,0,9064343,8.060000,0.002767806,9456441,8.410000,0.002887996
5,runtime,./malloc/./malloc/malloc.c:malloc,lib/x86_64-linux-gnu/libc.so.6,0,7295422,6.490000,0.002228668,8700992,7.740000,0.002657918
6,runtime,./malloc/./malloc/malloc.c:free,lib/x86_64-linux-gnu/libc.so.6,0,4567584,4.060000,0.001394205,14513409,12.900000,0.004429863
7,solver,"tsp::BranchBoundSolver::chooseSmartBranchEdge(tsp::BranchBoundSolver::PartialSol const&, tsp::BranchBoundSolver::OneTree const&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> > const&, tsp::BranchBoundSolver::Edge&) const",solver/tsp_bb_26_07_02_full/tsp_bb,0,2944438,2.620000,0.000899709,2944438,2.620000,0.000899709
8,solver,"std::_Function_handler<void (int, double, int), tsp::BranchBoundSolver::lkSearch(int, int, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<bool, std::allocator<bool> >&) const::{lambda(int, double, int)#1}>::_M_invoke(std::_Any_data const&, int&&, double&&, int&&)",solver/tsp_bb_26_07_02_full/tsp_bb,0,2775453,2.470000,0.000848199,7336212,6.520000,0.002238970
9,runtime,operator new(unsigned long),lib/x86_64-linux-gnu/libstdc++.so.6.0.33,0,2610032,2.320000,0.000796689,11635108,10.340000,0.003550759
10,runtime,"void std::vector<unsigned long, std::allocator<unsigned long> >::_M_realloc_insert<unsigned long const&>(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, unsigned long const&)",solver/tsp_bb_26_07_02_full/tsp_bb,0,2609904,2.320000,0.000796689,8182606,7.270000,0.002496520
11,runtime,./string/../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S:__memcpy_avx_unaligned_erms,lib/x86_64-linux-gnu/libc.so.6,0,1458866,1.300000,0.000446420,1458866,1.300000,0.000446420
12,runtime,"std::vector<int, std::allocator<int> >::_M_fill_assign(unsigned long, int const&)",solver/tsp_bb_26_07_02_full/tsp_bb,0,1286094,1.140000,0.000391476,2463504,2.190000,0.000752047
13,runtime,./malloc/./malloc/malloc.c:_int_malloc,lib/x86_64-linux-gnu/libc.so.6,0,1250524,1.110000,0.000381174,1392368,1.240000,0.000425816
14,solver,"std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >::reserve(unsigned long)",solver/tsp_bb_26_07_02_full/tsp_bb,0,724560,0.640000,0.000219776,2071574,1.840000,0.000631856
15,runtime,./string/../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S:__memset_avx2_unaligned_erms,lib/x86_64-linux-gnu/libc.so.6,0,551332,0.490000,0.000168266,0,0.000000,0.000000000
16,solver,"std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >::~vector()",solver/tsp_bb_26_07_02_full/tsp_bb,0,516675,0.460000,0.000157964,4330812,3.850000,0.001322091
17,runtime,./malloc/./malloc/arena.c:free,???,0,489384,0.440000,0.000151096,0,0.000000,0.000000000
18,runtime,"std::vector<int, std::allocator<int> >::~vector()",solver/tsp_bb_26_07_02_full/tsp_bb,0,354536,0.320000,0.000109888,3148030,2.800000,0.000961521
19,solver,"tsp::BranchBoundSolver::shouldPrune(double, double) const",solver/tsp_bb_26_07_02_full/tsp_bb,0,344109,0.310000,0.000106454,0,0.000000,0.000000000
20,runtime,"void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)",solver/tsp_bb_26_07_02_full/tsp_bb,0,342648,0.300000,0.000103020,1045420,0.930000,0.000319362
21,runtime,operator delete(void*),lib/x86_64-linux-gnu/libstdc++.so.6.0.33,0,326254,0.290000,0.000099586,15166698,13.480000,0.004629035
22,runtime,"operator delete(void*, unsigned long)",lib/x86_64-linux-gnu/libstdc++.so.6.0.33,0,326184,0.290000,0.000099586,15816458,14.060000,0.004828208
23,solver,"tsp::BranchBoundSolver::lkSearch(int, int, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<bool, std::allocator<bool> >&) const",solver/tsp_bb_26_07_02_full/tsp_bb,0,247313,0.220000,0.000075548,4931337,4.380000,0.001504093
24,solver,tsp::BranchBoundSolver::isTour(tsp::BranchBoundSolver::OneTree const&) const,solver/tsp_bb_26_07_02_full/tsp_bb,0,217289,0.190000,0.000065246,0,0.000000,0.000000000
25,runtime,./malloc/./malloc/malloc.c:malloc_consolidate,lib/x86_64-linux-gnu/libc.so.6,0,215468,0.190000,0.000065246,0,0.000000,0.000000000
26,runtime,./malloc/./malloc/malloc.c:_int_free_merge_chunk,lib/x86_64-linux-gnu/libc.so.6,0,165415,0.150000,0.000051510,0,0.000000,0.000000000
27,solver,"tsp::BranchBoundSolver::twoOpt(std::vector<int, std::allocator<int> >&, double&) const",solver/tsp_bb_26_07_02_full/tsp_bb,0,141802,0.130000,0.000044642,0,0.000000,0.000000000
28,solver,(below main),solver/tsp_bb_26_07_02_full/tsp_bb,0,0,0.000000,0.000000000,110501759,98.230000,0.033732207
29,solver,./csu/../csu/libc-start.c:__libc_start_main@@GLIBC_2.34,lib/x86_64-linux-gnu/libc.so.6,0,0,0.000000,0.000000000,110501747,98.230000,0.033732207
30,solver,./csu/../sysdeps/nptl/libc_start_call_main.h:(below main),lib/x86_64-linux-gnu/libc.so.6,0,0,0.000000,0.000000000,110501573,98.230000,0.033732207
31,solver,main,solver/tsp_bb_26_07_02_full/tsp_bb,0,0,0.000000,0.000000000,110491184,98.220000,0.033728773
32,solver,"(anonymous namespace)::solveInput(std::istream&, (anonymous namespace)::CliOptions const&)",solver/tsp_bb_26_07_02_full/tsp_bb,0,0,0.000000,0.000000000,110439339,98.180000,0.033715037
33,solver,tsp::BranchBoundSolver::solve(),solver/tsp_bb_26_07_02_full/tsp_bb,0,0,0.000000,0.000000000,110148693,97.920000,0.033625753
34,solver,"tsp::BranchBoundSolver::findInitialTour(std::vector<int, std::allocator<int> >&, double&)",solver/tsp_bb_26_07_02_full/tsp_bb,0,0,0.000000,0.000000000,5179010,4.600000,0.001579641
35,solver,"tsp::BranchBoundSolver::linKernighan(std::vector<int, std::allocator<int> >&, double&) const",solver/tsp_bb_26_07_02_full/tsp_bb,0,0,0.000000,0.000000000,4998311,4.440000,0.001524697
36,solver,"tsp::BranchBoundSolver::linKernighanImprove(std::vector<int, std::allocator<int> >&, double&) const",solver/tsp_bb_26_07_02_full/tsp_bb,0,0,0.000000,0.000000000,4971260,4.420000,0.001517829
37,solver,./elf/./elf/rtld.c:dl_main,lib/x86_64-linux-gnu/ld-linux-x86-64.so.2,0,0,0.000000,0.000000000,1835733,1.630000,0.000559742
