rank,kind,function,file,calls,self_ir,self_pct_total,self_est_sec,inclusive_ir,inclusive_pct_total,inclusive_est_sec
1,solver,"tsp::BranchBoundSolver::computeOneTree(tsp::BranchBoundSolver::PartialSol const&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> > const&) const",solver/tsp_bb_26_07_14_full_min_edge/tsp_bb,0,56990669,27.360000,0.012523468,79690172,38.260000,0.017512715
2,solver,"tsp::BranchBoundSolver::buildBranchCandidates(tsp::BranchBoundSolver::PartialSol const&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&, std::vector<unsigned long, std::allocator<unsigned long> >*) const",solver/tsp_bb_26_07_14_full_min_edge/tsp_bb,0,43385140,20.830000,0.009534497,67026540,32.180000,0.014729722
3,runtime,./malloc/./malloc/malloc.c:_int_free,lib/x86_64-linux-gnu/libc.so.6,0,19926077,9.570000,0.004380467,20422065,9.800000,0.004485745
4,runtime,./malloc/./malloc/malloc.c:malloc,lib/x86_64-linux-gnu/libc.so.6,0,16356367,7.850000,0.003593173,18320867,8.790000,0.004023439
5,solver,"tsp::BranchBoundSolver::search(tsp::BranchBoundSolver::PartialSol&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&, int, tsp::BranchBoundSolver::OneTree const*)",solver/tsp_bb_26_07_14_full_min_edge/tsp_bb,0,12789554,6.140000,0.002810457,1398401035,671.300000,0.307273546
6,solver,"tsp::BranchBoundSolver::bpPartition(tsp::BranchBoundSolver::PartialSol&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> > const&, tsp::BranchBoundSolver::OneTree const&)",solver/tsp_bb_26_07_14_full_min_edge/tsp_bb,0,10825650,5.200000,0.002380191,61931784,29.730000,0.013608286
7,runtime,./malloc/./malloc/malloc.c:free,lib/x86_64-linux-gnu/libc.so.6,0,10223332,4.910000,0.002247450,31740754,15.240000,0.006975792
8,runtime,operator new(unsigned long),lib/x86_64-linux-gnu/libstdc++.so.6.0.33,0,5841888,2.800000,0.001281641,24890821,11.950000,0.005469863
9,runtime,"void std::vector<unsigned long, std::allocator<unsigned long> >::_M_realloc_insert<unsigned long const&>(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, unsigned long const&)",solver/tsp_bb_26_07_14_full_min_edge/tsp_bb,0,5535708,2.660000,0.001217559,17407032,8.360000,0.003826615
10,runtime,./string/../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S:__memcpy_avx_unaligned_erms,lib/x86_64-linux-gnu/libc.so.6,0,3738434,1.790000,0.000819335,3738434,1.790000,0.000819335
