rank,kind,function,file,calls,self_ir,self_pct_total,self_est_sec,inclusive_ir,inclusive_pct_total,inclusive_est_sec
1,solver,"tsp::BranchBoundSolver::updateOneTreeAfterCandidateRemoval(tsp::BranchBoundSolver::PartialSol const&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> > const&, tsp::BranchBoundSolver::OneTree&, std::vector<unsigned long, std::allocator<unsigned long> > const&) const",solver/tsp_bb_26_07_14_min_edge/tsp_bb,0,56403665,24.570000,0.013687858,64261220,27.990000,0.015593128
2,solver,"tsp::BranchBoundSolver::buildBranchCandidates(tsp::BranchBoundSolver::PartialSol const&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&, std::vector<unsigned long, std::allocator<unsigned long> >*) const",solver/tsp_bb_26_07_14_min_edge/tsp_bb,0,43329480,18.870000,0.010512409,66941016,29.160000,0.016244931
3,runtime,./malloc/./malloc/malloc.c:_int_free,lib/x86_64-linux-gnu/libc.so.6,0,18243023,7.950000,0.004428916,18677138,8.130000,0.004529194
4,solver,"tsp::BranchBoundSolver::updateOneTreeAfterForbid(tsp::BranchBoundSolver::PartialSol const&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> > const&, tsp::BranchBoundSolver::OneTree&, tsp::BranchBoundSolver::Edge const&) const",solver/tsp_bb_26_07_14_min_edge/tsp_bb,0,15479405,6.740000,0.003754830,35537411,15.480000,0.008623852
5,runtime,./malloc/./malloc/malloc.c:malloc,lib/x86_64-linux-gnu/libc.so.6,0,14955121,6.510000,0.003626698,16742719,7.290000,0.004061233
6,solver,"tsp::BranchBoundSolver::search(tsp::BranchBoundSolver::PartialSol&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&, int, tsp::BranchBoundSolver::OneTree const*)",solver/tsp_bb_26_07_14_min_edge/tsp_bb,0,14473327,6.300000,0.003509707,1556125614,677.700000,0.377544227
7,solver,"tsp::(anonymous namespace)::DisjointSet::unite(int, int)",solver/tsp_bb_26_07_14_min_edge/tsp_bb,0,11271595,4.910000,0.002735343,11271595,4.910000,0.002735343
8,solver,"tsp::BranchBoundSolver::bpPartition(tsp::BranchBoundSolver::PartialSol&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> > const&, tsp::BranchBoundSolver::OneTree const&)",solver/tsp_bb_26_07_14_min_edge/tsp_bb,0,10489011,4.570000,0.002545931,52638623,22.930000,0.012774220
9,runtime,./malloc/./malloc/malloc.c:free,lib/x86_64-linux-gnu/libc.so.6,0,9351356,4.070000,0.002267382,29030425,12.640000,0.007041698
10,runtime,"void std::vector<unsigned long, std::allocator<unsigned long> >::_M_realloc_insert<unsigned long const&>(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, unsigned long const&)",solver/tsp_bb_26_07_14_min_edge/tsp_bb,0,5522532,2.410000,0.001342602,17365779,7.560000,0.004211649
