rank,kind,function,file,calls,self_ir,self_pct_total,self_est_sec,inclusive_ir,inclusive_pct_total,inclusive_est_sec
1,solver,"tsp::BranchBoundSolver::computeOneTree(tsp::BranchBoundSolver::PartialSol const&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&) const",solver/tsp_bb_26_07_02/tsp_bb,0,29378641346,27.980000,4.511356426,45461910876,43.290000,6.979864893
2,solver,"tsp::BranchBoundSolver::buildBranchCandidates(tsp::BranchBoundSolver::PartialSol const&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&) const",solver/tsp_bb_26_07_02/tsp_bb,0,17028970975,16.220000,2.615232353,27323760602,26.020000,4.195335748
3,solver,"tsp::BranchBoundSolver::search(tsp::BranchBoundSolver::PartialSol&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&, int, tsp::BranchStrategy, tsp::BranchBoundSolver::OneTree const*)::{lambda(bool)#1}::operator()(bool) const",solver/tsp_bb_26_07_02/tsp_bb,0,13513808213,12.870000,2.075094968,2632306252487,2506.700000,404.167875416
4,runtime,./malloc/./malloc/malloc.c:_int_free,lib/x86_64-linux-gnu/libc.so.6,0,9710525071,9.250000,1.491424122,10568574373,10.060000,1.622024505
5,runtime,./malloc/./malloc/malloc.c:malloc,lib/x86_64-linux-gnu/libc.so.6,0,8061804310,7.680000,1.238285109,9785961809,9.320000,1.502710575
6,runtime,./malloc/./malloc/malloc.c:free,lib/x86_64-linux-gnu/libc.so.6,0,5017570404,4.780000,0.770703492,16123741606,15.350000,2.474957868
7,solver,"void std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >::_M_realloc_insert<tsp::BranchBoundSolver::Edge const&>(__gnu_cxx::__normal_iterator<tsp::BranchBoundSolver::Edge*, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> > >, tsp::BranchBoundSolver::Edge const&)",solver/tsp_bb_26_07_02/tsp_bb,0,4885237570,4.650000,0.749742937,13216668220,12.590000,2.029949157
8,solver,"tsp::BranchBoundSolver::chooseBranchEdge(tsp::BranchBoundSolver::PartialSol const&, tsp::BranchBoundSolver::OneTree const&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> > const&, tsp::BranchBoundSolver::Edge&) const",solver/tsp_bb_26_07_02/tsp_bb,0,3155036044,3.000000,0.483705121,3155036044,3.000000,0.483705121
9,runtime,operator new(unsigned long),lib/x86_64-linux-gnu/libstdc++.so.6.0.33,0,2867183072,2.730000,0.440171660,13011540595,12.390000,1.997702149
10,solver,"tsp::BranchBoundSolver::search(tsp::BranchBoundSolver::PartialSol&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&, int, tsp::BranchStrategy, tsp::BranchBoundSolver::OneTree const*)",solver/tsp_bb_26_07_02/tsp_bb,0,1905195894,1.810000,0.291835423,2686376072731,2558.200000,412.471479990
11,runtime,./string/../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S:__memcpy_avx_unaligned_erms,lib/x86_64-linux-gnu/libc.so.6,0,1631971521,1.550000,0.249914312,1631971521,1.550000,0.249914312
12,runtime,./malloc/./malloc/malloc.c:_int_malloc,lib/x86_64-linux-gnu/libc.so.6,0,1556747993,1.480000,0.238627860,1712474043,1.630000,0.262813116
13,runtime,"std::vector<int, std::allocator<int> >::_M_fill_assign(unsigned long, int const&)",solver/tsp_bb_26_07_02/tsp_bb,0,973187649,0.930000,0.149948587,1977270144,1.880000,0.303121876
14,runtime,./malloc/./malloc/malloc.c:_int_free_merge_chunk,lib/x86_64-linux-gnu/libc.so.6,0,600646106,0.570000,0.091903973,858049302,0.820000,0.132212733
15,runtime,./malloc/./malloc/arena.c:free,???,0,537596829,0.510000,0.082229871,0,0.000000,0.000000000
16,solver,"tsp::BranchBoundSolver::search(tsp::BranchBoundSolver::PartialSol&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&, int, tsp::BranchStrategy, tsp::BranchBoundSolver::OneTree const*)::{lambda(tsp::BranchBoundSolver::search(tsp::BranchBoundSolver::PartialSol&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&, int, tsp::BranchStrategy, tsp::BranchBoundSolver::OneTree const*)::LevelChanges const&)#1}::operator()(tsp::BranchBoundSolver::search(tsp::BranchBoundSolver::PartialSol&, std::vector<tsp::BranchBoundSolver::Edge, std::allocator<tsp::BranchBoundSolver::Edge> >&, int, tsp::BranchStrategy, tsp::BranchBoundSolver::OneTree const*)::LevelChanges const&) const",solver/tsp_bb_26_07_02/tsp_bb,0,495780492,0.470000,0.075780469,0,0.000000,0.000000000
17,runtime,operator delete(void*),lib/x86_64-linux-gnu/libstdc++.so.6.0.33,0,358397884,0.340000,0.054819914,16840538155,16.040000,2.586210046
18,runtime,"operator delete(void*, unsigned long)",lib/x86_64-linux-gnu/libstdc++.so.6.0.33,0,358397844,0.340000,0.054819914,17557332591,16.720000,2.695849873
19,runtime,./string/../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S:__memset_avx2_unaligned_erms,lib/x86_64-linux-gnu/libc.so.6,0,290746008,0.280000,0.045145811,0,0.000000,0.000000000
20,solver,(below main),solver/tsp_bb_26_07_02/tsp_bb,0,0,0.000000,0.000000000,105008738406,100.000000,16.123504026
21,solver,./csu/../csu/libc-start.c:__libc_start_main@@GLIBC_2.34,lib/x86_64-linux-gnu/libc.so.6,0,0,0.000000,0.000000000,105008738394,100.000000,16.123504026
22,solver,./csu/../sysdeps/nptl/libc_start_call_main.h:(below main),lib/x86_64-linux-gnu/libc.so.6,0,0,0.000000,0.000000000,105008738220,100.000000,16.123504026
23,solver,main,solver/tsp_bb_26_07_02/tsp_bb,0,0,0.000000,0.000000000,105008727831,100.000000,16.123504026
24,solver,"(anonymous namespace)::solveInput(std::istream&, (anonymous namespace)::CliOptions const&)",solver/tsp_bb_26_07_02/tsp_bb,0,0,0.000000,0.000000000,105008675003,100.000000,16.123504026
25,solver,tsp::BranchBoundSolver::solve(tsp::BranchStrategy),solver/tsp_bb_26_07_02/tsp_bb,0,0,0.000000,0.000000000,105008340580,100.000000,16.123504026
