instance,config,status,driver_wall,Optimal cost,Nodes created,Nodes expanded,Instance wall seconds,Search-node potential updates triggered,Potential updates rebuilt,Potential updates stopped prunable,Potential updates slow-warm extended,Search-node potential iterations,last_debug
gr96,P32,ok,0.431,55209,8306,3860,0.42855949999999998,3878,555,3315,0,36484,"[tsp-debug] exact solve finished: feasible=yes cost=55209 expanded=3860 created=8306 pruned_bound=5074 pruned_infeasible=2 root_potential_iterations=335 root_fixing_calls=1 root_fixing_tested=4464 root_fixing_fixed_zero=3760 root_fixing_tree_tested=96 root_fixing_fixed_one=1 root_fixing_active_after=799 root_fixing_seconds=0.000176625 root_candidate_compaction_calls=1 root_candidate_edges_before=4560 root_candidate_edges_after=800 root_candidate_compaction_seconds=1.4041e-05 search_node_potential_update_candidates=7181 search_node_potential_updates_triggered=3878 potential_skipped_strategy_none=0 potential_skipped_update_depth_zero=0 potential_skipped_budget_exhausted=0 potential_skipped_numerically_unsafe=0 potential_skipped_invalid_state=0 potential_skipped_zero_violation=0 potential_skipped_zero_iteration_limit=0 potential_skipped_depth_interval=1265 potential_skipped_max_depth=0 potential_skipped_near_leaf=0 potential_skipped_gap_change_below_minimum=2038 potential_improved=3877 potential_pruned=3322 potential_rebuilt=555 potential_stopped_prunable=3315 potential_large_gap_tier=0 potential_shallow_depth_tier=0 potential_slow_warm_extended=0 potential_gap_change_shallow_bypasses=10 potential_probes_started=0 potential_probes_continued=0 potential_probes_rejected=0 search_node_potential_iterations=36484 potential_seconds=0.337524018 potential_rebuild_seconds=0.018534386 initial_tour_seconds=0.0125975 root_ascent_seconds=0.040098 replacement_seconds=0.011336535 sibling_warm_probes=0 sibling_warm_accepted=0 sibling_warm_rejected=0"
gr96,P64,ok,0.682,55209,15475,6936,0.67924525000000002,6709,475,6231,0,66207,"[tsp-debug] exact solve finished: feasible=yes cost=55209 expanded=6936 created=15475 pruned_bound=9549 pruned_infeasible=5 root_potential_iterations=335 root_fixing_calls=1 root_fixing_tested=4464 root_fixing_fixed_zero=3760 root_fixing_tree_tested=96 root_fixing_fixed_one=1 root_fixing_active_after=799 root_fixing_seconds=0.000174792 root_candidate_compaction_calls=1 root_candidate_edges_before=4560 root_candidate_edges_after=800 root_candidate_compaction_seconds=1.3375e-05 search_node_potential_update_candidates=13169 search_node_potential_updates_triggered=6709 potential_skipped_strategy_none=0 potential_skipped_update_depth_zero=0 potential_skipped_budget_exhausted=0 potential_skipped_numerically_unsafe=0 potential_skipped_invalid_state=0 potential_skipped_zero_violation=0 potential_skipped_zero_iteration_limit=0 potential_skipped_depth_interval=1168 potential_skipped_max_depth=0 potential_skipped_near_leaf=0 potential_skipped_gap_change_below_minimum=5292 potential_improved=6709 potential_pruned=6234 potential_rebuilt=475 potential_stopped_prunable=6231 potential_large_gap_tier=0 potential_shallow_depth_tier=0 potential_slow_warm_extended=0 potential_gap_change_shallow_bypasses=10 potential_probes_started=0 potential_probes_continued=0 potential_probes_rejected=0 search_node_potential_iterations=66207 potential_seconds=0.579483682 potential_rebuild_seconds=0.015944624 initial_tour_seconds=0.011997458 root_ascent_seconds=0.039575292 replacement_seconds=0.020053192 sibling_warm_probes=0 sibling_warm_accepted=0 sibling_warm_rejected=0"
gr96,SW,ok,0.426,55209,8328,3867,0.42360599999999998,3893,554,3332,1,36632,"[tsp-debug] exact solve finished: feasible=yes cost=55209 expanded=3867 created=8328 pruned_bound=5096 pruned_infeasible=2 root_potential_iterations=335 root_fixing_calls=1 root_fixing_tested=4464 root_fixing_fixed_zero=3760 root_fixing_tree_tested=96 root_fixing_fixed_one=1 root_fixing_active_after=799 root_fixing_seconds=0.0001695 root_candidate_compaction_calls=1 root_candidate_edges_before=4560 root_candidate_edges_after=800 root_candidate_compaction_seconds=1.3333e-05 search_node_potential_update_candidates=7204 search_node_potential_updates_triggered=3893 potential_skipped_strategy_none=0 potential_skipped_update_depth_zero=0 potential_skipped_budget_exhausted=0 potential_skipped_numerically_unsafe=0 potential_skipped_invalid_state=0 potential_skipped_zero_violation=0 potential_skipped_zero_iteration_limit=0 potential_skipped_depth_interval=1277 potential_skipped_max_depth=0 potential_skipped_near_leaf=0 potential_skipped_gap_change_below_minimum=2034 potential_improved=3892 potential_pruned=3338 potential_rebuilt=554 potential_stopped_prunable=3332 potential_large_gap_tier=0 potential_shallow_depth_tier=0 potential_slow_warm_extended=1 potential_gap_change_shallow_bypasses=10 potential_probes_started=0 potential_probes_continued=0 potential_probes_rejected=0 search_node_potential_iterations=36632 potential_seconds=0.335641621 potential_rebuild_seconds=0.01818524 initial_tour_seconds=0.012146833 root_ascent_seconds=0.038171917 replacement_seconds=0.011491089 sibling_warm_probes=0 sibling_warm_accepted=0 sibling_warm_rejected=0"
st70,P32,ok,0.240,675,7595,3047,0.237436166,4152,440,3705,0,37164,"[tsp-debug] exact solve finished: feasible=yes cost=675 expanded=3047 created=7595 pruned_bound=4884 pruned_infeasible=0 root_potential_iterations=396 root_fixing_calls=1 root_fixing_tested=2345 root_fixing_fixed_zero=1933 root_fixing_tree_tested=70 root_fixing_fixed_one=0 root_fixing_active_after=482 root_fixing_seconds=9.3916e-05 root_candidate_compaction_calls=1 root_candidate_edges_before=2415 root_candidate_edges_after=482 root_candidate_compaction_seconds=1.1834e-05 search_node_potential_update_candidates=6758 search_node_potential_updates_triggered=4152 potential_skipped_strategy_none=0 potential_skipped_update_depth_zero=0 potential_skipped_budget_exhausted=0 potential_skipped_numerically_unsafe=0 potential_skipped_invalid_state=0 potential_skipped_zero_violation=0 potential_skipped_zero_iteration_limit=0 potential_skipped_depth_interval=1184 potential_skipped_max_depth=0 potential_skipped_near_leaf=0 potential_skipped_gap_change_below_minimum=1422 potential_improved=4152 potential_pruned=3712 potential_rebuilt=440 potential_stopped_prunable=3705 potential_large_gap_tier=0 potential_shallow_depth_tier=0 potential_slow_warm_extended=0 potential_gap_change_shallow_bypasses=4 potential_probes_started=0 potential_probes_continued=0 potential_probes_rejected=0 search_node_potential_iterations=37164 potential_seconds=0.193556153 potential_rebuild_seconds=0.008957715 initial_tour_seconds=0.005113 root_ascent_seconds=0.021751792 replacement_seconds=0.003072538 sibling_warm_probes=0 sibling_warm_accepted=0 sibling_warm_rejected=0"
st70,P64,ok,0.312,675,13909,5895,0.30962229200000002,6850,243,6607,0,50558,"[tsp-debug] exact solve finished: feasible=yes cost=675 expanded=5895 created=13909 pruned_bound=8539 pruned_infeasible=0 root_potential_iterations=396 root_fixing_calls=1 root_fixing_tested=2345 root_fixing_fixed_zero=1933 root_fixing_tree_tested=70 root_fixing_fixed_one=0 root_fixing_active_after=482 root_fixing_seconds=9.9917e-05 root_candidate_compaction_calls=1 root_candidate_edges_before=2415 root_candidate_edges_after=482 root_candidate_compaction_seconds=7.833e-06 search_node_potential_update_candidates=12501 search_node_potential_updates_triggered=6850 potential_skipped_strategy_none=0 potential_skipped_update_depth_zero=0 potential_skipped_budget_exhausted=0 potential_skipped_numerically_unsafe=0 potential_skipped_invalid_state=0 potential_skipped_zero_violation=0 potential_skipped_zero_iteration_limit=0 potential_skipped_depth_interval=602 potential_skipped_max_depth=0 potential_skipped_near_leaf=0 potential_skipped_gap_change_below_minimum=5049 potential_improved=6850 potential_pruned=6607 potential_rebuilt=243 potential_stopped_prunable=6607 potential_large_gap_tier=0 potential_shallow_depth_tier=0 potential_slow_warm_extended=0 potential_gap_change_shallow_bypasses=4 potential_probes_started=0 potential_probes_continued=0 potential_probes_rejected=0 search_node_potential_iterations=50558 potential_seconds=0.264336067 potential_rebuild_seconds=0.005173036 initial_tour_seconds=0.005081417 root_ascent_seconds=0.02152625 replacement_seconds=0.006444638 sibling_warm_probes=0 sibling_warm_accepted=0 sibling_warm_rejected=0"
st70,SW,ok,0.239,675,7595,3047,0.23668345900000001,4152,440,3705,0,37164,"[tsp-debug] exact solve finished: feasible=yes cost=675 expanded=3047 created=7595 pruned_bound=4884 pruned_infeasible=0 root_potential_iterations=396 root_fixing_calls=1 root_fixing_tested=2345 root_fixing_fixed_zero=1933 root_fixing_tree_tested=70 root_fixing_fixed_one=0 root_fixing_active_after=482 root_fixing_seconds=8.8791e-05 root_candidate_compaction_calls=1 root_candidate_edges_before=2415 root_candidate_edges_after=482 root_candidate_compaction_seconds=6.625e-06 search_node_potential_update_candidates=6758 search_node_potential_updates_triggered=4152 potential_skipped_strategy_none=0 potential_skipped_update_depth_zero=0 potential_skipped_budget_exhausted=0 potential_skipped_numerically_unsafe=0 potential_skipped_invalid_state=0 potential_skipped_zero_violation=0 potential_skipped_zero_iteration_limit=0 potential_skipped_depth_interval=1184 potential_skipped_max_depth=0 potential_skipped_near_leaf=0 potential_skipped_gap_change_below_minimum=1422 potential_improved=4152 potential_pruned=3712 potential_rebuilt=440 potential_stopped_prunable=3705 potential_large_gap_tier=0 potential_shallow_depth_tier=0 potential_slow_warm_extended=0 potential_gap_change_shallow_bypasses=4 potential_probes_started=0 potential_probes_continued=0 potential_probes_rejected=0 search_node_potential_iterations=37164 potential_seconds=0.193145204 potential_rebuild_seconds=0.008836247 initial_tour_seconds=0.005055292 root_ascent_seconds=0.021657375 replacement_seconds=0.00307023 sibling_warm_probes=0 sibling_warm_accepted=0 sibling_warm_rejected=0"
rat99,P32,ok,0.080,1211,339,112,0.077371042000000001,169,20,147,0,1472,"[tsp-debug] exact solve finished: feasible=yes cost=1211 expanded=112 created=339 pruned_bound=241 pruned_infeasible=0 root_potential_iterations=400 root_fixing_calls=1 root_fixing_tested=4752 root_fixing_fixed_zero=4239 root_fixing_tree_tested=99 root_fixing_fixed_one=0 root_fixing_active_after=612 root_fixing_seconds=0.00016475 root_candidate_compaction_calls=1 root_candidate_edges_before=4851 root_candidate_edges_after=612 root_candidate_compaction_seconds=1.7333e-05 search_node_potential_update_candidates=258 search_node_potential_updates_triggered=169 potential_skipped_strategy_none=0 potential_skipped_update_depth_zero=0 potential_skipped_budget_exhausted=0 potential_skipped_numerically_unsafe=0 potential_skipped_invalid_state=0 potential_skipped_zero_violation=0 potential_skipped_zero_iteration_limit=0 potential_skipped_depth_interval=39 potential_skipped_max_depth=0 potential_skipped_near_leaf=0 potential_skipped_gap_change_below_minimum=50 potential_improved=167 potential_pruned=147 potential_rebuilt=20 potential_stopped_prunable=147 potential_large_gap_tier=0 potential_shallow_depth_tier=0 potential_slow_warm_extended=0 potential_gap_change_shallow_bypasses=3 potential_probes_started=0 potential_probes_continued=0 potential_probes_rejected=0 search_node_potential_iterations=1472 potential_seconds=0.015141712 potential_rebuild_seconds=0.000627918 initial_tour_seconds=0.010107459 root_ascent_seconds=0.049998792 replacement_seconds=0.000478089 sibling_warm_probes=0 sibling_warm_accepted=0 sibling_warm_rejected=0"
rat99,P64,ok,0.097,1211,775,290,0.094441541000000004,399,27,371,0,3351,"[tsp-debug] exact solve finished: feasible=yes cost=1211 expanded=290 created=775 pruned_bound=524 pruned_infeasible=0 root_potential_iterations=400 root_fixing_calls=1 root_fixing_tested=4752 root_fixing_fixed_zero=4239 root_fixing_tree_tested=99 root_fixing_fixed_one=0 root_fixing_active_after=612 root_fixing_seconds=0.000169666 root_candidate_compaction_calls=1 root_candidate_edges_before=4851 root_candidate_edges_after=612 root_candidate_compaction_seconds=1.6833e-05 search_node_potential_update_candidates=660 search_node_potential_updates_triggered=399 potential_skipped_strategy_none=0 potential_skipped_update_depth_zero=0 potential_skipped_budget_exhausted=0 potential_skipped_numerically_unsafe=0 potential_skipped_invalid_state=0 potential_skipped_zero_violation=0 potential_skipped_zero_iteration_limit=0 potential_skipped_depth_interval=58 potential_skipped_max_depth=0 potential_skipped_near_leaf=0 potential_skipped_gap_change_below_minimum=203 potential_improved=398 potential_pruned=371 potential_rebuilt=27 potential_stopped_prunable=371 potential_large_gap_tier=0 potential_shallow_depth_tier=0 potential_slow_warm_extended=0 potential_gap_change_shallow_bypasses=3 potential_probes_started=0 potential_probes_continued=0 potential_probes_rejected=0 search_node_potential_iterations=3351 potential_seconds=0.030889421 potential_rebuild_seconds=0.000898877 initial_tour_seconds=0.009998083 root_ascent_seconds=0.050561917 replacement_seconds=0.00103538 sibling_warm_probes=0 sibling_warm_accepted=0 sibling_warm_rejected=0"
rat99,SW,ok,0.082,1211,398,141,0.079395416999999996,183,21,160,1,1598,"[tsp-debug] exact solve finished: feasible=yes cost=1211 expanded=141 created=398 pruned_bound=275 pruned_infeasible=0 root_potential_iterations=400 root_fixing_calls=1 root_fixing_tested=4752 root_fixing_fixed_zero=4239 root_fixing_tree_tested=99 root_fixing_fixed_one=0 root_fixing_active_after=612 root_fixing_seconds=0.000156458 root_candidate_compaction_calls=1 root_candidate_edges_before=4851 root_candidate_edges_after=612 root_candidate_compaction_seconds=1.4958e-05 search_node_potential_update_candidates=300 search_node_potential_updates_triggered=183 potential_skipped_strategy_none=0 potential_skipped_update_depth_zero=0 potential_skipped_budget_exhausted=0 potential_skipped_numerically_unsafe=0 potential_skipped_invalid_state=0 potential_skipped_zero_violation=0 potential_skipped_zero_iteration_limit=0 potential_skipped_depth_interval=44 potential_skipped_max_depth=0 potential_skipped_near_leaf=0 potential_skipped_gap_change_below_minimum=73 potential_improved=181 potential_pruned=160 potential_rebuilt=21 potential_stopped_prunable=160 potential_large_gap_tier=0 potential_shallow_depth_tier=0 potential_slow_warm_extended=1 potential_gap_change_shallow_bypasses=3 potential_probes_started=0 potential_probes_continued=0 potential_probes_rejected=0 search_node_potential_iterations=1598 potential_seconds=0.017037201 potential_rebuild_seconds=0.000688082 initial_tour_seconds=0.010023375 root_ascent_seconds=0.050289333 replacement_seconds=0.000534032 sibling_warm_probes=0 sibling_warm_accepted=0 sibling_warm_rejected=0"
kroA100,P32,ok,5.131,21282,95925,38527,5.128656833,50832,4218,46562,0,364343,"[tsp-debug] exact solve finished: feasible=yes cost=21282 expanded=38527 created=95925 pruned_bound=63406 pruned_infeasible=0 root_potential_iterations=339 root_fixing_calls=1 root_fixing_tested=4850 root_fixing_fixed_zero=3470 root_fixing_tree_tested=100 root_fixing_fixed_one=0 root_fixing_active_after=1480 root_fixing_seconds=0.000168542 root_candidate_compaction_calls=1 root_candidate_edges_before=4950 root_candidate_edges_after=1480 root_candidate_compaction_seconds=1.7584e-05 search_node_potential_update_candidates=85136 search_node_potential_updates_triggered=50832 potential_skipped_strategy_none=0 potential_skipped_update_depth_zero=0 potential_skipped_budget_exhausted=0 potential_skipped_numerically_unsafe=0 potential_skipped_invalid_state=0 potential_skipped_zero_violation=3 potential_skipped_zero_iteration_limit=0 potential_skipped_depth_interval=12838 potential_skipped_max_depth=0 potential_skipped_near_leaf=0 potential_skipped_gap_change_below_minimum=21463 potential_improved=50828 potential_pruned=46610 potential_rebuilt=4218 potential_stopped_prunable=46562 potential_large_gap_tier=0 potential_shallow_depth_tier=0 potential_slow_warm_extended=0 potential_gap_change_shallow_bypasses=16 potential_probes_started=0 potential_probes_continued=0 potential_probes_rejected=0 search_node_potential_iterations=364343 potential_seconds=4.584554877 potential_rebuild_seconds=0.25990802 initial_tour_seconds=0.0160405 root_ascent_seconds=0.046282167 replacement_seconds=0.125158744 sibling_warm_probes=0 sibling_warm_accepted=0 sibling_warm_rejected=0"
