gap_change,skip_last_edges,total_seconds,potential_seconds,nodes_expanded,updates_triggered,skipped_near_leaf
0,0,2.498512,2.029425,4781,13762,0
0,16,2.551139,2.101826,4781,13762,0
0,24,2.491187,2.047404,4781,13762,0
0,32,2.523217,2.078588,4781,13762,0
0,40,2.541283,2.094780,4781,13762,0
0,48,2.553422,2.103456,4781,13762,0
0,64,2.557232,2.101771,7658,13710,2893
0,80,2.529196,2.024968,32840,12606,28323
0.0001,0,1.820011,1.448136,14809,16557,0
0.0001,16,1.836087,1.461395,14809,16557,0
0.0001,24,1.834345,1.460391,14809,16557,0
0.0001,32,1.834484,1.459626,14809,16557,0
0.0001,40,1.836720,1.463695,14809,16557,0
0.0001,48,1.837476,1.461084,14809,16557,0
0.0001,64,1.836405,1.456224,17487,16328,2893
0.0001,80,1.891203,1.316090,115488,13214,103657
