run_id,strategy,repeat,instance,status,wall_seconds,result,root_lower_bound,initial_upper_bound,final_upper_bound,final_lower_bound,final_relative_gap,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_fixing_calls,root_fixing_tested,root_fixing_fixed_zero,root_fixing_tree_tested,root_fixing_fixed_one,root_fixing_active_after,root_fixing_seconds,root_candidate_compaction_calls,root_candidate_edges_before,root_candidate_edges_after,root_candidate_compaction_seconds,initial_tour_seconds,initial_clk_starts,adaptive_clk_triggers,adaptive_clk_improvements,root_guided_lk_calls,root_guided_lk_improvements,root_guided_lk_reascents,root_guided_lk_seconds,root_guided_lk_total_gain,root_potential_iterations,root_ascent_seconds,root_external_potential_replacements,root_external_potential_warm_starts,lkh_provider_calls,lkh_provider_failures,lkh_provider_seconds,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_max_depth,search_node_potential_updates_skipped_near_leaf,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_change_below_minimum,potential_update_gap_change_shallow_bypasses,branch_lift_first_reorders,branch_zero_gain_splits,branch_ascent_strong_probes,branch_ascent_strong_seconds,search_node_potential_iterations,potential_update_seconds,potential_update_rebuild_seconds,sibling_warm_probes,sibling_warm_accepted,sibling_warm_rejected,replacement_seconds
GAPMST-P32-LKH-BP-ascent-strong-lift2-split2-677cd822c7b0,GAPMST-P32-LKH-BP-ascent-strong-lift2-split2,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.08527800440788269,10628.0,10602.983665769503,10628.0,10628.0,10628.0,0.0,27,3,16,3,1,1080,1037,48,14,75,0.000226443,0,0,0,0.0,0.007643643,0,0,0,0,0,0,0.0,0.0,64,0.008464647,0,1,1,0,0.021945264,16,16,0,0,0,0,0,0,0,0,0,0,0,0,3,7,56,0.0037951110000000003,124,0.000837346,7.1684e-05,0,0,0,7.2054e-05
GAPMST-P32-LKH-BP-ascent-strong-lift2-split2-677cd822c7b0,GAPMST-P32-LKH-BP-ascent-strong-lift2-split2,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.07051105983555317,1610.0,1607.9799999981672,1610.0,1610.0,1610.0,0.0,1,1,0,4,1,377,370,29,24,10,0.000123327,0,0,0,0.0,0.001350276,0,0,0,0,0,0,0.0,0.0,64,0.002315438,0,1,1,0,0.014257355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0.000205513,0,0.0,0.0,0,0,0,7.175e-06
GAPMST-P32-LKH-BP-ascent-strong-lift2-split2-677cd822c7b0,GAPMST-P32-LKH-BP-ascent-strong-lift2-split2,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.037777336314320564,2020.0,2013.3002809125421,2020.0,2020.0,2020.0,0.0,7,1,5,1,1,377,358,29,17,26,0.000138475,0,0,0,0.0,0.00131781,0,0,0,0,0,0,0.0,0.0,64,0.002396973,0,1,1,0,0.013646314,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,0.000653367,12,6.5141e-05,0.0,0,0,0,1.6115e-05
GAPMST-P32-LKH-BP-ascent-strong-lift2-split2-677cd822c7b0,GAPMST-P32-LKH-BP-ascent-strong-lift2-split2,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.05764743126928806,7542.0,7541.999999973971,7542.0,7542.0,7542.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.008265929,0,0,0,0,0,0,0.0,0.0,1,0.000215285,0,1,1,0,0.016314557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-BP-ascent-strong-lift2-split2-677cd822c7b0,GAPMST-P32-LKH-BP-ascent-strong-lift2-split2,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,ok,288.6269397586584,118282.0,117430.62999807068,118282.0,118282.0,118282.0,0.0,435333,137298,298983,4547,1,7874,6991,127,6,1004,0.000815254,0,0,0,0.0,0.35860487,12,0,0,0,0,0,0.0,0.0,64,0.028319789,0,1,1,0,0.086307272,399551,399551,0,0,0,0,0,0,0,0,0,0,0,0,62,301,1428,0.9105102009999999,6500565,248.51578760500058,16.08479959700004,0,0,0,3.747621178000104
GAPMST-P32-LKH-BP-ascent-strong-lift2-split2-677cd822c7b0,GAPMST-P32-LKH-BP-ascent-strong-lift2-split2,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.07610461115837097,25395.0,25354.239999786165,25395.0,25395.0,25395.0,0.0,9,1,6,0,1,1595,1539,58,23,87,0.000308691,0,0,0,0.0,0.013173418,0,0,0,0,0,0,0.0,0.0,64,0.009068693,0,1,1,0,0.030198833,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,16,0.001021677,23,0.00013927200000000002,0.0,0,0,0,6.9175e-05
GAPMST-P32-LKH-BP-ascent-strong-lift2-split2-677cd822c7b0,GAPMST-P32-LKH-BP-ascent-strong-lift2-split2,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,ok,0.3221536949276924,1950.0,1949.6660590678675,1950.0,1950.0,1950.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.056518158,0,0,0,0,0,0,0.0,0.0,64,0.055317338,0,1,1,0,0.15909951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-BP-ascent-strong-lift2-split2-677cd822c7b0,GAPMST-P32-LKH-BP-ascent-strong-lift2-split2,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.01202215626835823,3323.0,3322.999999998899,3323.0,3323.0,3323.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.000156466,0,0,0,0,0,0,0.0,0.0,1,3.6084e-05,0,1,1,0,0.00400498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-BP-ascent-strong-lift2-split2-677cd822c7b0,GAPMST-P32-LKH-BP-ascent-strong-lift2-split2,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,ok,8.30904216133058,6110.0,6074.619999904337,6110.0,6110.0,6110.0,0.0,12047,3330,8517,5,1,8255,7816,130,14,555,0.000968946,0,0,0,0.0,0.127811604,0,0,0,0,0,0,0.0,0.0,64,0.030123954,0,1,1,0,0.085608652,11028,11028,0,0,0,0,0,0,0,0,0,0,0,0,53,233,1388,0.7384731630000001,170821,6.44711140300002,0.30484890599999925,0,0,0,0.11463543400000008
GAPMST-P32-LKH-BP-ascent-strong-lift2-split2-677cd822c7b0,GAPMST-P32-LKH-BP-ascent-strong-lift2-split2,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,ok,14.488129522651434,6528.0,6486.5499998695095,6528.0,6528.0,6528.0,0.0,16336,4745,11507,4,1,11025,10518,150,4,653,0.001235462,0,0,0,0.0,0.191999155,0,0,0,0,0,0,0.0,0.0,64,0.041308759,0,1,1,0,0.198321519,15436,15436,0,0,0,0,0,0,0,0,0,0,0,0,27,134,608,0.4191256449999997,239799,12.321882770999984,0.528341405,0,0,0,0.18299765100000007
