comparison,factor,left,right,left_value,right_value,left_ok,right_ok,common_ok,left_only,right_only,result_agreements,result_mismatches,left_reference_checked,left_reference_mismatches,right_reference_checked,right_reference_mismatches,metric,paired_values,left_total,right_total,aggregate_relative_change,decreased,tied,increased
1,bp lift first depth、bp split zero gain depth、hk update gap change start depth、hk update max depth、hk update min gap change ratio、hk update skip last edges、root candidate compaction、求解器版本,GAPMST-P32-LKH-BP-base,CPHKMST-P32-LKH,bp lift first depth=0；bp split zero gain depth=0；hk update gap change start depth=0；hk update max depth=0；hk update min gap change ratio=0；hk update skip last edges=0；root candidate compaction=off；求解器版本=f8e487148cc9,bp lift first depth=<未设置>；bp split zero gain depth=<未设置>；hk update gap change start depth=<未设置>；hk update max depth=<未设置>；hk update min gap change ratio=<未设置>；hk update skip last edges=<未设置>；root candidate compaction=<未设置>；求解器版本=129d73c9e0df,43,43,43,,,43,,43,,43,,wall_seconds,43,1532.479452457279,1728.248080253601,0.1277463312688556,4,0,39
1,bp lift first depth、bp split zero gain depth、hk update gap change start depth、hk update max depth、hk update min gap change ratio、hk update skip last edges、root candidate compaction、求解器版本,GAPMST-P32-LKH-BP-base,CPHKMST-P32-LKH,bp lift first depth=0；bp split zero gain depth=0；hk update gap change start depth=0；hk update max depth=0；hk update min gap change ratio=0；hk update skip last edges=0；root candidate compaction=off；求解器版本=f8e487148cc9,bp lift first depth=<未设置>；bp split zero gain depth=<未设置>；hk update gap change start depth=<未设置>；hk update max depth=<未设置>；hk update min gap change ratio=<未设置>；hk update skip last edges=<未设置>；root candidate compaction=<未设置>；求解器版本=129d73c9e0df,43,43,43,,,43,,43,,43,,root_lower_bound,43,898754.3886494648,898754.3886494648,0.0,0,43,0
1,bp lift first depth、bp split zero gain depth、hk update gap change start depth、hk update max depth、hk update min gap change ratio、hk update skip last edges、root candidate compaction、求解器版本,GAPMST-P32-LKH-BP-base,CPHKMST-P32-LKH,bp lift first depth=0；bp split zero gain depth=0；hk update gap change start depth=0；hk update max depth=0；hk update min gap change ratio=0；hk update skip last edges=0；root candidate compaction=off；求解器版本=f8e487148cc9,bp lift first depth=<未设置>；bp split zero gain depth=<未设置>；hk update gap change start depth=<未设置>；hk update max depth=<未设置>；hk update min gap change ratio=<未设置>；hk update skip last edges=<未设置>；root candidate compaction=<未设置>；求解器版本=129d73c9e0df,43,43,43,,,43,,43,,43,,branches,43,2612950.0,2612950.0,0.0,0,43,0
1,bp lift first depth、bp split zero gain depth、hk update gap change start depth、hk update max depth、hk update min gap change ratio、hk update skip last edges、root candidate compaction、求解器版本,GAPMST-P32-LKH-BP-base,CPHKMST-P32-LKH,bp lift first depth=0；bp split zero gain depth=0；hk update gap change start depth=0；hk update max depth=0；hk update min gap change ratio=0；hk update skip last edges=0；root candidate compaction=off；求解器版本=f8e487148cc9,bp lift first depth=<未设置>；bp split zero gain depth=<未设置>；hk update gap change start depth=<未设置>；hk update max depth=<未设置>；hk update min gap change ratio=<未设置>；hk update skip last edges=<未设置>；root candidate compaction=<未设置>；求解器版本=129d73c9e0df,43,43,43,,,43,,43,,43,,initial_tour_seconds,43,2.827845424,2.872603847,0.015827747379731028,19,0,24
1,bp lift first depth、bp split zero gain depth、hk update gap change start depth、hk update max depth、hk update min gap change ratio、hk update skip last edges、root candidate compaction、求解器版本,GAPMST-P32-LKH-BP-base,CPHKMST-P32-LKH,bp lift first depth=0；bp split zero gain depth=0；hk update gap change start depth=0；hk update max depth=0；hk update min gap change ratio=0；hk update skip last edges=0；root candidate compaction=off；求解器版本=f8e487148cc9,bp lift first depth=<未设置>；bp split zero gain depth=<未设置>；hk update gap change start depth=<未设置>；hk update max depth=<未设置>；hk update min gap change ratio=<未设置>；hk update skip last edges=<未设置>；root candidate compaction=<未设置>；求解器版本=129d73c9e0df,43,43,43,,,43,,43,,43,,root_ascent_seconds,43,0.712810765,0.70213698,-0.014974219700511826,26,0,17
1,bp lift first depth、bp split zero gain depth、hk update gap change start depth、hk update max depth、hk update min gap change ratio、hk update skip last edges、root candidate compaction、求解器版本,GAPMST-P32-LKH-BP-base,CPHKMST-P32-LKH,bp lift first depth=0；bp split zero gain depth=0；hk update gap change start depth=0；hk update max depth=0；hk update min gap change ratio=0；hk update skip last edges=0；root candidate compaction=off；求解器版本=f8e487148cc9,bp lift first depth=<未设置>；bp split zero gain depth=<未设置>；hk update gap change start depth=<未设置>；hk update max depth=<未设置>；hk update min gap change ratio=<未设置>；hk update skip last edges=<未设置>；root candidate compaction=<未设置>；求解器版本=129d73c9e0df,43,43,43,,,43,,43,,43,,lkh_provider_calls,43,43.0,43.0,0.0,0,43,0
1,bp lift first depth、bp split zero gain depth、hk update gap change start depth、hk update max depth、hk update min gap change ratio、hk update skip last edges、root candidate compaction、求解器版本,GAPMST-P32-LKH-BP-base,CPHKMST-P32-LKH,bp lift first depth=0；bp split zero gain depth=0；hk update gap change start depth=0；hk update max depth=0；hk update min gap change ratio=0；hk update skip last edges=0；root candidate compaction=off；求解器版本=f8e487148cc9,bp lift first depth=<未设置>；bp split zero gain depth=<未设置>；hk update gap change start depth=<未设置>；hk update max depth=<未设置>；hk update min gap change ratio=<未设置>；hk update skip last edges=<未设置>；root candidate compaction=<未设置>；求解器版本=129d73c9e0df,43,43,43,,,43,,43,,43,,lkh_provider_failures,43,0.0,0.0,0.0,0,43,0
1,bp lift first depth、bp split zero gain depth、hk update gap change start depth、hk update max depth、hk update min gap change ratio、hk update skip last edges、root candidate compaction、求解器版本,GAPMST-P32-LKH-BP-base,CPHKMST-P32-LKH,bp lift first depth=0；bp split zero gain depth=0；hk update gap change start depth=0；hk update max depth=0；hk update min gap change ratio=0；hk update skip last edges=0；root candidate compaction=off；求解器版本=f8e487148cc9,bp lift first depth=<未设置>；bp split zero gain depth=<未设置>；hk update gap change start depth=<未设置>；hk update max depth=<未设置>；hk update min gap change ratio=<未设置>；hk update skip last edges=<未设置>；root candidate compaction=<未设置>；求解器版本=129d73c9e0df,43,43,43,,,43,,43,,43,,lkh_provider_seconds,43,3.223801306,3.226875852,0.0009537020765757465,17,0,26
1,bp lift first depth、bp split zero gain depth、hk update gap change start depth、hk update max depth、hk update min gap change ratio、hk update skip last edges、root candidate compaction、求解器版本,GAPMST-P32-LKH-BP-base,CPHKMST-P32-LKH,bp lift first depth=0；bp split zero gain depth=0；hk update gap change start depth=0；hk update max depth=0；hk update min gap change ratio=0；hk update skip last edges=0；root candidate compaction=off；求解器版本=f8e487148cc9,bp lift first depth=<未设置>；bp split zero gain depth=<未设置>；hk update gap change start depth=<未设置>；hk update max depth=<未设置>；hk update min gap change ratio=<未设置>；hk update skip last edges=<未设置>；root candidate compaction=<未设置>；求解器版本=129d73c9e0df,43,43,43,,,43,,43,,43,,root_fixing_seconds,43,0.020217982,0.020059168,-0.007855086625361496,14,10,19
1,bp lift first depth、bp split zero gain depth、hk update gap change start depth、hk update max depth、hk update min gap change ratio、hk update skip last edges、root candidate compaction、求解器版本,GAPMST-P32-LKH-BP-base,CPHKMST-P32-LKH,bp lift first depth=0；bp split zero gain depth=0；hk update gap change start depth=0；hk update max depth=0；hk update min gap change ratio=0；hk update skip last edges=0；root candidate compaction=off；求解器版本=f8e487148cc9,bp lift first depth=<未设置>；bp split zero gain depth=<未设置>；hk update gap change start depth=<未设置>；hk update max depth=<未设置>；hk update min gap change ratio=<未设置>；hk update skip last edges=<未设置>；root candidate compaction=<未设置>；求解器版本=129d73c9e0df,43,43,43,,,43,,43,,43,,potential_update_seconds,43,1401.6035042930207,1589.9887744240204,0.13440696284932785,3,10,30
