tau,CPHKMST-P32-LKH,Concorde,GAPMST-P32-LKH-BP-ascent-strong,GAPMST-P32-LKH-BP-ascent-strong-lift2,GAPMST-P32-LKH-BP-ascent-strong-lift2-split2,GAPMST-P32-LKH-BP-ascent-strong-split2,GAPMST-P32-LKH-BP-base,GAPMST-P32-LKH-BP-lift2,GAPMST-P32-LKH-BP-lift2-split2,GAPMST-P32-LKH-BP-split2,GAPMST-P32-LKH-same
1.0,0.04,0.6,0.06,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.02
1.0022458686048803,0.04,0.6,0.06,0.0,0.0,0.0,0.28,0.0,0.02,0.0,0.02
1.022847893569002,0.04,0.6,0.06,0.0,0.0,0.0,0.28,0.02,0.02,0.0,0.02
1.039783910296548,0.04,0.6,0.06,0.0,0.0,0.0,0.3,0.02,0.02,0.0,0.02
1.0427868327945855,0.04,0.6,0.06,0.0,0.0,0.0,0.32,0.02,0.02,0.0,0.02
1.0444265331683025,0.04,0.6,0.06,0.0,0.0,0.02,0.32,0.02,0.02,0.0,0.02
1.0485719138957772,0.04,0.6,0.06,0.0,0.0,0.02,0.32,0.02,0.02,0.0,0.04
1.05,0.04,0.6,0.06,0.0,0.0,0.02,0.32,0.02,0.02,0.0,0.04
1.0631701322202347,0.04,0.6,0.06,0.0,0.0,0.02,0.34,0.02,0.02,0.0,0.04
1.0766586244553003,0.06,0.6,0.06,0.0,0.0,0.02,0.34,0.02,0.02,0.0,0.04
1.0808748822932746,0.06,0.6,0.06,0.0,0.02,0.02,0.34,0.02,0.02,0.0,0.04
1.081673353809796,0.06,0.6,0.06,0.0,0.02,0.02,0.34,0.02,0.02,0.0,0.06
1.0936482650166055,0.06,0.6,0.06,0.0,0.02,0.02,0.34,0.02,0.04,0.0,0.06
1.0987749236948632,0.06,0.6,0.06,0.0,0.02,0.02,0.34,0.02,0.04,0.0,0.08
1.1,0.06,0.6,0.06,0.0,0.02,0.02,0.34,0.02,0.04,0.0,0.08
1.1007746869165116,0.08,0.6,0.06,0.0,0.02,0.02,0.34,0.02,0.04,0.0,0.08
1.1054080660882832,0.08,0.6,0.06,0.0,0.02,0.02,0.34,0.02,0.04,0.0,0.1
1.1102811207526977,0.08,0.6,0.06,0.0,0.02,0.02,0.34,0.02,0.04,0.02,0.1
1.1118118547734022,0.08,0.62,0.06,0.0,0.02,0.02,0.34,0.02,0.04,0.02,0.1
1.113861727580968,0.08,0.62,0.06,0.0,0.02,0.04,0.34,0.02,0.04,0.02,0.1
1.118547565574557,0.08,0.62,0.06,0.0,0.02,0.04,0.34,0.02,0.04,0.04,0.1
1.1270557104981298,0.1,0.62,0.06,0.0,0.02,0.04,0.34,0.02,0.04,0.04,0.1
1.1315049629703617,0.1,0.62,0.06,0.0,0.02,0.04,0.34,0.02,0.06,0.04,0.1
1.1406752702640486,0.1,0.62,0.06,0.0,0.02,0.04,0.34,0.02,0.08,0.04,0.1
1.1456286112708072,0.1,0.62,0.06,0.0,0.02,0.04,0.34,0.04,0.08,0.04,0.1
1.1534829234678496,0.1,0.62,0.06,0.02,0.02,0.04,0.34,0.04,0.08,0.04,0.1
1.154971464858629,0.1,0.62,0.06,0.04,0.02,0.04,0.34,0.04,0.08,0.04,0.1
1.1655975324458019,0.1,0.62,0.08,0.04,0.02,0.04,0.34,0.04,0.08,0.04,0.1
1.1672163138508962,0.1,0.62,0.08,0.04,0.02,0.04,0.34,0.06,0.08,0.04,0.1
1.1699200160992569,0.1,0.62,0.08,0.04,0.02,0.04,0.36,0.06,0.08,0.04,0.1
1.174469023318388,0.1,0.62,0.08,0.04,0.02,0.04,0.36,0.06,0.08,0.04,0.12
1.1862370179524593,0.1,0.62,0.08,0.04,0.02,0.04,0.36,0.06,0.08,0.06,0.12
1.1862683110133683,0.1,0.62,0.08,0.04,0.02,0.06,0.36,0.06,0.08,0.06,0.12
1.1978924379532556,0.1,0.62,0.1,0.04,0.02,0.06,0.36,0.06,0.08,0.06,0.12
1.2,0.1,0.62,0.1,0.04,0.02,0.06,0.36,0.06,0.08,0.06,0.12
1.2013013886667723,0.1,0.62,0.1,0.04,0.02,0.08,0.36,0.06,0.08,0.06,0.12
1.2060694089959358,0.1,0.62,0.1,0.04,0.02,0.08,0.36,0.06,0.08,0.08,0.12
1.2113972815544916,0.12,0.62,0.1,0.04,0.02,0.08,0.36,0.06,0.08,0.08,0.12
1.2159426154780588,0.12,0.62,0.1,0.04,0.02,0.08,0.36,0.08,0.08,0.08,0.12
1.2208168119769172,0.12,0.62,0.1,0.04,0.04,0.08,0.36,0.08,0.08,0.08,0.12
1.237157405130423,0.12,0.62,0.1,0.04,0.04,0.08,0.36,0.08,0.1,0.08,0.12
1.2412193999016816,0.12,0.62,0.1,0.06,0.04,0.08,0.36,0.08,0.1,0.08,0.12
