run_id,strategy,repeat,instance,status,wall_seconds,result,root_lower_bound,initial_upper_bound,final_upper_bound,final_lower_bound,final_relative_gap,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_fixing_calls,root_fixing_tested,root_fixing_fixed_zero,root_fixing_tree_tested,root_fixing_fixed_one,root_fixing_active_after,root_fixing_seconds,root_candidate_compaction_calls,root_candidate_edges_before,root_candidate_edges_after,root_candidate_compaction_seconds,initial_tour_seconds,initial_clk_starts,adaptive_clk_triggers,adaptive_clk_improvements,root_guided_lk_calls,root_guided_lk_improvements,root_guided_lk_reascents,root_guided_lk_seconds,root_guided_lk_total_gain,root_potential_iterations,root_ascent_seconds,root_external_potential_replacements,root_external_potential_warm_starts,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_max_depth,search_node_potential_updates_skipped_near_leaf,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_updates_skipped_gap_change_below_minimum,potential_update_gap_change_shallow_bypasses,search_node_potential_iterations,potential_update_seconds,potential_update_rebuild_seconds,sibling_warm_probes,sibling_warm_accepted,sibling_warm_rejected,replacement_seconds
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.04685468040406704,10628.0,10602.983665769503,10628.0,10628.0,10628.0,0.0,27,11,15,5,1,1080,1037,48,14,75,0.000134986,1,1128,89,1.2792e-05,0.002895904,0,0,0,0,0,0,0.0,0.0,64,0.003100353,0,1,24,16,0,0,0,0,0,0,0,0,0,0,0,0,8,6,135,0.000643323,4.8317000000000005e-05,0,0,0,3.4324999999999994e-05
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.023819057270884514,1610.0,1607.9799999981672,1610.0,1610.0,1610.0,0.0,3,1,2,1,1,377,370,29,24,10,9.5623e-05,1,406,34,7.538e-06,0.001243748,0,0,0,0,0,0,0.0,0.0,64,0.001930517,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1.8084e-05,0.0,0,0,0,3.952e-06
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.05365279130637646,2020.0,2013.3002809125421,2020.0,2020.0,2020.0,0.0,6,2,4,3,1,377,358,29,17,26,0.000216935,1,406,43,2.0251e-05,0.002309714,0,0,0,0,0,0,0.0,0.0,64,0.003134971,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,49,0.000349465,3.4986e-05,0,0,0,2.4967e-05
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.050319161266088486,7542.0,7541.999999973971,7542.0,7542.0,7542.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.011902579,0,0,0,0,0,0,0.0,0.0,1,0.000282838,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,ok,1334.0875525288284,118282.0,117430.62999807068,118282.0,118282.0,118282.0,0.0,8550935,3866210,5307378,27173,1,7874,6991,127,6,1004,0.000938628,1,8001,1010,7.3579e-05,0.382027331,12,0,0,0,0,0,0.0,0.0,64,0.032120028,0,1,7296592,3663379,0,0,0,0,0,0,0,0,0,0,0,0,3633213,23,23340740,1226.6918286309294,28.635284761999245,0,0,0,56.55537432001719
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.06579580903053284,25395.0,25354.239999786165,25395.0,25395.0,25395.0,0.0,9,4,6,2,1,1595,1539,58,23,87,0.000314356,1,1653,110,3.1937e-05,0.014055974,0,0,0,0,0,0,0.0,0.0,64,0.009387869,0,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,74,0.0005864970000000001,9.2585e-05,0,0,0,6.777099999999997e-05
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,ok,0.2979558166116476,1950.0,1949.6660590678675,1950.0,1950.0,1950.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.058430318,0,0,0,0,0,0,0.0,0.0,64,0.055575294,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.03312672860920429,3323.0,3322.999999998899,3323.0,3323.0,3323.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.000189054,0,0,0,0,0,0,0.0,0.0,1,2.3426e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,ok,13.600816790014505,6110.0,6074.619999904337,6110.0,6110.0,6110.0,0.0,92050,38101,58382,131,1,8255,7816,130,14,555,0.001443731,1,8385,569,0.000237305,0.12075261,0,0,0,0,0,0,0.0,0.0,64,0.034148649,0,1,81019,44687,0,0,0,0,0,0,0,0,0,0,0,0,36332,13,252371,12.498850402999974,0.16251174799999998,0,0,0,0.5090956390000065
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,ok,15.533562362194061,6528.0,6486.5499998695095,6528.0,6528.0,6528.0,0.0,73443,29837,46984,109,1,11025,10518,150,4,653,0.001216203,1,11175,657,8.1061e-05,0.14068466,0,0,0,0,0,0,0.0,0.0,64,0.041092004,0,1,67504,39074,0,0,0,0,0,0,0,0,0,0,0,0,28430,13,220062,14.387217643999984,0.16091482699999998,0,0,0,0.4601438979999972
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/d198.tsp,timeout,1800.0,,14572.88,15780.0,15780.0,14572.88,0.0764968314321927,5751263,2220000,,,1,19305,1075,198,0,18428,0.001786783,1,19503,18428,0.000382714,0.487552705,0,,,,,,,,,0.069130312,,,,,,,,,,,,,,,,,,,,1571.347823,100.5594849,,,,86.33299047
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/dantzig42.tsp,ok,0.040432581678032875,699.0,696.959999997658,699.0,699.0,699.0,0.0,9,2,7,3,1,819,796,42,27,35,0.000278622,1,861,62,2.8199e-05,0.004649248,0,0,0,0,0,0,0.0,0.0,64,0.005899,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,54,0.000344149,3.6093e-05,0,0,0,4.801799999999999e-05
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/national/dj38.tsp,ok,0.03767451271414757,6656.0,6655.999999981781,6656.0,6656.0,6656.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.002450154,0,0,0,0,0,0,0.0,0.0,1,0.000121263,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/eil101.tsp,ok,0.1466402318328619,629.0,627.3329762117957,629.0,629.0,629.0,0.0,398,233,213,457,1,4949,4875,101,47,123,0.000526374,1,5050,170,3.7112e-05,0.049908096,0,0,0,0,0,0,0.0,0.0,64,0.017046467,0,1,337,109,0,0,0,0,0,0,0,0,0,0,0,0,228,7,1145,0.016434165,0.0,0,0,0,0.0006829480000000007
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/eil51.tsp,ok,0.05985146015882492,426.0,422.4399999987474,426.0,426.0,426.0,0.0,224,96,133,29,1,1224,1159,51,7,109,0.000256562,1,1275,116,2.0181e-05,0.007987727,0,0,0,0,0,0,0.0,0.0,64,0.008132354,0,1,205,126,0,0,0,0,0,0,0,0,0,0,0,0,79,6,1176,0.012167867999999995,0.000319411,0,0,0,0.00018120099999999997
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/eil76.tsp,ok,0.08875220827758312,538.0,536.969999996869,538.0,538.0,538.0,0.0,5,2,3,6,1,2774,2755,76,61,31,0.000303978,1,2850,92,2.4429e-05,0.022118075,0,0,0,0,0,0,0.0,0.0,64,0.012203834,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,0.000215277,2.9767e-05,0,0,0,4.1949e-05
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/fri26.tsp,ok,0.039407119154930115,937.0,936.9999999984229,937.0,937.0,937.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.000686403,0,0,0,0,0,0,0.0,0.0,15,0.000324193,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/gr120.tsp,ok,1.9511463828384876,6942.0,6909.959999893309,6942.0,6942.0,6942.0,0.0,12545,5248,7909,86,1,7020,6727,120,13,397,0.001299793,1,7140,410,8.6362e-05,0.114361533,0,0,0,0,0,0,0.0,0.0,64,0.032006643,0,1,11124,6322,0,0,0,0,0,0,0,0,0,0,0,0,4802,41,47017,1.6448108490000022,0.032502053,0,0,0,0.013103514000000017
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/gr137.tsp,ok,3.8176474682986736,69853.0,69113.08999838053,69853.0,69853.0,69853.0,0.0,16057,7265,10179,0,1,9179,8325,137,3,988,0.001010243,1,9316,991,8.4436e-05,0.1556784,0,0,0,0,0,0,0.0,0.0,64,0.031334444,0,1,13676,7574,0,0,0,0,0,0,0,0,0,0,0,0,6102,12,70967,3.2450523069999897,0.14198140100000023,0,0,0,0.08842091300000011
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/gr17.tsp,ok,0.028456587344408035,2085.0,2084.999999998326,2085.0,2085.0,2085.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.000150145,0,0,0,0,0,0,0.0,0.0,1,1.5804e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/gr21.tsp,ok,0.018012775108218193,2707.0,2706.9999999973675,2707.0,2707.0,2707.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.000427619,0,0,0,0,0,0,0.0,0.0,1,5.3006e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/gr24.tsp,ok,0.018725836649537086,1272.0,1271.999889186537,1272.0,1272.0,1272.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.000732177,0,0,0,0,0,0,0.0,0.0,64,0.001004961,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/gr48.tsp,ok,0.15435815788805485,5046.0,4958.9599999858965,5046.0,5046.0,5046.0,0.0,1972,776,1316,12,1,1080,927,48,4,197,0.000248328,1,1128,201,2.1862e-05,0.008148749,0,0,0,0,0,0,0.0,0.0,64,0.006817462,0,1,1693,1080,0,0,0,0,0,0,0,0,0,0,0,0,613,11,9998,0.09160117699999998,0.003820472000000001,0,0,0,0.0007826780000000001
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/gr96.tsp,ok,0.6289602089673281,55209.0,54569.47999942845,55209.0,55209.0,55209.0,0.0,4482,1990,2774,33,1,4464,4031,96,1,528,0.000462746,1,4560,529,3.4338e-05,0.048911087,0,0,0,0,0,0,0.0,0.0,64,0.014577889,0,1,3820,2103,0,0,0,0,0,0,0,0,0,0,0,0,1717,16,19460,0.4368291469999998,0.018556480999999993,0,0,0,0.010650612000000002
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/hk48.tsp,ok,0.044519005343317986,11461.0,11444.019999961509,11461.0,11461.0,11461.0,0.0,8,2,6,2,1,1080,1056,48,32,32,0.00025142,1,1128,64,2.3312e-05,0.005636599,0,0,0,0,0,0,0.0,0.0,64,0.008015212,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,62,0.000353446,0.0,0,0,0,3.365500000000001e-05
GAPMST-P32-LKH-9057b37891fb,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/kroA100.tsp,ok,6.0396554339677095,21282.0,20936.47999972256,21282.0,21282.0,21282.0,0.0,33438,13796,21925,0,1,4850,4262,100,0,688,0.00048107,1,4950,688,3.9978e-05,0.054145623,0,0,0,0,0,0,0.0,0.0,64,0.016947412,0,1,29633,17693,0,0,0,0,0,0,0,0,0,0,0,0,11940,34,139898,5.566777757999985,0.1583503380000001,0,0,0,0.08762992199999924
