run_id,strategy,repeat,instance,status,wall_seconds,result,root_lower_bound,initial_upper_bound,final_upper_bound,final_lower_bound,final_relative_gap,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_fixing_calls,root_fixing_tested,root_fixing_fixed_zero,root_fixing_tree_tested,root_fixing_fixed_one,root_fixing_active_after,root_fixing_seconds,root_candidate_compaction_calls,root_candidate_edges_before,root_candidate_edges_after,root_candidate_compaction_seconds,initial_tour_seconds,initial_clk_starts,adaptive_clk_triggers,adaptive_clk_improvements,root_guided_lk_calls,root_guided_lk_improvements,root_guided_lk_reascents,root_guided_lk_seconds,root_guided_lk_total_gain,root_potential_iterations,root_ascent_seconds,root_external_potential_replacements,root_external_potential_warm_starts,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_max_depth,search_node_potential_updates_skipped_near_leaf,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_updates_skipped_gap_change_below_minimum,potential_update_gap_change_shallow_bypasses,search_node_potential_iterations,potential_update_seconds,potential_update_rebuild_seconds,sibling_warm_probes,sibling_warm_accepted,sibling_warm_rejected,replacement_seconds
GAPMST-P32-LKH-gc0.0002-7b30c6ff587c,GAPMST-P32-LKH-gc0.0002,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.0685044378042221,10628.0,10602.983665769503,10628.0,10628.0,10628.0,0.0,53,21,27,17,1,1080,1037,48,14,75,0.000210357,1,1128,89,1.991e-05,0.006223868,0,0,0,0,0,0,0.0,0.0,64,0.005903372,0,1,38,18,0,0,0,0,0,0,0,0,0,0,0,0,20,0,68,0.0006457149999999999,0.0,0,0,0,6.493799999999995e-05
GAPMST-P32-LKH-gc0.0002-7b30c6ff587c,GAPMST-P32-LKH-gc0.0002,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.06074015609920025,1610.0,1607.9799999981672,1610.0,1610.0,1610.0,0.0,3,2,1,2,1,377,370,29,24,10,0.00012906,1,406,34,1.3233e-05,0.001426169,0,0,0,0,0,0,0.0,0.0,64,0.002283833,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,9.346999999999999e-06
GAPMST-P32-LKH-gc0.0002-7b30c6ff587c,GAPMST-P32-LKH-gc0.0002,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.025523589923977852,2020.0,2013.3002809125421,2020.0,2020.0,2020.0,0.0,7,3,4,3,1,377,358,29,17,26,0.000154311,1,406,43,1.335e-05,0.001373889,0,0,0,0,0,0,0.0,0.0,64,0.002365272,0,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0.00011129,0.0,0,0,0,1.5612e-05
GAPMST-P32-LKH-gc0.0002-7b30c6ff587c,GAPMST-P32-LKH-gc0.0002,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.03702683746814728,7542.0,7541.999999973971,7542.0,7542.0,7542.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.008797899,0,0,0,0,0,0,0.0,0.0,1,0.000220452,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-gc0.0002-7b30c6ff587c,GAPMST-P32-LKH-gc0.0002,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,ok,1727.5552277639508,118282.0,117430.62999807068,118282.0,118282.0,118282.0,0.0,15023345,6971149,9249025,49508,1,7874,6991,127,6,1004,0.000809423,1,8001,1010,5.9927e-05,0.32957673,12,0,0,0,0,0,0.0,0.0,64,0.028226205,0,1,12839100,6083910,0,0,0,0,0,0,0,0,0,0,0,0,6755190,0,30511568,1576.9837494302337,23.937513467999107,0,0,0,93.59790817805813
GAPMST-P32-LKH-gc0.0002-7b30c6ff587c,GAPMST-P32-LKH-gc0.0002,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.08473499864339828,25395.0,25354.239999786165,25395.0,25395.0,25395.0,0.0,13,5,8,1,1,1595,1539,58,23,87,0.000324318,1,1653,110,3.1657e-05,0.014096573,0,0,0,0,0,0,0.0,0.0,64,0.009396331,0,1,8,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0.000201711,0.0,0,0,0,7.170100000000001e-05
GAPMST-P32-LKH-gc0.0002-7b30c6ff587c,GAPMST-P32-LKH-gc0.0002,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,ok,0.310024481266737,1950.0,1949.6660590678675,1950.0,1950.0,1950.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.05686196,0,0,0,0,0,0,0.0,0.0,64,0.055888321,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-gc0.0002-7b30c6ff587c,GAPMST-P32-LKH-gc0.0002,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.05197390727698803,3323.0,3322.999999998899,3323.0,3323.0,3323.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.000184464,0,0,0,0,0,0,0.0,0.0,1,1.8261e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-gc0.0002-7b30c6ff587c,GAPMST-P32-LKH-gc0.0002,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,ok,25.874164190143347,6110.0,6074.619999904337,6110.0,6110.0,6110.0,0.0,244463,105981,153809,1261,1,8255,7816,130,14,555,0.000969123,1,8385,569,7.3498e-05,0.324325913,12,0,0,0,0,0,0.0,0.0,64,0.02991648,0,1,209934,105607,0,0,0,0,0,0,0,0,0,0,0,0,104327,0,454674,23.507198369000058,0.15454574300000024,0,0,0,1.3373206869999992
GAPMST-P32-LKH-gc0.0002-7b30c6ff587c,GAPMST-P32-LKH-gc0.0002,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,ok,27.549031253904104,6528.0,6486.5499998695095,6528.0,6528.0,6528.0,0.0,179915,77924,112272,414,1,11025,10518,150,4,653,0.001246387,1,11175,657,8.1305e-05,0.161046252,0,0,0,0,0,0,0.0,0.0,64,0.04108919,0,1,161366,84798,0,0,0,0,0,0,0,0,0,0,0,0,76568,0,367145,25.463051719999985,0.17002703100000005,0,0,0,1.1634741209999717
