run_id,strategy,repeat,instance,status,wall_seconds,result,root_lower_bound,initial_upper_bound,final_upper_bound,final_lower_bound,final_relative_gap,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_fixing_calls,root_fixing_tested,root_fixing_fixed_zero,root_fixing_tree_tested,root_fixing_fixed_one,root_fixing_active_after,root_fixing_seconds,root_candidate_compaction_calls,root_candidate_edges_before,root_candidate_edges_after,root_candidate_compaction_seconds,initial_tour_seconds,initial_clk_starts,adaptive_clk_triggers,adaptive_clk_improvements,root_guided_lk_calls,root_guided_lk_improvements,root_guided_lk_reascents,root_guided_lk_seconds,root_guided_lk_total_gain,root_potential_iterations,root_ascent_seconds,root_external_potential_replacements,root_external_potential_warm_starts,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_max_depth,search_node_potential_updates_skipped_near_leaf,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_updates_skipped_gap_change_below_minimum,potential_update_gap_change_shallow_bypasses,search_node_potential_iterations,potential_update_seconds,potential_update_rebuild_seconds,sibling_warm_probes,sibling_warm_accepted,sibling_warm_rejected,replacement_seconds
GAPMST-P32-LKH-gc0.00025-548c0e86f0e3,GAPMST-P32-LKH-gc0.00025,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.08099121041595936,10628.0,10602.983665769503,10628.0,10628.0,10628.0,0.0,53,21,27,17,1,1080,1037,48,14,75,0.000233606,1,1128,89,2.2382e-05,0.00827158,0,0,0,0,0,0,0.0,0.0,64,0.007166693,0,1,38,18,0,0,0,0,0,0,0,0,0,0,0,0,20,0,68,0.000741049,0.0,0,0,0,7.486600000000005e-05
GAPMST-P32-LKH-gc0.00025-548c0e86f0e3,GAPMST-P32-LKH-gc0.00025,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.043794579803943634,1610.0,1607.9799999981672,1610.0,1610.0,1610.0,0.0,3,2,1,2,1,377,370,29,24,10,0.000127036,1,406,34,1.3072e-05,0.001452112,0,0,0,0,0,0,0.0,0.0,64,0.002268881,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,8.413e-06
GAPMST-P32-LKH-gc0.00025-548c0e86f0e3,GAPMST-P32-LKH-gc0.00025,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.025967856869101524,2020.0,2013.3002809125421,2020.0,2020.0,2020.0,0.0,7,3,4,3,1,377,358,29,17,26,0.00012867,1,406,43,1.3549e-05,0.001368999,0,0,0,0,0,0,0.0,0.0,64,0.002312005,0,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0.000111815,0.0,0,0,0,1.6305e-05
GAPMST-P32-LKH-gc0.00025-548c0e86f0e3,GAPMST-P32-LKH-gc0.00025,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.0611826628446579,7542.0,7541.999999973971,7542.0,7542.0,7542.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.008740554,0,0,0,0,0,0,0.0,0.0,1,0.000217167,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-gc0.00025-548c0e86f0e3,GAPMST-P32-LKH-gc0.00025,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,timeout,1800.0,,117430.63,118282.0,118282.0,117430.63,0.007197798481594794,16975044,7930000,,,1,7874,6991,127,6,1004,0.000837861,1,8001,1010,6.1039e-05,0.10307789,0,,,,,,,,,0.028122197,,,,,,,,,,,,,,,,,,,,1636.134494,21.74849176,,,,105.1337823
GAPMST-P32-LKH-gc0.00025-548c0e86f0e3,GAPMST-P32-LKH-gc0.00025,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.11114910058677197,25395.0,25354.239999786165,25395.0,25395.0,25395.0,0.0,13,5,8,1,1,1595,1539,58,23,87,0.000319725,1,1653,110,3.3594e-05,0.013917107,0,0,0,0,0,0,0.0,0.0,64,0.008867011,0,1,8,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0.000201001,0.0,0,0,0,6.941699999999999e-05
GAPMST-P32-LKH-gc0.00025-548c0e86f0e3,GAPMST-P32-LKH-gc0.00025,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,ok,0.30865383706986904,1950.0,1949.6660590678675,1950.0,1950.0,1950.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.054186082,0,0,0,0,0,0,0.0,0.0,64,0.055743348,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-gc0.00025-548c0e86f0e3,GAPMST-P32-LKH-gc0.00025,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.04922044463455677,3323.0,3322.999999998899,3323.0,3323.0,3323.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.000164276,0,0,0,0,0,0,0.0,0.0,1,1.7524e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-gc0.00025-548c0e86f0e3,GAPMST-P32-LKH-gc0.00025,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,ok,30.391232386231422,6110.0,6074.619999904337,6110.0,6110.0,6110.0,0.0,291647,122680,184446,1357,1,8255,7816,130,14,555,0.000967394,1,8385,569,7.4607e-05,0.338550282,12,0,0,0,0,0,0.0,0.0,64,0.029948703,0,1,252354,131055,0,0,0,0,0,0,0,0,0,0,0,0,121299,0,524990,27.6430181830002,0.12955184799999986,0,0,0,1.6362113890000132
GAPMST-P32-LKH-gc0.00025-548c0e86f0e3,GAPMST-P32-LKH-gc0.00025,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,ok,31.247939459979534,6528.0,6486.5499998695095,6528.0,6528.0,6528.0,0.0,217317,94116,136001,358,1,11025,10518,150,4,653,0.001209411,1,11175,657,8.1796e-05,0.137654292,0,0,0,0,0,0,0.0,0.0,64,0.040912471,0,1,194869,101840,0,0,0,0,0,0,0,0,0,0,0,0,93029,0,407318,28.945980469000006,0.12876453700000015,0,0,0,1.3905671370000288
