run_id,strategy,repeat,instance,status,wall_seconds,result,root_lower_bound,initial_upper_bound,final_upper_bound,final_lower_bound,final_relative_gap,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_fixing_calls,root_fixing_tested,root_fixing_fixed_zero,root_fixing_tree_tested,root_fixing_fixed_one,root_fixing_active_after,root_fixing_seconds,root_candidate_compaction_calls,root_candidate_edges_before,root_candidate_edges_after,root_candidate_compaction_seconds,initial_tour_seconds,initial_clk_starts,adaptive_clk_triggers,adaptive_clk_improvements,root_guided_lk_calls,root_guided_lk_improvements,root_guided_lk_reascents,root_guided_lk_seconds,root_guided_lk_total_gain,root_potential_iterations,root_ascent_seconds,root_external_potential_replacements,root_external_potential_warm_starts,lkh_provider_calls,lkh_provider_failures,lkh_provider_seconds,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_max_depth,search_node_potential_updates_skipped_near_leaf,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_change_below_minimum,potential_update_gap_change_shallow_bypasses,search_node_potential_iterations,potential_update_seconds,potential_update_rebuild_seconds,sibling_warm_probes,sibling_warm_accepted,sibling_warm_rejected,replacement_seconds
GAPMST-P32-LKH-gc0.0001-c86b2cb541dc,GAPMST-P32-LKH-gc0.0001,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.06608812138438225,10628.0,10602.983665769503,10628.0,10628.0,10628.0,0.0,40,14,22,13,1,1080,1037,48,14,75,0.000227544,1,1128,89,2.3691e-05,0.008251367,0,0,0,0,0,0,0.0,0.0,64,0.008765496,0,1,1,0,0.021861039,28,15,0,0,0,0,0,0,0,0,0,0,13,0,59,0.0005038849999999999,0.0,0,0,0,6.902500000000001e-05
GAPMST-P32-LKH-gc0.0001-c86b2cb541dc,GAPMST-P32-LKH-gc0.0001,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.032777560874819756,1610.0,1607.9799999981672,1610.0,1610.0,1610.0,0.0,3,2,1,2,1,377,370,29,24,10,0.000124837,1,406,34,1.3936e-05,0.00142015,0,0,0,0,0,0,0.0,0.0,64,0.002277794,0,1,1,0,0.013933722,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,8.184e-06
GAPMST-P32-LKH-gc0.0001-c86b2cb541dc,GAPMST-P32-LKH-gc0.0001,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.04192144423723221,2020.0,2013.3002809125421,2020.0,2020.0,2020.0,0.0,7,3,4,3,1,377,358,29,17,26,0.000126223,1,406,43,1.392e-05,0.001405576,0,0,0,0,0,0,0.0,0.0,64,0.002380652,0,1,1,0,0.013022326,6,4,0,0,0,0,0,0,0,0,0,0,2,0,12,7.522900000000001e-05,0.0,0,0,0,1.708e-05
GAPMST-P32-LKH-gc0.0001-c86b2cb541dc,GAPMST-P32-LKH-gc0.0001,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.03927606903016567,7542.0,7541.999999973971,7542.0,7542.0,7542.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.008850552,0,0,0,0,0,0,0.0,0.0,1,0.000215432,0,1,1,0,0.014584515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-gc0.0001-c86b2cb541dc,GAPMST-P32-LKH-gc0.0001,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,ok,1174.0938078165054,118282.0,117430.62999807068,118282.0,118282.0,118282.0,0.0,9825049,4435704,6099875,35913,1,7874,6991,127,6,1004,0.000808283,1,8001,1010,6.3742e-05,0.332885488,12,0,0,0,0,0,0.0,0.0,64,0.028013862,0,1,1,0,0.087277947,8390150,4221395,0,0,0,0,0,0,0,0,0,0,4168755,0,26829476,1057.7866345649713,30.49324970100017,0,0,0,63.04712531901674
GAPMST-P32-LKH-gc0.0001-c86b2cb541dc,GAPMST-P32-LKH-gc0.0001,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.07752971723675728,25395.0,25354.239999786165,25395.0,25395.0,25395.0,0.0,9,3,6,1,1,1595,1539,58,23,87,0.000168177,1,1653,110,1.9343e-05,0.004847769,0,0,0,0,0,0,0.0,0.0,64,0.00491993,0,1,1,0,0.028179353,6,4,0,0,0,0,0,0,0,0,0,0,2,0,14,8.997399999999999e-05,0.0,0,0,0,3.5936000000000016e-05
GAPMST-P32-LKH-gc0.0001-c86b2cb541dc,GAPMST-P32-LKH-gc0.0001,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,ok,0.302734199911356,1950.0,1949.6660590678675,1950.0,1950.0,1950.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.056535854,0,0,0,0,0,0,0.0,0.0,64,0.054870599,0,1,1,0,0.162443304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-gc0.0001-c86b2cb541dc,GAPMST-P32-LKH-gc0.0001,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.012470966205000877,3323.0,3322.999999998899,3323.0,3323.0,3323.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.000159175,0,0,0,0,0,0,0.0,0.0,1,1.8913e-05,0,1,1,0,0.003897484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-gc0.0001-c86b2cb541dc,GAPMST-P32-LKH-gc0.0001,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,ok,12.652707545086741,6110.0,6074.619999904337,6110.0,6110.0,6110.0,0.0,109563,45213,69590,234,1,8255,7816,130,14,555,0.000972655,1,8385,569,8.0645e-05,0.109662743,0,0,0,0,0,0,0.0,0.0,64,0.02981035,0,1,1,0,0.087383669,95930,52641,0,0,0,0,0,0,0,0,0,0,43289,0,292080,11.42718745999997,0.1805280880000001,0,0,0,0.6039949020000026
GAPMST-P32-LKH-gc0.0001-c86b2cb541dc,GAPMST-P32-LKH-gc0.0001,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,ok,13.198768489062786,6528.0,6486.5499998695095,6528.0,6528.0,6528.0,0.0,76017,30959,48572,100,1,11025,10518,150,4,653,0.001245926,1,11175,657,8.8481e-05,0.190422202,0,0,0,0,0,0,0.0,0.0,64,0.040779384,0,1,1,0,0.180281339,69975,40437,0,0,0,0,0,0,0,0,0,0,29538,0,225871,11.971453362999977,0.16777052300000006,0,0,0,0.48982969999999965
