tau,CPHKMST-P32-LKH,Concorde,GAPMST-P32-LKH,GAPMST-P32-LKH-gc0.0001,GAPMST-P32-LKH-same
1.0,0.08,0.62,0.06,0.06,0.18
1.026138652147128,0.08,0.62,0.08,0.06,0.18
1.0413574697878052,0.08,0.62,0.08,0.08,0.18
1.0421907773287662,0.08,0.62,0.08,0.08,0.2
1.0492031267638708,0.08,0.64,0.08,0.08,0.2
1.05,0.08,0.64,0.08,0.08,0.2
1.0572129555819758,0.08,0.64,0.08,0.1,0.2
1.0613123385265546,0.08,0.64,0.08,0.12,0.2
1.0617605385274502,0.08,0.64,0.08,0.12,0.22
1.0652115304479193,0.08,0.64,0.08,0.14,0.22
1.0674334198646145,0.1,0.64,0.08,0.14,0.22
1.070051770289306,0.12,0.64,0.08,0.14,0.22
1.0770739874791018,0.12,0.64,0.1,0.14,0.22
1.097238533987457,0.12,0.64,0.1,0.16,0.22
1.1,0.12,0.64,0.1,0.16,0.22
1.103225447395974,0.14,0.64,0.1,0.16,0.22
1.1044223648317633,0.14,0.64,0.12,0.16,0.22
1.1080293636377283,0.14,0.64,0.12,0.18,0.22
1.1139147414816406,0.14,0.64,0.12,0.18,0.24
1.119408453429136,0.14,0.64,0.12,0.18,0.26
1.121636829955562,0.16,0.64,0.12,0.18,0.26
1.1235495089336536,0.16,0.64,0.14,0.18,0.26
1.1280225920140101,0.16,0.64,0.16,0.18,0.26
1.1435153914285616,0.18,0.64,0.16,0.18,0.26
1.1454305211010491,0.2,0.64,0.16,0.18,0.26
1.1697293871408772,0.2,0.64,0.16,0.18,0.28
1.1728327932167404,0.2,0.66,0.16,0.18,0.28
1.1746327372749896,0.2,0.66,0.16,0.18,0.3
1.1747291260563404,0.2,0.66,0.18,0.18,0.3
1.1761440487556138,0.22,0.66,0.18,0.18,0.3
1.186710698298633,0.22,0.66,0.18,0.18,0.32
1.1921829419164354,0.24,0.66,0.18,0.18,0.32
1.1994907438168854,0.24,0.66,0.2,0.18,0.32
1.2,0.24,0.66,0.2,0.18,0.32
1.2069184180549306,0.24,0.66,0.2,0.2,0.32
1.207000781623902,0.24,0.66,0.22,0.2,0.32
1.207787768944454,0.24,0.66,0.22,0.22,0.32
1.2227601087159274,0.24,0.66,0.22,0.24,0.32
1.2238171119736265,0.24,0.66,0.24,0.24,0.32
1.232055715781712,0.26,0.66,0.24,0.24,0.32
1.2428859175279394,0.26,0.66,0.24,0.24,0.34
1.247657290629822,0.26,0.66,0.24,0.26,0.34
1.2839053490211192,0.26,0.66,0.24,0.28,0.34
1.289573231831144,0.26,0.66,0.26,0.28,0.34
1.2947676598007196,0.26,0.66,0.28,0.28,0.34
1.2984576051790933,0.26,0.66,0.28,0.28,0.36
1.3227910488546448,0.26,0.68,0.28,0.28,0.36
1.3244396970330348,0.26,0.68,0.3,0.28,0.36
1.3269441395739163,0.26,0.68,0.32,0.28,0.36
1.3294563522325231,0.26,0.68,0.34,0.28,0.36
1.3310897695456447,0.26,0.68,0.34,0.3,0.36
