config_id,category,repeat,instance,dimension,status,cost,expected_cost,reference_source,cost_correct,root_lower_bound,initial_upper_bound,instance_wall_seconds,nodes_created,nodes_expanded,pruned_by_bound,pruned_infeasible,potential_updates_attempted,potential_updates_improved,potential_updates_pruned,potential_updates_rebuilt,potential_updates_stopped_prunable,potential_update_iterations,potential_update_seconds,potential_update_rebuild_seconds,potential_update_total_gain,potential_update_max_gain,batch_wall_seconds
P0,core,1,/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,42,ok,699.0,699.0,known-optimum,True,696.5486834757526,699.0,0.005596875,11,7,5,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.01987695787101984
P0,core,1,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,48,ok,10628.0,10628.0,known-optimum,True,10577.842631651667,10648.0,0.008009666,538,414,170,212,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.01987695787101984
P0,core,1,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,29,ok,2020.0,2020.0,known-optimum,True,2013.269381629025,2020.0,0.002552708,15,11,2,11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.01987695787101984
P1,core,1,/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,42,ok,699.0,699.0,known-optimum,True,696.5486834757526,699.0,0.004758125,7,3,5,0,2,2,2,0,2,7,2.2709000000000002e-05,0.0,3.378787889225123,2.6744768244117267,0.0184389166533947
P1,core,1,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,48,ok,10628.0,10628.0,known-optimum,True,10577.842631651667,10648.0,0.008329625,48,24,28,1,25,25,17,8,17,208,0.0006991229999999998,0.000341334,519.6519226393466,54.07298527874627,0.0184389166533947
P1,core,1,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,29,ok,2020.0,2020.0,known-optimum,True,2013.269381629025,2020.0,0.002425708,12,7,3,7,3,3,2,1,2,24,3.3583e-05,1.4083e-05,13.642583990385901,6.587249404874683,0.0184389166533947
P2,core,1,/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,42,ok,699.0,699.0,known-optimum,True,696.5486834757526,699.0,0.004963959,7,3,5,0,2,2,2,0,2,11,2.6167000000000002e-05,0.0,1.9518863673915803,1.0808369804460654,0.019021332263946533
P2,core,1,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,48,ok,10628.0,10628.0,known-optimum,True,10577.842631651667,10648.0,0.009267459,101,42,60,7,55,55,42,13,42,425,0.0015065019999999998,0.0005623329999999999,1006.6164123092694,63.039869508182164,0.019021332263946533
P2,core,1,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,29,ok,2020.0,2020.0,known-optimum,True,2013.269381629025,2020.0,0.002320041,16,10,2,15,3,3,1,2,1,34,3.9001e-05,2.8583e-05,10.682372423724928,5.2009760056814685,0.019021332263946533
H0,core,1,/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,42,ok,699.0,699.0,known-optimum,True,693.3680338506045,699.0,0.004823209,137,94,61,81,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.01715883333235979
