run_id,strategy,repeat,instance,status,wall_seconds,result,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_potential_iterations,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_iterations
B3-9ecdc7627aaa,B3,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.0320468470454216,10628.0,25,9,16,0,100,22,22,0,0,0,0,0,0,0,0,0,0,601
B3-9ecdc7627aaa,B3,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.030570674687623978,1610.0,3,1,2,1,100,2,2,0,0,0,0,0,0,0,0,0,0,7
B3-9ecdc7627aaa,B3,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.028379835188388824,2020.0,8,2,5,1,100,5,5,0,0,0,0,0,0,0,0,0,0,80
B3-9ecdc7627aaa,B3,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.02889922820031643,7542.0,1,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-9ecdc7627aaa,B3,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
B3-9ecdc7627aaa,B3,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.06938829645514488,25395.0,40,12,28,0,120,36,36,0,0,0,0,0,0,0,0,0,0,955
B3-9ecdc7627aaa,B3,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
B3-9ecdc7627aaa,B3,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.0055533517152071,3323.0,1,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-9ecdc7627aaa,B3,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
B3-9ecdc7627aaa,B3,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
B3-9ecdc7627aaa,B3,1,/home/wj/code/TSP/data/classic/tsplib/d198.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
B3-9ecdc7627aaa,B3,1,/home/wj/code/TSP/data/classic/tsplib/dantzig42.tsp,ok,0.0232516098767519,699.0,3,1,2,0,100,2,2,0,0,0,0,0,0,0,0,0,0,18
B3-9ecdc7627aaa,B3,1,/home/wj/code/TSP/data/classic/national/dj38.tsp,ok,0.021290335804224014,6656.0,1,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-9ecdc7627aaa,B3,1,/home/wj/code/TSP/data/classic/tsplib/eil101.tsp,ok,1.0018516555428505,629.0,698,154,555,0,400,384,356,0,0,0,0,0,2,0,0,0,26,9368
B3-9ecdc7627aaa,B3,1,/home/wj/code/TSP/data/classic/tsplib/eil51.tsp,ok,0.15446598455309868,426.0,327,115,214,14,400,298,298,0,0,0,0,0,0,0,0,0,0,8583
B3-9ecdc7627aaa,B3,1,/home/wj/code/TSP/data/classic/tsplib/eil76.tsp,ok,0.3010527826845646,538.0,364,112,256,0,364,264,254,0,0,0,0,0,1,0,0,0,9,7593
B3-9ecdc7627aaa,B3,1,/home/wj/code/TSP/data/classic/tsplib/fri26.tsp,ok,0.017244068905711174,937.0,1,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-9ecdc7627aaa,B3,1,/home/wj/code/TSP/data/classic/tsplib/gr120.tsp,ok,17.2300837431103,6942.0,153754,102078,92091,0,400,107125,7260,0,0,99741,0,0,1,0,0,0,123,190866
B3-9ecdc7627aaa,B3,1,/home/wj/code/TSP/data/classic/tsplib/gr137.tsp,ok,15.297323057428002,69853.0,142999,101757,85884,0,800,105445,5818,0,0,99624,0,0,0,0,0,0,3,173615
B3-9ecdc7627aaa,B3,1,/home/wj/code/TSP/data/classic/tsplib/gr17.tsp,ok,0.0205666646361351,2085.0,1,0,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-9ecdc7627aaa,B3,1,/home/wj/code/TSP/data/classic/tsplib/gr21.tsp,ok,0.02007031999528408,2707.0,1,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-9ecdc7627aaa,B3,1,/home/wj/code/TSP/data/classic/tsplib/gr24.tsp,ok,0.02179773896932602,1272.0,1,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-9ecdc7627aaa,B3,1,/home/wj/code/TSP/data/classic/tsplib/gr48.tsp,ok,0.5493713915348053,5046.0,20891,15573,12162,4,334,16224,1000,0,0,15217,0,0,0,0,0,0,7,27865
