run_id,strategy,repeat,instance,status,wall_seconds,result,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_potential_iterations,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_iterations
HP1-070da8e15291,HP1,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.047816066071391106,10628.0,36,15,23,1,208,25,24,0,0,0,0,0,1,0,0,0,0,251
HP1-070da8e15291,HP1,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.016928432509303093,1610.0,3,1,2,1,125,2,2,0,0,0,0,0,0,0,0,0,0,7
HP1-070da8e15291,HP1,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.03395768068730831,2020.0,9,3,5,1,125,7,7,0,0,0,0,0,0,0,0,0,0,51
HP1-070da8e15291,HP1,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.04819181561470032,7542.0,1,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
HP1-070da8e15291,HP1,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
HP1-070da8e15291,HP1,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.07757100835442543,25395.0,30,10,20,6,212,24,24,0,0,0,0,0,0,0,0,0,0,223
HP1-070da8e15291,HP1,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,ok,0.4424912128597498,1950.0,101,37,64,1,346,43,43,0,0,0,0,0,0,0,0,0,0,593
HP1-070da8e15291,HP1,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.00846901722252369,3323.0,1,0,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
HP1-070da8e15291,HP1,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
HP1-070da8e15291,HP1,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
HP1-070da8e15291,HP1,1,/home/wj/code/TSP/data/classic/tsplib/d198.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
HP1-070da8e15291,HP1,1,/home/wj/code/TSP/data/classic/tsplib/dantzig42.tsp,ok,0.037475716322660446,699.0,4,1,3,1,139,2,2,0,0,0,0,0,0,0,0,0,0,12
HP1-070da8e15291,HP1,1,/home/wj/code/TSP/data/classic/national/dj38.tsp,ok,0.026918668299913406,6656.0,1,0,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
HP1-070da8e15291,HP1,1,/home/wj/code/TSP/data/classic/tsplib/eil101.tsp,ok,6.300004363059998,629.0,48673,9192,39503,0,497,44197,35112,0,0,0,0,0,1,0,0,0,9084,107601
HP1-070da8e15291,HP1,1,/home/wj/code/TSP/data/classic/tsplib/eil51.tsp,ok,0.10355733148753643,426.0,640,212,428,137,447,604,518,0,0,0,0,0,0,0,0,0,86,4068
HP1-070da8e15291,HP1,1,/home/wj/code/TSP/data/classic/tsplib/eil76.tsp,ok,17.332225136458874,538.0,377071,100034,277683,300,610,345597,245599,0,0,0,0,0,0,0,0,0,99998,609434
HP1-070da8e15291,HP1,1,/home/wj/code/TSP/data/classic/tsplib/fri26.tsp,ok,0.0360846184194088,937.0,1,0,1,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
HP1-070da8e15291,HP1,1,/home/wj/code/TSP/data/classic/tsplib/gr120.tsp,ok,257.7295448053628,6942.0,1682685,282629,1400152,11,1032,1579155,1298501,0,0,0,0,0,3,0,0,0,280651,3342259
HP1-070da8e15291,HP1,1,/home/wj/code/TSP/data/classic/tsplib/gr137.tsp,ok,218.9225492887199,69853.0,251063,89708,163845,3,576,232718,232334,0,0,0,0,0,1,0,0,0,383,2184057
HP1-070da8e15291,HP1,1,/home/wj/code/TSP/data/classic/tsplib/gr17.tsp,ok,0.0313720665872097,2085.0,1,0,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
