run_id,strategy,repeat,instance,status,wall_seconds,result,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_potential_iterations,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_iterations
P16-0e2acabaea99,P16,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.028454359620809555,10628.0,36,14,23,0,100,30,30,0,0,0,0,0,0,0,0,0,0,293
P16-0e2acabaea99,P16,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.018648438155651093,1610.0,3,1,2,1,100,2,2,0,0,0,0,0,0,0,0,0,0,7
P16-0e2acabaea99,P16,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.02007296122610569,2020.0,9,3,5,1,100,7,7,0,0,0,0,0,0,0,0,0,0,51
P16-0e2acabaea99,P16,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.01175750233232975,7542.0,1,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
P16-0e2acabaea99,P16,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P16-0e2acabaea99,P16,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.060008080676198006,25395.0,125,38,88,0,120,107,107,0,0,0,0,0,0,0,0,0,0,909
P16-0e2acabaea99,P16,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P16-0e2acabaea99,P16,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.008059242740273476,3323.0,1,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
P16-0e2acabaea99,P16,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,ok,864.4561295546591,6110.0,904164,291794,619746,1,400,850624,848919,0,0,0,0,0,1,0,0,0,1704,7824399
P16-0e2acabaea99,P16,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,ok,142.97944540902972,6528.0,100246,31384,69434,0,400,96177,95772,0,0,0,0,0,1,0,0,0,404,879974
P16-0e2acabaea99,P16,1,/home/wj/code/TSP/data/classic/tsplib/d198.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
