run_id,strategy,repeat,instance,status,wall_seconds,result,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_potential_iterations,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_iterations
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.036566050723195076,10628.0,56,21,38,0,100,46,46,0,0,0,0,0,0,0,0,0,0,267
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.01885097473859787,1610.0,3,1,2,1,100,2,2,0,0,0,0,0,0,0,0,0,0,7
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.03260129131376743,2020.0,9,3,5,1,100,6,6,0,0,0,0,0,0,0,0,0,0,32
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.033864788711071014,7542.0,1,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.07514377683401108,25395.0,253,71,184,0,120,214,214,0,0,0,0,0,0,0,0,0,0,1116
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.008827297016978264,3323.0,1,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,ok,476.9743346273899,6528.0,516845,162803,359483,2,400,492486,492081,0,0,0,0,0,1,0,0,0,404,2572875
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/d198.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/dantzig42.tsp,ok,0.02835514023900032,699.0,5,2,3,0,100,4,4,0,0,0,0,0,0,0,0,0,0,25
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/national/dj38.tsp,ok,0.01892669126391411,6656.0,1,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/eil101.tsp,ok,0.7047297172248363,629.0,1360,424,962,0,400,897,868,0,0,0,0,0,3,0,0,0,26,5456
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/eil51.tsp,ok,0.13473745249211788,426.0,829,305,546,106,400,765,765,0,0,0,0,0,0,0,0,0,0,4367
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/eil76.tsp,ok,0.2918743919581175,538.0,921,313,628,0,364,728,718,0,0,0,0,0,1,0,0,0,9,4235
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/fri26.tsp,ok,0.022069906815886497,937.0,1,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/gr120.tsp,ok,31.727864246815443,6942.0,48436,15817,33286,0,400,45055,44927,0,0,0,0,0,5,0,0,0,123,237451
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/gr137.tsp,ok,324.48497671447694,69853.0,503045,190736,323019,3,400,466767,466758,0,0,0,0,0,6,0,0,0,3,2588187
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/gr17.tsp,ok,0.014041891321539879,2085.0,1,0,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/gr21.tsp,ok,0.010417820885777473,2707.0,1,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/gr24.tsp,ok,0.014339547604322433,1272.0,1,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/gr48.tsp,ok,0.4007635470479727,5046.0,3870,1323,2600,0,334,3556,3549,0,0,0,0,0,0,0,0,0,7,19084
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/gr96.tsp,ok,14.686978382989764,55209.0,48068,18016,31154,32,319,43755,43754,0,0,0,0,0,1,0,0,0,0,245599
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/hk48.tsp,ok,0.0403780173510313,11461.0,20,7,13,1,100,13,13,0,0,0,0,0,0,0,0,0,0,76
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/kroA100.tsp,ok,132.75114451348782,21282.0,543973,121239,426161,0,320,514887,453408,0,0,0,0,0,3,0,0,0,61476,1832022
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/kroA150.tsp,ok,514.2561918292195,26524.0,476111,176594,306534,0,400,454741,454729,0,0,0,0,0,4,0,0,0,8,2521707
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/kroB100.tsp,ok,165.7370683401823,22141.0,417684,151490,273670,8,745,387118,387112,0,0,0,0,0,0,0,0,0,6,2121675
P8-a2ad8fbaab75,P8,1,/home/wj/code/TSP/data/classic/tsplib/kroB150.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
