comparison,factor,left,right,left_value,right_value,left_ok,right_ok,common_ok,left_only,right_only,result_agreements,result_mismatches,left_reference_checked,left_reference_mismatches,right_reference_checked,right_reference_mismatches,metric,paired_values,left_total,right_total,aggregate_relative_change,decreased,tied,increased
1,hk update iterations,P32,P8,32,8,40,37,37,ch130.tsp;pr144.tsp;rat195.tsp,,37,,40,,37,,wall_seconds,37,1857.7121122609824,3053.8392932489514,0.6438711214151409,9,0,28
1,hk update iterations,P32,P8,32,8,40,37,37,ch130.tsp;pr144.tsp;rat195.tsp,,37,,40,,37,,branches,37,4206427.0,8284534.0,0.9694943000318323,2,10,25
1,hk update iterations,P32,P8,32,8,40,37,37,ch130.tsp;pr144.tsp;rat195.tsp,,37,,40,,37,,search_node_potential_updates_skipped_total,37,385763.0,352221.0,-0.08694975930817628,2,25,10
2,hk update iterations,P32,P16,32,16,40,38,38,pr144.tsp;rat195.tsp,,38,,40,,38,,wall_seconds,38,2173.3040302377194,3061.1032163146883,0.4085020658521763,17,0,21
2,hk update iterations,P32,P16,32,16,40,38,38,pr144.tsp;rat195.tsp,,38,,40,,38,,branches,38,4412379.0,6205250.0,0.4063275162899651,3,11,24
2,hk update iterations,P32,P16,32,16,40,38,38,pr144.tsp;rat195.tsp,,38,,40,,38,,search_node_potential_updates_skipped_total,38,387470.0,378424.0,-0.023346323586342144,6,25,7
3,hk update iterations,P32,P128 [P128-ba5f558d610b],32,64,40,40,40,,,40,,40,,40,,wall_seconds,40,3785.6563758030534,4431.547651216388,0.17061539962837258,16,0,24
3,hk update iterations,P32,P128 [P128-ba5f558d610b],32,64,40,40,40,,,40,,40,,40,,branches,40,4903534.0,4370706.0,-0.1086620384400312,25,11,4
3,hk update iterations,P32,P128 [P128-ba5f558d610b],32,64,40,40,40,,,40,,40,,40,,search_node_potential_updates_skipped_total,40,387500.0,389711.0,0.005705806451612894,6,28,6
4,hk update iterations,P32,P64,32,64,40,40,40,,,40,,40,,40,,wall_seconds,40,3785.6563758030534,4440.001659082249,0.17284856794229997,13,0,27
4,hk update iterations,P32,P64,32,64,40,40,40,,,40,,40,,40,,branches,40,4903534.0,4370706.0,-0.1086620384400312,25,11,4
4,hk update iterations,P32,P64,32,64,40,40,40,,,40,,40,,40,,search_node_potential_updates_skipped_total,40,387500.0,389711.0,0.005705806451612894,6,28,6
5,hk update iterations,P32,P128 [P128-e0c758997a9b],32,128,40,38,38,rat195.tsp;u159.tsp,,38,,40,,38,,wall_seconds,38,2167.1095953639597,3511.352470157668,0.6202929827219683,2,0,36
5,hk update iterations,P32,P128 [P128-e0c758997a9b],32,128,40,38,38,rat195.tsp;u159.tsp,,38,,40,,38,,branches,38,4396939.0,3787276.0,-0.13865623334779031,21,13,4
5,hk update iterations,P32,P128 [P128-e0c758997a9b],32,128,40,38,38,rat195.tsp;u159.tsp,,38,,40,,38,,search_node_potential_updates_skipped_total,38,387460.0,389812.0,0.006070304031383866,5,27,6
6,hk update iterations,H232,H2,32,16,40,38,38,pr144.tsp;rat195.tsp,,38,,40,,38,,wall_seconds,38,1939.8074405360967,3214.2789176423103,0.6570092734328274,12,0,26
6,hk update iterations,H232,H2,32,16,40,38,38,pr144.tsp;rat195.tsp,,38,,40,,38,,branches,38,6715970.0,10846246.0,0.6149932176588042,2,12,24
6,hk update iterations,H232,H2,32,16,40,38,38,pr144.tsp;rat195.tsp,,38,,40,,38,,search_node_potential_updates_skipped_total,38,1696164.0,2918556.0,0.7206803115736451,1,13,24
7,hk update iterations,H3,PH332,16,32,37,38,37,,ch130.tsp,37,,37,,38,,wall_seconds,37,2710.5086095985025,1878.9030177593231,-0.306807950690244,18,0,19
7,hk update iterations,H3,PH332,16,32,37,38,37,,ch130.tsp,37,,37,,38,,branches,37,15607623.0,9272967.0,-0.40586936268258145,21,14,2
7,hk update iterations,H3,PH332,16,32,37,38,37,,ch130.tsp,37,,37,,38,,search_node_potential_updates_skipped_total,37,5772378.0,3219333.0,-0.4422865238555064,22,15,0
8,hk update iterations,H4,PH432,16,32,37,38,37,,ch130.tsp,37,,37,,38,,wall_seconds,37,4095.0377891026437,2548.825733775273,-0.3775818771299291,21,0,16
8,hk update iterations,H4,PH432,16,32,37,38,37,,ch130.tsp,37,,37,,38,,branches,37,28094432.0,14736544.0,-0.4754638926318211,20,13,4
8,hk update iterations,H4,PH432,16,32,37,38,37,,ch130.tsp,37,,37,,38,,search_node_potential_updates_skipped_total,37,12222689.0,6049533.0,-0.5050571114097724,20,14,3
9,hk update iterations,HP1,HP132,16,32,37,37,37,,,37,,37,,37,,wall_seconds,37,2829.833897214383,2766.785933673382,-0.022279740023986583,15,0,22
9,hk update iterations,HP1,HP132,16,32,37,37,37,,,37,,37,,37,,branches,37,9731540.0,9255767.0,-0.04888979544861349,20,13,4
