run_id,strategy,repeat,instance,status,wall_seconds,result,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_potential_iterations,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_iterations
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.055313149467110634,10628.0,265,207,114,74,100,206,1,0,0,0,0,0,1,0,0,204,0,32
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.015329819172620773,1610.0,3,3,0,6,100,2,0,0,0,0,0,0,0,0,0,2,0,0
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.04327728785574436,2020.0,15,11,2,11,100,10,0,0,0,0,0,0,0,0,0,10,0,0
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.036496538668870926,7542.0,1,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.15934285707771778,25395.0,25075,17028,14788,742,120,17027,2,0,0,0,0,0,0,0,0,17025,0,64
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.036076921969652176,3323.0,1,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/d198.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/dantzig42.tsp,ok,0.05149998515844345,699.0,12,6,6,1,100,5,0,0,0,0,0,0,0,0,0,5,0,0
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/national/dj38.tsp,ok,0.03621377423405647,6656.0,1,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/eil101.tsp,ok,1.3348700534552336,629.0,163992,120115,94615,1480,500,120178,247,0,0,0,0,0,1,0,0,119930,0,6545
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/eil51.tsp,ok,0.08951637521386147,426.0,2141,1646,950,552,400,1726,161,0,0,0,0,0,0,0,0,1565,0,3293
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/eil76.tsp,ok,0.17994452454149723,538.0,4438,3635,2427,3,364,3635,30,0,0,0,0,0,1,0,0,3604,0,939
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/fri26.tsp,ok,0.03144918382167816,937.0,1,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/gr120.tsp,ok,160.36105051636696,6942.0,33476106,23948471,19283549,0,400,23948470,32,0,0,0,0,0,5,0,0,23948433,0,1018
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/gr137.tsp,ok,33.96246764436364,69853.0,2942576,2176072,1659900,45113,800,2176153,1096,0,0,0,0,0,5,0,0,2175052,0,33632
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/gr17.tsp,ok,0.0043112169951200485,2085.0,1,0,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/gr21.tsp,ok,0.03745410218834877,2707.0,1,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/gr24.tsp,ok,0.03044567070901394,1272.0,1,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/gr48.tsp,ok,0.3207048997282982,5046.0,41108,29878,23812,28,334,30062,553,0,0,0,0,0,1,0,0,29508,0,13498
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/gr96.tsp,ok,1.9892821162939072,55209.0,390339,270560,226718,95,319,270584,248,0,0,0,0,0,2,0,0,270334,0,7480
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/hk48.tsp,ok,0.04301038943231106,11461.0,44,36,19,14,100,35,0,0,0,0,0,0,0,0,0,35,0,0
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/kroA100.tsp,ok,30.869010239839554,21282.0,5903961,4292060,3446016,8,649,4293020,4887,0,0,0,0,0,3,0,0,4288108,22,138630
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/kroA150.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/kroB100.tsp,ok,46.78498235717416,22141.0,11758320,8535273,6770015,7991,745,8535431,1740,0,0,0,0,0,1,0,0,8533690,0,52927
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/kroB150.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
gap0.005-0.03-0ac682d000e0,gap0.005-0.03,1,/home/wj/code/TSP/data/classic/tsplib/kroC100.tsp,ok,9.58219026401639,20749.0,1714367,1251106,992055,68,618,1251536,2139,0,0,0,0,0,0,0,0,1249397,0,60087
