run_id,strategy,repeat,instance,status,wall_seconds,result,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_potential_iterations,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_iterations
hybrid-67f085804e40,hybrid,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.05543021857738495,10628.0,36,15,23,1,208,25,24,0,0,0,0,0,1,0,0,0,0,251
hybrid-67f085804e40,hybrid,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.0158709604293108,1610.0,3,1,2,1,125,2,2,0,0,0,0,0,0,0,0,0,0,7
hybrid-67f085804e40,hybrid,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.0440558847039938,2020.0,9,3,5,1,125,7,7,0,0,0,0,0,0,0,0,0,0,51
hybrid-67f085804e40,hybrid,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.032170940190553665,7542.0,1,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
hybrid-67f085804e40,hybrid,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
hybrid-67f085804e40,hybrid,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.08734294213354588,25395.0,30,10,20,6,212,24,24,0,0,0,0,0,0,0,0,0,0,223
hybrid-67f085804e40,hybrid,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,ok,0.4511651508510113,1950.0,101,37,64,1,346,43,43,0,0,0,0,0,0,0,0,0,0,593
hybrid-67f085804e40,hybrid,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.033726777881383896,3323.0,1,0,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
hybrid-67f085804e40,hybrid,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,ok,843.7876776047051,6110.0,904164,291794,619746,1,528,850624,848919,0,0,0,0,0,1,0,0,0,1704,7824399
hybrid-67f085804e40,hybrid,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,ok,631.7998866904527,6528.0,504420,159036,348840,5,1140,481457,481451,0,0,0,0,0,1,0,0,0,5,4449190
hybrid-67f085804e40,hybrid,1,/home/wj/code/TSP/data/classic/tsplib/d198.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
hybrid-67f085804e40,hybrid,1,/home/wj/code/TSP/data/classic/tsplib/dantzig42.tsp,ok,0.02639993466436863,699.0,4,1,3,1,139,2,2,0,0,0,0,0,0,0,0,0,0,12
