comparison,factor,left,right,left_value,right_value,left_ok,right_ok,common_ok,left_only,right_only,result_agreements,result_mismatches,left_reference_checked,left_reference_mismatches,right_reference_checked,right_reference_mismatches,metric,paired_values,left_total,right_total,aggregate_relative_change,decreased,tied,increased
1,hk node ascent,P32,PPS32,hk node ascent=polyak,hk node ascent=polyak-smoothed,40,41,40,,bier127.tsp,40,,40,,41,,wall_seconds,40,3654.830293653533,3726.2295857705176,0.019535597108562452,22,0,18
1,hk node ascent,P32,PPS32,hk node ascent=polyak,hk node ascent=polyak-smoothed,40,41,40,,bier127.tsp,40,,40,,41,,branches,40,4903534.0,5015701.0,0.022874726676719304,15,12,13
1,hk node ascent,P32,PPS32,hk node ascent=polyak,hk node ascent=polyak-smoothed,40,41,40,,bier127.tsp,40,,40,,41,,search_node_potential_updates_skipped_total,40,387500.0,387933.0,0.0011174193548386668,6,29,5
2,hk node ascent,P32,PPSD32,hk node ascent=polyak,hk node ascent=polyak-smoothed-dynamic,40,41,40,,bier127.tsp,40,,40,,41,,wall_seconds,40,3654.830293653533,3940.163453342393,0.07807015285616137,16,0,24
2,hk node ascent,P32,PPSD32,hk node ascent=polyak,hk node ascent=polyak-smoothed-dynamic,40,41,40,,bier127.tsp,40,,40,,41,,branches,40,4903534.0,5183442.0,0.0570829120385421,14,12,14
2,hk node ascent,P32,PPSD32,hk node ascent=polyak,hk node ascent=polyak-smoothed-dynamic,40,41,40,,bier127.tsp,40,,40,,41,,search_node_potential_updates_skipped_total,40,387500.0,387346.0,-0.0003974193548387239,5,29,6
3,hk ascent、hk node ascent、hk update iterations,P32,PS-PS16,hk ascent=polyak；hk node ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed；hk node ascent=polyak-smoothed；hk update iterations=16,40,40,40,,,40,,40,,40,,wall_seconds,40,3654.830293653533,4583.749771634117,0.254162137047407,11,0,29
3,hk ascent、hk node ascent、hk update iterations,P32,PS-PS16,hk ascent=polyak；hk node ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed；hk node ascent=polyak-smoothed；hk update iterations=16,40,40,40,,,40,,40,,40,,branches,40,4903534.0,6071450.0,0.23817842396932498,8,10,22
3,hk ascent、hk node ascent、hk update iterations,P32,PS-PS16,hk ascent=polyak；hk node ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed；hk node ascent=polyak-smoothed；hk update iterations=16,40,40,40,,,40,,40,,40,,search_node_potential_updates_skipped_total,40,387500.0,266572.0,-0.3120722580645161,9,21,10
4,hk ascent、hk node ascent,P32,PS-PS32,hk ascent=polyak；hk node ascent=polyak,hk ascent=polyak-smoothed；hk node ascent=polyak-smoothed,40,41,40,,bier127.tsp,40,,40,,41,,wall_seconds,40,3654.830293653533,3080.262887759134,-0.15720768400440155,12,0,28
4,hk ascent、hk node ascent,P32,PS-PS32,hk ascent=polyak；hk node ascent=polyak,hk ascent=polyak-smoothed；hk node ascent=polyak-smoothed,40,41,40,,bier127.tsp,40,,40,,41,,branches,40,4903534.0,3747926.0,-0.23566839752717117,13,10,17
4,hk ascent、hk node ascent,P32,PS-PS32,hk ascent=polyak；hk node ascent=polyak,hk ascent=polyak-smoothed；hk node ascent=polyak-smoothed,40,41,40,,bier127.tsp,40,,40,,41,,search_node_potential_updates_skipped_total,40,387500.0,276716.0,-0.2858941935483871,9,24,7
5,hk ascent、hk node ascent、hk update iterations,P32,PS-PS64,hk ascent=polyak；hk node ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed；hk node ascent=polyak-smoothed；hk update iterations=16,40,40,40,,,40,,40,,40,,wall_seconds,40,3654.830293653533,4611.23813666217,0.2616832427676332,7,0,33
5,hk ascent、hk node ascent、hk update iterations,P32,PS-PS64,hk ascent=polyak；hk node ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed；hk node ascent=polyak-smoothed；hk update iterations=16,40,40,40,,,40,,40,,40,,branches,40,4903534.0,6071450.0,0.23817842396932498,8,10,22
5,hk ascent、hk node ascent、hk update iterations,P32,PS-PS64,hk ascent=polyak；hk node ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed；hk node ascent=polyak-smoothed；hk update iterations=16,40,40,40,,,40,,40,,40,,search_node_potential_updates_skipped_total,40,387500.0,266572.0,-0.3120722580645161,9,21,10
6,hk ascent,P32,PS32,hk ascent=polyak,hk ascent=polyak-smoothed,40,40,40,,,40,,40,,40,,wall_seconds,40,3654.830293653533,3515.826801761985,-0.03803281704568395,17,0,23
6,hk ascent,P32,PS32,hk ascent=polyak,hk ascent=polyak-smoothed,40,40,40,,,40,,40,,40,,branches,40,4903534.0,3987931.0,-0.18672308583972297,12,10,18
6,hk ascent,P32,PS32,hk ascent=polyak,hk ascent=polyak-smoothed,40,40,40,,,40,,40,,40,,search_node_potential_updates_skipped_total,40,387500.0,276339.0,-0.28686709677419353,9,23,8
7,hk ascent、hk node ascent、hk update iterations,P32,PSD-PSD16,hk ascent=polyak；hk node ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak-smoothed-dynamic；hk update iterations=16,40,38,38,ch130.tsp;kroA150.tsp,,38,,40,,38,,wall_seconds,38,3184.5870875678957,2564.6464397087693,-0.1946690829336314,11,0,27
7,hk ascent、hk node ascent、hk update iterations,P32,PSD-PSD16,hk ascent=polyak；hk node ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak-smoothed-dynamic；hk update iterations=16,40,38,38,ch130.tsp;kroA150.tsp,,38,,40,,38,,branches,38,4607633.0,3991040.0,-0.13381990275701217,9,10,19
7,hk ascent、hk node ascent、hk update iterations,P32,PSD-PSD16,hk ascent=polyak；hk node ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak-smoothed-dynamic；hk update iterations=16,40,38,38,ch130.tsp;kroA150.tsp,,38,,40,,38,,search_node_potential_updates_skipped_total,38,385784.0,134873.0,-0.6503924475872509,8,19,11
8,hk ascent、hk node ascent,P32,PSD-PSD32,hk ascent=polyak；hk node ascent=polyak,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak-smoothed-dynamic,40,40,40,,,40,,40,,40,,wall_seconds,40,3654.830293653533,3813.595882439986,0.04343993456061224,19,0,21
8,hk ascent、hk node ascent,P32,PSD-PSD32,hk ascent=polyak；hk node ascent=polyak,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak-smoothed-dynamic,40,40,40,,,40,,40,,40,,branches,40,4903534.0,3685356.0,-0.24842858232450316,16,10,14
8,hk ascent、hk node ascent,P32,PSD-PSD32,hk ascent=polyak；hk node ascent=polyak,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak-smoothed-dynamic,40,40,40,,,40,,40,,40,,search_node_potential_updates_skipped_total,40,387500.0,134906.0,-0.6518554838709678,9,21,10
9,hk ascent、hk node ascent、hk update iterations,P32,PSD-PSD64,hk ascent=polyak；hk node ascent=polyak；hk update iterations=32,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak-smoothed-dynamic；hk update iterations=16,40,38,38,ch130.tsp;kroA150.tsp,,38,,40,,38,,wall_seconds,38,3184.5870875678957,2566.4406907372177,-0.1941056657686706,10,0,28
