instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PAA:status,PAA:successful_repeats,PAA:result,hybrid32:status,hybrid32:successful_repeats,hybrid32:result,result_match,PAA:matches_reference,hybrid32:matches_reference,PAA:wall_vs_Concorde_symmetric_change,hybrid32:wall_vs_Concorde_symmetric_change,PAA:wall_seconds,hybrid32:wall_seconds,symmetric_change:wall_seconds,PAA:branches,hybrid32:branches,symmetric_change:branches,PAA:nodes_expanded,hybrid32:nodes_expanded,PAA:pruned_by_bound,hybrid32:pruned_by_bound,PAA:pruned_infeasible,hybrid32:pruned_infeasible,PAA:root_potential_iterations,hybrid32:root_potential_iterations,PAA:search_node_potential_update_candidates,hybrid32:search_node_potential_update_candidates,PAA:search_node_potential_updates_triggered,hybrid32:search_node_potential_updates_triggered,PAA:search_node_potential_updates_skipped_total,hybrid32:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,PAA:search_node_potential_iterations,hybrid32:search_node_potential_iterations,PAA:search_node_potential_updates_skipped_budget_exhausted,hybrid32:search_node_potential_updates_skipped_budget_exhausted,PAA:search_node_potential_updates_skipped_depth_interval,hybrid32:search_node_potential_updates_skipped_depth_interval,PAA:search_node_potential_updates_skipped_gap_above_maximum,hybrid32:search_node_potential_updates_skipped_gap_above_maximum,PAA:search_node_potential_updates_skipped_gap_below_minimum,hybrid32:search_node_potential_updates_skipped_gap_below_minimum,PAA:search_node_potential_updates_skipped_invalid_state,hybrid32:search_node_potential_updates_skipped_invalid_state,PAA:search_node_potential_updates_skipped_numerically_unsafe,hybrid32:search_node_potential_updates_skipped_numerically_unsafe,PAA:search_node_potential_updates_skipped_strategy_none,hybrid32:search_node_potential_updates_skipped_strategy_none,PAA:search_node_potential_updates_skipped_update_depth_zero,hybrid32:search_node_potential_updates_skipped_update_depth_zero,PAA:search_node_potential_updates_skipped_zero_iteration_limit,hybrid32:search_node_potential_updates_skipped_zero_iteration_limit,PAA:search_node_potential_updates_skipped_zero_violation,hybrid32:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.6956443351708814,-0.5801364990937883,0.055406881496310234,0.059457119554281235,0.07309991013012929,29.0,37.0,0.27586206896551735,6.0,7.0,23.0,30.0,0.0,7.0,100.0,208.0,18.0,33.0,18.0,33.0,0.0,0.0,0.0,206.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,0.8522731055175856,0.19629906448829626,0.06613024324178696,0.04271052032709122,-0.5483361648450966,3.0,3.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,100.0,125.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-1.8617193231760445,-1.0470447338422488,0.014483975246548653,0.020248249173164368,0.3979759581534268,13.0,13.0,0.0,4.0,4.0,5.0,5.0,11.0,11.0,100.0,125.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.18422296486931655,0.11484598665034462,0.05320773273706436,0.0702462438493967,0.32022621968372955,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bier127.tsp,ok,0.20501085184514523,118282.0,1.0,ok,1,118282.0,ok,1,118282.0,True,True,True,3033.3059923310507,3045.013696931131,622.0656562466174,624.4658627398312,0.0038584455983248223,562892.0,562892.0,0.0,65625.0,65625.0,497743.0,497743.0,0.0,0.0,400.0,520.0,509783.0,509783.0,509774.0,509774.0,9.0,9.0,0.0,4610688.0,4610688.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.0906635097139612,-0.10913773761949708,0.09143008664250374,0.0899071916937828,-0.016938522047355242,143.0,31.0,-3.612903225806452,18.0,5.0,125.0,26.0,0.0,5.0,120.0,212.0,127.0,28.0,127.0,28.0,0.0,0.0,0.0,1230.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,3.1148059245083095,0.3205456392895567,0.05074954964220524,0.0162868183106184,-2.1159891805951085,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.19108222052454948,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,6594.489054649946,7123.854567900883,1260.2806940078735,1361.4330317489803,0.08026175297459148,1058261.0,1058261.0,0.0,145611.0,145611.0,913781.0,913781.0,0.0,0.0,400.0,528.0,1003796.0,1003796.0,1003789.0,1003789.0,7.0,7.0,0.0,10616547.0,10616547.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,3491.939830675709,1050.993835276731,1221.32664331235,367.83573777601123,-2.320304467142507,896169.0,259644.0,-2.4515297869390396,85809.0,28413.0,810913.0,231479.0,0.0,0.0,400.0,594.0,851229.0,245383.0,851104.0,245379.0,125.0,4.0,-30.25,7560443.0,2305036.0,0.0,0.0,0.0,0.0,125.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.92844720769402,0.8343108946674236,0.06025751680135727,0.057316072285175323,-0.05131971537663693,3.0,5.0,0.6666666666666667,1.0,1.0,2.0,4.0,0.0,0.0,100.0,139.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
