instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P16:status,P16:successful_repeats,P16:result,D0:status,D0:successful_repeats,D0:result,result_match,P16:matches_reference,D0:matches_reference,P16:wall_vs_Concorde_symmetric_change,D0:wall_vs_Concorde_symmetric_change,P16:wall_seconds,D0:wall_seconds,symmetric_change:wall_seconds,P16:branches,D0:branches,symmetric_change:branches,P16:nodes_expanded,D0:nodes_expanded,P16:pruned_by_bound,D0:pruned_by_bound,P16:pruned_infeasible,D0:pruned_infeasible,P16:root_potential_iterations,D0:root_potential_iterations,P16:search_node_potential_update_candidates,D0:search_node_potential_update_candidates,P16:search_node_potential_updates_triggered,D0:search_node_potential_updates_triggered,P16:search_node_potential_updates_skipped_total,D0:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,P16:search_node_potential_iterations,D0:search_node_potential_iterations,P16:search_node_potential_updates_skipped_budget_exhausted,D0:search_node_potential_updates_skipped_budget_exhausted,P16:search_node_potential_updates_skipped_depth_interval,D0:search_node_potential_updates_skipped_depth_interval,P16:search_node_potential_updates_skipped_gap_above_maximum,D0:search_node_potential_updates_skipped_gap_above_maximum,P16:search_node_potential_updates_skipped_gap_below_minimum,D0:search_node_potential_updates_skipped_gap_below_minimum,P16:search_node_potential_updates_skipped_invalid_state,D0:search_node_potential_updates_skipped_invalid_state,P16:search_node_potential_updates_skipped_numerically_unsafe,D0:search_node_potential_updates_skipped_numerically_unsafe,P16:search_node_potential_updates_skipped_strategy_none,D0:search_node_potential_updates_skipped_strategy_none,P16:search_node_potential_updates_skipped_update_depth_zero,D0:search_node_potential_updates_skipped_update_depth_zero,P16:search_node_potential_updates_skipped_zero_iteration_limit,D0:search_node_potential_updates_skipped_zero_iteration_limit,P16:search_node_potential_updates_skipped_zero_violation,D0:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-2.3017915704556557,-1.5841197029527816,0.028454359620809555,0.036356816068291664,0.27772392535950097,36.0,36.0,0.0,14.0,14.0,23.0,23.0,0.0,0.0,100.0,100.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,293.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.9144879384374685,-1.1451239125941162,0.018648438155651093,0.016643425449728966,-0.1204687527803825,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-1.064920634905906,-0.7605324540798191,0.02007296122610569,0.02354348637163639,0.17289552380628037,9.0,9.0,0.0,3.0,3.0,5.0,5.0,1.0,1.0,100.0,100.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-4.359116012471601,-1.4477400103848352,0.01175750233232975,0.02574203908443451,1.1894139041462322,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.6617671831406877,-0.3846612014901529,0.060008080676198006,0.07201722636818886,0.20012547571371053,125.0,125.0,0.0,38.0,38.0,88.0,88.0,0.0,0.0,120.0,120.0,107.0,107.0,107.0,107.0,0.0,0.0,0.0,909.0,909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.5303423590745342,-0.2364360612526064,0.008059242740273476,0.00997496023774147,0.23770440464521703,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.3587540499378876,-0.008439117614013725,0.02299654670059681,0.030985163524746895,0.3473833235988759,3.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.4800768045337045,-0.966963818380504,0.01648634672164917,0.01240544393658638,-0.3289606406609369,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.08340847492218018,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,3.7772527989540947,3.925851164673616,0.39846337027847767,0.4108577333390713,0.031105401362066187,669.0,669.0,0.0,145.0,145.0,528.0,528.0,0.0,0.0,400.0,400.0,333.0,333.0,306.0,306.0,27.0,27.0,0.0,3068.0,3068.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
eil51.tsp,ok,0.04456336051225662,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.62149913069182,1.0371821307220817,0.11682281084358692,0.09078368172049522,-0.28682609726339314,434.0,434.0,0.0,150.0,150.0,291.0,291.0,56.0,56.0,400.0,400.0,407.0,407.0,407.0,407.0,0.0,0.0,0.0,3861.0,3861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.05953832529485226,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,2.8970225777775553,2.89758977136905,0.23202219791710377,0.23205596767365932,0.00014554536961863818,461.0,461.0,0.0,132.0,132.0,336.0,336.0,0.0,0.0,364.0,364.0,331.0,331.0,322.0,322.0,9.0,9.0,0.0,3304.0,3304.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.03324941731989384,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.45747903449299576,-1.3696541505216304,0.022812964394688606,0.014031337574124336,-0.6258581389103464,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.18835646659135818,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,80.12385533087057,1585.3914599717407,15.280202746391296,298.8070900309831,18.55517835661912,17218.0,66797543.0,3878.518120571495,5309.0,48470559.0,12010.0,39236154.0,0.0,9.0,400.0,800.0,15777.0,48474528.0,15651.0,6000.0,126.0,48468528.0,384669.85714285716,140529.0,54356.0,0.0,48468407.0,0.0,0.0,123.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
gr137.tsp,ok,0.3520910255610943,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,606.8199948229736,1040.752333182544,214.00796533375978,366.7916473709047,0.7139158666307981,227526.0,23750078.0,103.38401765073003,80843.0,16007392.0,148909.0,14081415.0,2.0,48.0,400.0,800.0,210360.0,16011038.0,210357.0,6000.0,3.0,16005038.0,5335011.666666667,1969124.0,56894.0,0.0,16005035.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr17.tsp,ok,0.02862764336168766,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-1.0559970570038293,-1.5025867943468776,0.013923970982432365,0.011439220979809761,-0.2172132181910107,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.011052632704377174,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.24993440163590597,0.2806437049079711,0.01381506584584713,0.014154484495520592,0.02456873195255116,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.028689557686448097,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-0.408151092984975,-0.6518014156346967,0.02037391997873783,0.017368648201227188,-0.17302853640033455,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.09573289565742016,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.6647160557976584,2.4167486717453683,0.3508338797837496,0.32709524407982826,-0.07257407783687575,2354.0,76141.0,31.345369583687344,747.0,54505.0,1619.0,45142.0,0.0,140.0,334.0,334.0,2178.0,55153.0,2171.0,1000.0,7.0,54153.0,7735.142857142857,19414.0,9070.0,0.0,54146.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr96.tsp,ok,0.23831740580499172,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,26.411799302364894,38.930553452123895,6.532708898186684,9.516145911067724,0.45669217155982067,14143.0,1624631.0,113.87173866930637,5120.0,1101782.0,9212.0,956926.0,2.0,3146.0,319.0,319.0,12968.0,1104802.0,12967.0,5000.0,1.0,1099802.0,1099801.0,123800.0,47689.0,0.0,1099801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hk48.tsp,ok,0.04591211676597595,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.6232672645610562,-0.3187437798208803,0.028283769264817238,0.03481503948569298,0.23091937145025865,21.0,21.0,0.0,9.0,9.0,12.0,12.0,2.0,2.0,100.0,100.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,139.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.11181685701012611,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,993.1753663402266,6559.421474273602,111.16556478105485,733.5657099150121,5.598857401208728,439737.0,157366475.0,356.864985207067,85517.0,119861627.0,354732.0,94173614.0,0.0,6178.0,320.0,649.0,416167.0,119866245.0,354691.0,6000.0,61476.0,119860245.0,1948.707934803826,1638919.0,44110.0,0.0,119859660.0,0.0,0.0,61476.0,584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kroC100.tsp,ok,0.12055660411715508,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,164.98839922245043,257.81076555790526,20.01099773310125,31.20134700462222,0.5592099614808523,37038.0,6988273.0,187.67846535990066,11521.0,5028819.0,25675.0,4081345.0,0.0,2589.0,301.0,618.0,34305.0,5032846.0,34293.0,6000.0,12.0,5026846.0,418902.8333333333,304589.0,52644.0,0.0,5026834.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.1392245627939701,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,136.17078821931742,290.0216945560608,19.097543017938733,40.517368188127875,1.1216010954953233,29829.0,9422607.0,314.8874585135271,10043.0,6567408.0,19997.0,5716019.0,0.0,659.0,378.0,778.0,27892.0,6571488.0,27595.0,6000.0,297.0,6565488.0,22105.0202020202,258196.0,53023.0,0.0,6565442.0,0.0,0.0,292.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
lin105.tsp,ok,0.09504959546029568,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.1515761621402172,1.1217071042019473,0.20450644381344318,0.2016674019396305,-0.014077842261599471,65.0,65.0,0.0,18.0,18.0,47.0,47.0,0.0,0.0,333.0,333.0,33.0,33.0,31.0,31.0,2.0,2.0,0.0,303.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
pr124.tsp,ok,0.5092240646481514,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,11.369932946626678,7.537475106587502,6.299067534506321,4.347487775608897,-0.4488982740438163,8174.0,137396.0,15.808906288230975,2938.0,101073.0,5297.0,79134.0,0.0,0.0,341.0,341.0,7550.0,103376.0,7550.0,3781.0,0.0,99595.0,,71237.0,36167.0,0.0,99594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rat99.tsp,ok,1.2710327673703432,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-1.4951064443195712,-1.6515000201588141,0.5094102378934622,0.47936366498470306,-0.06268012180213511,844.0,844.0,0.0,262.0,262.0,590.0,590.0,0.0,0.0,400.0,400.0,694.0,694.0,693.0,693.0,1.0,1.0,0.0,6622.0,6622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
rd100.tsp,ok,0.09606701135635376,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,5.024328430289805,5.148508158434037,0.5787392277270555,0.5906688030809164,0.020613040869396748,667.0,667.0,0.0,227.0,227.0,449.0,449.0,0.0,0.0,400.0,400.0,552.0,552.0,541.0,541.0,11.0,11.0,0.0,5288.0,5288.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
st70.tsp,ok,0.07336051017045975,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,15.252725343710992,19.176444334668084,1.192308222874999,1.480154249817133,0.24141914097350936,3585.0,135075.0,36.67782426778243,1295.0,100470.0,2351.0,79176.0,0.0,10.0,361.0,734.0,3293.0,101956.0,3291.0,2361.0,2.0,99595.0,49796.5,34226.0,23465.0,0.0,99593.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
