instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,hybrid-reverse:status,hybrid-reverse:successful_repeats,hybrid-reverse:result,result_match,P32:matches_reference,hybrid-reverse:matches_reference,P32:wall_vs_Concorde_relative_change,hybrid-reverse:wall_vs_Concorde_relative_change,P32:wall_seconds,hybrid-reverse:wall_seconds,relative_change:wall_seconds,P32:branches,hybrid-reverse:branches,relative_change:branches,P32:nodes_expanded,hybrid-reverse:nodes_expanded,P32:pruned_by_bound,hybrid-reverse:pruned_by_bound,P32:pruned_infeasible,hybrid-reverse:pruned_infeasible,P32:root_potential_iterations,hybrid-reverse:root_potential_iterations,P32:search_node_potential_update_candidates,hybrid-reverse:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,hybrid-reverse:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,hybrid-reverse:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,hybrid-reverse:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,hybrid-reverse:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,hybrid-reverse:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,hybrid-reverse:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,hybrid-reverse:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,hybrid-reverse:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,hybrid-reverse:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,hybrid-reverse:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,hybrid-reverse:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,hybrid-reverse:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,hybrid-reverse:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.6340954076313081,-0.5467292109735737,0.03277943842113018,0.04060610942542553,0.23876769649751362,29.0,32.0,0.10344827586206895,9.0,11.0,20.0,21.0,1.0,0.0,100.0,210.0,26.0,19.0,26.0,19.0,0.0,0.0,0.0,332.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.33553282791345895,-0.27863283452803,0.015848398208618164,0.017205536365509033,0.08563251244866343,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,127.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.4686148999616049,-0.2982100464453783,0.021672306582331657,0.02862219326198101,0.3206805262396595,10.0,11.0,0.10000000000000009,3.0,3.0,5.0,6.0,3.0,3.0,100.0,125.0,7.0,8.0,7.0,8.0,0.0,0.0,0.0,82.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.5577923517784235,-0.47719920383352976,0.02518514357507229,0.029775181785225868,0.1822518182781654,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.4132228188333388,-0.25515462833497404,0.053270261734724045,0.067620400339365,0.26938366993768437,88.0,36.0,-0.5909090909090908,26.0,11.0,62.0,25.0,0.0,1.0,120.0,190.0,82.0,30.0,82.0,30.0,0.0,0.0,0.0,1173.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.6582272780728018,-0.6537369980169335,0.008114388212561607,0.008220996707677841,0.013138204917432672,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1549.4207871066144,9378.945144450085,286.81496934965253,1735.2119511552155,5.049935103072812,205952.0,1149734.0,4.5825337942821625,62812.0,368633.0,143850.0,785204.0,0.0,3.0,400.0,586.0,195829.0,1090625.0,194122.0,1090594.0,1707.0,31.0,-0.9818394844756884,3035962.0,17677823.0,0.0,0.0,0.0,0.0,1704.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,359.77294266837913,1156.2084709906856,120.09638583473861,385.2188969478011,2.207581096386118,60352.0,185347.0,2.0710995493107105,18041.0,57361.0,42505.0,128620.0,0.0,0.0,400.0,616.0,58114.0,178853.0,57710.0,178817.0,404.0,36.0,-0.9108910891089109,895438.0,2871263.0,0.0,0.0,0.0,0.0,404.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.3739902850894712,-0.08107596292910668,0.027104808017611504,0.03978733718395233,0.4679069911913887,3.0,6.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,100.0,201.0,2.0,5.0,2.0,5.0,0.0,0.0,0.0,18.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.47175517465320815,-0.3227350126124129,0.0198777224868536,0.025485314428806305,0.2821043480037193,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
