instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,H232:status,H232:successful_repeats,H232:result,result_match,P32:matches_reference,H232:matches_reference,P32:wall_vs_Concorde_symmetric_change,H232:wall_vs_Concorde_symmetric_change,P32:wall_seconds,H232:wall_seconds,symmetric_change:wall_seconds,P32:branches,H232:branches,symmetric_change:branches,P32:nodes_expanded,H232:nodes_expanded,P32:pruned_by_bound,H232:pruned_by_bound,P32:pruned_infeasible,H232:pruned_infeasible,P32:root_potential_iterations,H232:root_potential_iterations,P32:search_node_potential_update_candidates,H232:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,H232:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,H232:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,H232:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,H232:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,H232:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,H232:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,H232:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,H232:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,H232:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,H232:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,H232:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,H232:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,H232:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.280356965488631,-1.2981883670681085,0.04119984991848469,0.04088018462061882,-0.00781956590540056,29.0,36.0,0.24137931034482762,9.0,16.0,20.0,22.0,1.0,0.0,100.0,100.0,26.0,32.0,26.0,21.0,0.0,11.0,,332.0,216.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.1171472166509857,-1.2880956576090563,0.01686335727572441,0.015603460371494293,-0.08074471138029127,3.0,3.0,0.0,1.0,3.0,2.0,0.0,1.0,6.0,100.0,100.0,2.0,2.0,2.0,0.0,0.0,2.0,,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.5087890647512452,-0.07536068252307504,0.027471747249364853,0.038544343784451485,0.4030539606592598,10.0,11.0,0.10000000000000009,3.0,6.0,5.0,3.0,3.0,7.0,100.0,100.0,7.0,7.0,7.0,3.0,0.0,4.0,,82.0,40.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.267908952022271,-0.7313900264503186,0.027783222496509552,0.03639261983335018,0.3098775650636725,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.5160023101159319,-0.11967222690711776,0.06577790714800358,0.08906129561364651,0.3539697365751413,88.0,236.0,1.6818181818181817,26.0,77.0,62.0,166.0,0.0,2.0,120.0,120.0,82.0,217.0,82.0,158.0,0.0,59.0,,1173.0,1348.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-2.1673487896860704,0.6334609187965645,0.003893919289112091,0.02014612779021263,4.1737404641497955,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.19108222052454948,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1650.6027347305765,1972.3898693342512,315.591917976737,377.0797181930393,0.1948332536856494,205952.0,551925.0,1.6798720090118087,62812.0,202638.0,143850.0,365216.0,0.0,10.0,400.0,400.0,195829.0,510583.0,194122.0,360139.0,1707.0,150444.0,87.13356766256591,3035962.0,3622978.0,0.0,0.0,0.0,148737.0,1704.0,1703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,331.7422744363169,369.52267927474804,116.34526353888214,129.5554009191692,0.11354254551043486,60352.0,148466.0,1.4600013255567337,18041.0,53739.0,42505.0,97732.0,0.0,0.0,400.0,400.0,58114.0,140359.0,57710.0,100673.0,404.0,39686.0,97.23267326732673,895438.0,1031450.0,0.0,0.0,0.0,39283.0,404.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.13790332974117248,-0.053574647310936196,0.03555566817522049,0.029657747596502304,-0.19886609930599586,3.0,7.0,1.3333333333333335,1.0,3.0,2.0,4.0,0.0,0.0,100.0,100.0,2.0,4.0,2.0,2.0,0.0,2.0,,18.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.19124088852354082,0.5903337188485169,0.020483732223510742,0.038805827498435974,0.8944705522900542,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
