instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,HP25:status,HP25:successful_repeats,HP25:result,HP2532:status,HP2532:successful_repeats,HP2532:result,result_match,HP25:matches_reference,HP2532:matches_reference,HP25:wall_vs_Concorde_symmetric_change,HP2532:wall_vs_Concorde_symmetric_change,HP25:wall_seconds,HP2532:wall_seconds,symmetric_change:wall_seconds,HP25:branches,HP2532:branches,symmetric_change:branches,HP25:nodes_expanded,HP2532:nodes_expanded,HP25:pruned_by_bound,HP2532:pruned_by_bound,HP25:pruned_infeasible,HP2532:pruned_infeasible,HP25:root_potential_iterations,HP2532:root_potential_iterations,HP25:search_node_potential_update_candidates,HP2532:search_node_potential_update_candidates,HP25:search_node_potential_updates_triggered,HP2532:search_node_potential_updates_triggered,HP25:search_node_potential_updates_skipped_total,HP2532:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,HP25:search_node_potential_iterations,HP2532:search_node_potential_iterations,HP25:search_node_potential_updates_skipped_budget_exhausted,HP2532:search_node_potential_updates_skipped_budget_exhausted,HP25:search_node_potential_updates_skipped_depth_interval,HP2532:search_node_potential_updates_skipped_depth_interval,HP25:search_node_potential_updates_skipped_gap_above_maximum,HP2532:search_node_potential_updates_skipped_gap_above_maximum,HP25:search_node_potential_updates_skipped_gap_below_minimum,HP2532:search_node_potential_updates_skipped_gap_below_minimum,HP25:search_node_potential_updates_skipped_invalid_state,HP2532:search_node_potential_updates_skipped_invalid_state,HP25:search_node_potential_updates_skipped_numerically_unsafe,HP2532:search_node_potential_updates_skipped_numerically_unsafe,HP25:search_node_potential_updates_skipped_strategy_none,HP2532:search_node_potential_updates_skipped_strategy_none,HP25:search_node_potential_updates_skipped_update_depth_zero,HP2532:search_node_potential_updates_skipped_update_depth_zero,HP25:search_node_potential_updates_skipped_zero_iteration_limit,HP2532:search_node_potential_updates_skipped_zero_iteration_limit,HP25:search_node_potential_updates_skipped_zero_violation,HP2532:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.5745954133921791,-0.47035383721659696,0.0596663523465395,0.06389643251895905,0.07089557189371032,182.0,182.0,0.0,150.0,150.0,51.0,51.0,110.0,110.0,208.0,208.0,149.0,149.0,0.0,0.0,149.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.16868858509285167,-1.1088508243368982,0.030548950657248497,0.01692969910800457,-0.8044591615219303,3.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,125.0,125.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-4.414044672776185,0.04965810820849015,0.00765584222972393,0.04350735433399677,4.682895888982504,15.0,15.0,0.0,11.0,11.0,2.0,2.0,11.0,11.0,125.0,125.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.35051819555094155,-0.15952691167336264,0.04665603116154671,0.054340971633791924,0.1647148349510501,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.9249993689584968,-1.0622098406162044,0.05180233344435692,0.04835563153028488,-0.07127819046088524,2516.0,2516.0,0.0,1584.0,1584.0,1288.0,1288.0,359.0,359.0,212.0,212.0,1583.0,1583.0,0.0,0.0,1583.0,1583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583.0,1583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brg180.tsp,ok,0.20812725275754929,1950.0,1.0,ok,1,1950.0,ok,1,1950.0,True,True,True,0.9678197827070862,1.0251894198998674,0.40955692529678345,0.4214971102774143,0.029153908145927332,87.0,87.0,0.0,38.0,38.0,51.0,51.0,3.0,3.0,346.0,346.0,37.0,37.0,0.0,0.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,0.23227894096816337,1.9041127584859132,0.01519818976521492,0.03581758588552475,1.3567007938999929,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.32325614777527445,0.29653866151055075,0.0413473229855299,0.04051249101758003,-0.02060677946432876,13.0,13.0,0.0,7.0,7.0,6.0,6.0,3.0,3.0,139.0,139.0,6.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,0.16718254862762216,0.18919538673361114,0.028480490669608116,0.029017627239227295,0.018859807432754838,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.08340847492218018,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,2.4475716880264007,54.551781700339156,0.2875566966831684,4.633489390835166,15.113307199172517,15767.0,1305125.0,81.77573412824253,11064.0,937587.0,8933.0,690684.0,0.0,129241.0,497.0,754.0,11063.0,937585.0,14.0,26.0,11049.0,937559.0,83.8546474794099,224.0,832.0,0.0,0.0,0.0,0.0,0.0,0.0,11046.0,937559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
