instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,PH432:status,PH432:successful_repeats,PH432:result,result_match,P32:matches_reference,PH432:matches_reference,P32:wall_vs_Concorde_symmetric_change,PH432:wall_vs_Concorde_symmetric_change,P32:wall_seconds,PH432:wall_seconds,symmetric_change:wall_seconds,P32:branches,PH432:branches,symmetric_change:branches,P32:nodes_expanded,PH432:nodes_expanded,P32:pruned_by_bound,PH432:pruned_by_bound,P32:pruned_infeasible,PH432:pruned_infeasible,P32:root_potential_iterations,PH432:root_potential_iterations,P32:search_node_potential_update_candidates,PH432:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,PH432:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,PH432:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,PH432:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,PH432:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,PH432:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,PH432:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,PH432:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,PH432:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,PH432:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,PH432:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,PH432:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,PH432:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,PH432:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.280356965488631,-2.1511020594308063,0.04119984991848469,0.029815081506967545,-0.381845959698504,29.0,75.0,1.5862068965517242,9.0,38.0,20.0,41.0,1.0,7.0,100.0,100.0,26.0,60.0,26.0,26.0,0.0,34.0,,332.0,196.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.1171472166509857,0.005608301728584175,0.01686335727572441,0.035902438685297966,1.1290208170457965,3.0,3.0,0.0,1.0,3.0,2.0,0.0,1.0,6.0,100.0,100.0,2.0,2.0,2.0,0.0,0.0,2.0,,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.5087890647512452,-1.426327276565294,0.027471747249364853,0.017083050683140755,-0.6081288851104734,10.0,15.0,0.5,3.0,10.0,5.0,3.0,3.0,10.0,100.0,100.0,7.0,10.0,7.0,1.0,0.0,9.0,,82.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.267908952022271,-0.8729510667798879,0.027783222496509552,0.03364199958741665,0.21087464176062176,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.5160023101159319,0.3359277824725,0.06577790714800358,0.13321799598634243,1.0252696043763643,88.0,1454.0,15.522727272727273,26.0,651.0,62.0,997.0,0.0,37.0,120.0,120.0,82.0,1205.0,82.0,586.0,0.0,619.0,,1173.0,2925.0,0.0,0.0,0.0,619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-2.1673487896860704,1.7972689944972728,0.003893919289112091,0.03449983894824982,7.859926564147308,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.19108222052454948,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1650.6027347305765,6064.752258060579,315.591917976737,1159.0574106220156,2.672646048899935,205952.0,4257378.0,19.671700201988813,62812.0,1857192.0,143850.0,2652335.0,0.0,74.0,400.0,800.0,195829.0,3815682.0,194122.0,2039188.0,1707.0,1776494.0,1039.7111892208552,3035962.0,11480392.0,0.0,0.0,0.0,1774794.0,1704.0,1695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,331.7422744363169,2171.2392158441235,116.34526353888214,759.536023683846,5.528293465337435,60352.0,2037942.0,32.76759676564157,18041.0,876318.0,42505.0,1280856.0,0.0,448.0,400.0,800.0,58114.0,1862783.0,57710.0,1021290.0,404.0,841493.0,2081.9034653465346,895438.0,5661405.0,0.0,0.0,0.0,841264.0,404.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.13790332974117248,0.43128278532314357,0.03555566817522049,0.044722793623805046,0.25782458660060636,3.0,12.0,3.0,1.0,6.0,2.0,6.0,0.0,1.0,100.0,100.0,2.0,5.0,2.0,0.0,0.0,5.0,,18.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.19124088852354082,0.5751835141076649,0.020483732223510742,0.03843614645302296,0.8764230089332479,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
