instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPS32:status,PPS32:successful_repeats,PPS32:result,PS-PS64:status,PS-PS64:successful_repeats,PS-PS64:result,result_match,PPS32:matches_reference,PS-PS64:matches_reference,PPS32:wall_vs_Concorde_relative_change,PS-PS64:wall_vs_Concorde_relative_change,PPS32:wall_seconds,PS-PS64:wall_seconds,relative_change:wall_seconds,PPS32:branches,PS-PS64:branches,relative_change:branches,PPS32:nodes_expanded,PS-PS64:nodes_expanded,PPS32:pruned_by_bound,PS-PS64:pruned_by_bound,PPS32:pruned_infeasible,PS-PS64:pruned_infeasible,PPS32:root_potential_iterations,PS-PS64:root_potential_iterations,PPS32:search_node_potential_update_candidates,PS-PS64:search_node_potential_update_candidates,PPS32:search_node_potential_updates_triggered,PS-PS64:search_node_potential_updates_triggered,PPS32:search_node_potential_updates_skipped_total,PS-PS64:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPS32:search_node_potential_iterations,PS-PS64:search_node_potential_iterations,PPS32:search_node_potential_updates_skipped_budget_exhausted,PS-PS64:search_node_potential_updates_skipped_budget_exhausted,PPS32:search_node_potential_updates_skipped_depth_interval,PS-PS64:search_node_potential_updates_skipped_depth_interval,PPS32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS64:search_node_potential_updates_skipped_gap_above_maximum,PPS32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS64:search_node_potential_updates_skipped_gap_below_minimum,PPS32:search_node_potential_updates_skipped_invalid_state,PS-PS64:search_node_potential_updates_skipped_invalid_state,PPS32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS64:search_node_potential_updates_skipped_numerically_unsafe,PPS32:search_node_potential_updates_skipped_strategy_none,PS-PS64:search_node_potential_updates_skipped_strategy_none,PPS32:search_node_potential_updates_skipped_update_depth_zero,PS-PS64:search_node_potential_updates_skipped_update_depth_zero,PPS32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS64:search_node_potential_updates_skipped_zero_iteration_limit,PPS32:search_node_potential_updates_skipped_zero_violation,PS-PS64:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.46090673789621206,-0.41773946854541055,0.04829448647797108,0.05216161161661148,0.08007384322026789,31.0,48.0,0.5483870967741935,11.0,18.0,20.0,31.0,1.0,2.0,100.0,100.0,26.0,42.0,26.0,42.0,0.0,0.0,0.0,409.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.30995310214405036,-0.2776226091195334,0.016458507627248764,0.017229631543159485,0.046852602518714814,3.0,2.0,-0.33333333333333337,1.0,1.0,2.0,1.0,1.0,3.0,100.0,100.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.16003142668289427,-0.29111826278382813,0.03425774723291397,0.028911428526043892,-0.15606159595145452,8.0,10.0,0.25,2.0,3.0,5.0,6.0,1.0,2.0,100.0,100.0,6.0,7.0,6.0,7.0,0.0,0.0,0.0,48.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.3891269183020174,-0.1372372003092569,0.03479118086397648,0.04913710802793503,0.412343783904519,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.2201997691935873,-0.3740360574135003,0.0707937590777874,0.056827811524271965,-0.1972765358902584,88.0,86.0,-0.022727272727272707,27.0,28.0,61.0,59.0,0.0,0.0,120.0,100.0,81.0,82.0,81.0,82.0,0.0,0.0,0.0,1228.0,734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.464778544502806,-0.1840448389394953,0.012707259505987167,0.019372455775737762,0.5245187813005796,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1344.1061275218076,3995.643389165524,248.83346246741712,739.3458348196,1.9712476267793435,184428.0,842923.0,3.5704719456915432,56123.0,266389.0,128942.0,582268.0,0.0,1.0,400.0,400.0,175536.0,794139.0,173832.0,793794.0,1704.0,345.0,-0.7975352112676056,2714691.0,7183071.0,0.0,0.0,0.0,0.0,1704.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,271.56664336259684,1679.6457379109356,90.73371335677803,559.4640149530023,5.165999321036375,50100.0,421296.0,7.409101796407185,15092.0,133187.0,35171.0,290578.0,0.0,0.0,400.0,400.0,47921.0,402315.0,47517.0,402195.0,404.0,120.0,-0.7029702970297029,741158.0,3690548.0,0.0,0.0,0.0,0.0,404.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.5807154384204738,-0.10906304109058784,0.018154075369238853,0.038575559854507446,1.124898077699498,3.0,5.0,0.6666666666666667,1.0,1.0,2.0,4.0,0.0,0.0,100.0,100.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.5815692455123966,-0.24042936652820068,0.01574544608592987,0.028582455590367317,0.8152839515870305,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
