instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,H232:status,H232:successful_repeats,H232:result,PR1532:status,PR1532:successful_repeats,PR1532:result,result_match,H232:matches_reference,PR1532:matches_reference,H232:wall_vs_Concorde_symmetric_change,PR1532:wall_vs_Concorde_symmetric_change,H232:wall_seconds,PR1532:wall_seconds,symmetric_change:wall_seconds,H232:branches,PR1532:branches,symmetric_change:branches,H232:nodes_expanded,PR1532:nodes_expanded,H232:pruned_by_bound,PR1532:pruned_by_bound,H232:pruned_infeasible,PR1532:pruned_infeasible,H232:root_potential_iterations,PR1532:root_potential_iterations,H232:search_node_potential_update_candidates,PR1532:search_node_potential_update_candidates,H232:search_node_potential_updates_triggered,PR1532:search_node_potential_updates_triggered,H232:search_node_potential_updates_skipped_total,PR1532:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,H232:search_node_potential_iterations,PR1532:search_node_potential_iterations,H232:search_node_potential_updates_skipped_budget_exhausted,PR1532:search_node_potential_updates_skipped_budget_exhausted,H232:search_node_potential_updates_skipped_depth_interval,PR1532:search_node_potential_updates_skipped_depth_interval,H232:search_node_potential_updates_skipped_gap_above_maximum,PR1532:search_node_potential_updates_skipped_gap_above_maximum,H232:search_node_potential_updates_skipped_gap_below_minimum,PR1532:search_node_potential_updates_skipped_gap_below_minimum,H232:search_node_potential_updates_skipped_invalid_state,PR1532:search_node_potential_updates_skipped_invalid_state,H232:search_node_potential_updates_skipped_numerically_unsafe,PR1532:search_node_potential_updates_skipped_numerically_unsafe,H232:search_node_potential_updates_skipped_strategy_none,PR1532:search_node_potential_updates_skipped_strategy_none,H232:search_node_potential_updates_skipped_update_depth_zero,PR1532:search_node_potential_updates_skipped_update_depth_zero,H232:search_node_potential_updates_skipped_zero_iteration_limit,PR1532:search_node_potential_updates_skipped_zero_iteration_limit,H232:search_node_potential_updates_skipped_zero_violation,PR1532:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.2981883670681085,-0.8798309497422907,0.04088018462061882,0.049978092312812805,0.22255055295433412,36.0,36.0,0.0,16.0,16.0,22.0,22.0,0.0,0.0,100.0,100.0,32.0,32.0,21.0,21.0,11.0,11.0,0.0,216.0,216.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.2880956576090563,-2.1974803142250545,0.015603460371494293,0.011165732517838478,-0.3974417125402261,3.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,100.0,100.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.07536068252307504,0.03711609158775109,0.038544343784451485,0.04298749938607216,0.11527386810546791,11.0,11.0,0.0,6.0,6.0,3.0,3.0,7.0,7.0,100.0,100.0,7.0,7.0,3.0,3.0,4.0,4.0,0.0,40.0,40.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.7313900264503186,-1.0476851168624859,0.03639261983335018,0.030771244317293167,-0.18268274945572638,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.11967222690711776,-0.4293331273648189,0.08906129561364651,0.06976642273366451,-0.27656388451563263,236.0,236.0,0.0,77.0,77.0,166.0,166.0,2.0,2.0,120.0,120.0,217.0,217.0,158.0,158.0,59.0,59.0,0.0,1348.0,1348.0,0.0,0.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,0.6334609187965645,1.8955161442126522,0.02014612779021263,0.035711560398340225,0.7726265201042541,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.19108222052454948,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1972.3898693342512,7015.636401621165,377.0797181930393,1340.7544642351568,2.5556260375393123,551925.0,2193440.0,2.9741631562259365,202638.0,692734.0,365216.0,1541530.0,10.0,5.0,400.0,800.0,510583.0,2052354.0,360139.0,1514447.0,150444.0,537907.0,2.5754632953125416,3622978.0,12529379.0,0.0,0.0,148737.0,437023.0,1703.0,100877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,369.52267927474804,4516.062817869659,129.5554009191692,1579.4171776250005,11.191056230920188,148466.0,3224929.0,20.721666913636792,53739.0,494992.0,97732.0,2739359.0,0.0,2208.0,400.0,800.0,140359.0,3133953.0,100673.0,2679367.0,39686.0,454586.0,10.454568361638865,1031450.0,12486455.0,0.0,0.0,39283.0,109027.0,403.0,345556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.053574647310936196,1.189168997160011,0.029657747596502304,0.06840419955551624,1.306452954086895,7.0,7.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,100.0,100.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,0.5903337188485169,0.34199222165675236,0.038805827498435974,0.03274603188037872,-0.18505434918629793,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.08340847492218018,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,4.739123838220561,6.504782715265957,0.47869156673550606,0.6259624809026718,0.30765303673824307,841.0,1289.0,0.5326991676575505,243.0,313.0,625.0,1007.0,0.0,0.0,400.0,400.0,492.0,925.0,335.0,699.0,157.0,226.0,0.4394904458598725,4307.0,5938.0,0.0,0.0,130.0,129.0,25.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
eil51.tsp,ok,0.04456336051225662,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.2874352156835602,1.2608649729242978,0.10193580016493797,0.1007517408579588,-0.011752246630144958,546.0,546.0,0.0,214.0,214.0,355.0,355.0,70.0,70.0,400.0,400.0,506.0,506.0,381.0,381.0,125.0,125.0,0.0,4603.0,4603.0,0.0,0.0,125.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.05953832529485226,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,3.5856707752485226,34.29221047355972,0.27302315831184387,2.1012391075491905,6.69619368753027,860.0,25790.0,28.988372093023255,305.0,5283.0,575.0,20521.0,0.0,29.0,364.0,364.0,693.0,24383.0,480.0,19155.0,213.0,5228.0,23.544600938967136,5283.0,61964.0,0.0,0.0,205.0,129.0,8.0,5099.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.03324941731989384,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.09599137679356184,0.1167753882282685,0.030337298288941383,0.037132130935788155,0.2239761953134647,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.18835646659135818,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,84.84121067560542,118.91412106320941,16.168747130781412,22.586600137874484,0.3969295181118282,27028.0,56158.0,1.0777712002367914,10030.0,12091.0,17767.0,44630.0,1.0,0.0,400.0,400.0,24917.0,52886.0,17538.0,42743.0,7379.0,10143.0,0.3745765008808781,178124.0,229061.0,0.0,0.0,7255.0,5138.0,122.0,5004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
gr137.tsp,ok,0.3520910255610943,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,213.6407824250692,323.65554256861026,75.57309321127832,114.3083029370755,0.5125529216794906,130296.0,169144.0,0.29815190028857375,56590.0,73402.0,82166.0,106463.0,3.0,3.0,400.0,400.0,117630.0,153021.0,77112.0,100512.0,40518.0,52509.0,0.29594254405449427,880417.0,1146896.0,0.0,0.0,40515.0,52492.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
gr17.tsp,ok,0.02862764336168766,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.11363981649450472,0.46338904790307,0.03188088349997997,0.041893379762768745,0.31405956057632656,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.011052632704377174,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.920272498216584,2.0782844220358596,0.021224066615104675,0.03402314707636833,0.6030456223763851,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.028689557686448097,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-0.3885310566694089,0.7576776865239994,0.02066180482506752,0.050426995381712914,1.440590055353411,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.09573289565742016,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.1490212692154502,2.203359500828534,0.3014649245887995,0.30666688084602356,0.017255593712335093,2892.0,3336.0,0.15352697095435675,1135.0,1194.0,1881.0,2248.0,0.0,0.0,334.0,334.0,2665.0,3065.0,1848.0,2100.0,817.0,965.0,0.18115055079559372,18573.0,17233.0,0.0,0.0,811.0,563.0,6.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr96.tsp,ok,0.23831740580499172,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,9.07084489908112,18.135115649036788,2.4000576306134462,4.5602311212569475,0.9000506750712352,6585.0,13595.0,1.0645406226271832,2854.0,5784.0,4131.0,8549.0,2.0,2.0,319.0,319.0,5872.0,12061.0,3855.0,7962.0,2017.0,4099.0,1.0322260783341597,48209.0,95406.0,0.0,0.0,2017.0,4087.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hk48.tsp,ok,0.04591211676597595,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.18194527013879314,0.015826317463511597,0.03884453698992729,0.0466387365013361,0.20065111120850543,18.0,18.0,0.0,7.0,7.0,11.0,11.0,1.0,1.0,100.0,100.0,14.0,14.0,10.0,10.0,4.0,4.0,0.0,85.0,85.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
