instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,HP1:status,HP1:successful_repeats,HP1:result,hybrid:status,hybrid:successful_repeats,hybrid:result,result_match,HP1:matches_reference,hybrid:matches_reference,HP1:wall_vs_Concorde_symmetric_change,hybrid:wall_vs_Concorde_symmetric_change,HP1:wall_seconds,hybrid:wall_seconds,symmetric_change:wall_seconds,HP1:branches,hybrid:branches,symmetric_change:branches,HP1:nodes_expanded,hybrid:nodes_expanded,HP1:pruned_by_bound,hybrid:pruned_by_bound,HP1:pruned_infeasible,hybrid:pruned_infeasible,HP1:root_potential_iterations,hybrid:root_potential_iterations,HP1:search_node_potential_update_candidates,hybrid:search_node_potential_update_candidates,HP1:search_node_potential_updates_triggered,hybrid:search_node_potential_updates_triggered,HP1:search_node_potential_updates_skipped_total,hybrid:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,HP1:search_node_potential_iterations,hybrid:search_node_potential_iterations,HP1:search_node_potential_updates_skipped_budget_exhausted,hybrid:search_node_potential_updates_skipped_budget_exhausted,HP1:search_node_potential_updates_skipped_depth_interval,hybrid:search_node_potential_updates_skipped_depth_interval,HP1:search_node_potential_updates_skipped_gap_above_maximum,hybrid:search_node_potential_updates_skipped_gap_above_maximum,HP1:search_node_potential_updates_skipped_gap_below_minimum,hybrid:search_node_potential_updates_skipped_gap_below_minimum,HP1:search_node_potential_updates_skipped_invalid_state,hybrid:search_node_potential_updates_skipped_invalid_state,HP1:search_node_potential_updates_skipped_numerically_unsafe,hybrid:search_node_potential_updates_skipped_numerically_unsafe,HP1:search_node_potential_updates_skipped_strategy_none,hybrid:search_node_potential_updates_skipped_strategy_none,HP1:search_node_potential_updates_skipped_update_depth_zero,hybrid:search_node_potential_updates_skipped_update_depth_zero,HP1:search_node_potential_updates_skipped_zero_iteration_limit,hybrid:search_node_potential_updates_skipped_zero_iteration_limit,HP1:search_node_potential_updates_skipped_zero_violation,hybrid:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.9648284030399219,-0.6949304395677363,0.047816066071391106,0.05543021857738495,0.1592383717770851,36.0,36.0,0.0,15.0,15.0,23.0,23.0,1.0,1.0,208.0,208.0,25.0,25.0,24.0,24.0,1.0,1.0,0.0,251.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.1090086102225225,-1.2495305232918072,0.016928432509303093,0.0158709604293108,-0.06662936907330042,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,125.0,125.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.22060962352306324,0.06289194784962127,0.03395768068730831,0.0440558847039938,0.29737614031042137,9.0,9.0,0.0,3.0,3.0,5.0,5.0,1.0,1.0,125.0,125.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.3074796666643991,-0.9585942668334604,0.04819181561470032,0.032170940190553665,-0.49799214226418087,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.28552485401945527,-0.14170025367928796,0.07757100835442543,0.08734294213354588,0.12597404605689855,30.0,30.0,0.0,10.0,10.0,20.0,20.0,6.0,6.0,212.0,212.0,24.0,24.0,24.0,24.0,0.0,0.0,0.0,223.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brg180.tsp,ok,0.20812725275754929,1950.0,1.0,ok,1,1950.0,ok,1,1950.0,True,True,True,1.1260608930211307,1.167737020853202,0.4424912128597498,0.4511651508510113,0.01960250901979088,101.0,101.0,0.0,37.0,37.0,64.0,64.0,1.0,1.0,346.0,346.0,43.0,43.0,43.0,43.0,0.0,0.0,0.0,593.0,593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.45629654816420184,1.7345887090489627,0.00846901722252369,0.033726777881383896,2.9823720976368056,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.19935145580277047,-0.1835881929736194,0.037475716322660446,0.02639993466436863,-0.4195382223138808,4.0,4.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,139.0,139.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,0.10317621407703181,0.6150732289284631,0.026918668299913406,0.03940949775278568,0.4640210768863502,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.08340847492218018,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,74.53194527220262,3.9379857794123323,6.300004363059998,0.41186986304819584,-14.296104251072114,48673.0,669.0,-71.75485799701046,9192.0,145.0,39503.0,528.0,0.0,0.0,497.0,497.0,44197.0,333.0,35112.0,306.0,9085.0,27.0,-335.48148148148147,107601.0,3068.0,0.0,0.0,0.0,0.0,9084.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
