instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,H4:status,H4:successful_repeats,H4:result,PH432:status,PH432:successful_repeats,PH432:result,result_match,H4:matches_reference,PH432:matches_reference,H4:wall_vs_Concorde_symmetric_change,PH432:wall_vs_Concorde_symmetric_change,H4:wall_seconds,PH432:wall_seconds,symmetric_change:wall_seconds,H4:branches,PH432:branches,symmetric_change:branches,H4:nodes_expanded,PH432:nodes_expanded,H4:pruned_by_bound,PH432:pruned_by_bound,H4:pruned_infeasible,PH432:pruned_infeasible,H4:root_potential_iterations,PH432:root_potential_iterations,H4:search_node_potential_update_candidates,PH432:search_node_potential_update_candidates,H4:search_node_potential_updates_triggered,PH432:search_node_potential_updates_triggered,H4:search_node_potential_updates_skipped_total,PH432:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,H4:search_node_potential_iterations,PH432:search_node_potential_iterations,H4:search_node_potential_updates_skipped_budget_exhausted,PH432:search_node_potential_updates_skipped_budget_exhausted,H4:search_node_potential_updates_skipped_depth_interval,PH432:search_node_potential_updates_skipped_depth_interval,H4:search_node_potential_updates_skipped_gap_above_maximum,PH432:search_node_potential_updates_skipped_gap_above_maximum,H4:search_node_potential_updates_skipped_gap_below_minimum,PH432:search_node_potential_updates_skipped_gap_below_minimum,H4:search_node_potential_updates_skipped_invalid_state,PH432:search_node_potential_updates_skipped_invalid_state,H4:search_node_potential_updates_skipped_numerically_unsafe,PH432:search_node_potential_updates_skipped_numerically_unsafe,H4:search_node_potential_updates_skipped_strategy_none,PH432:search_node_potential_updates_skipped_strategy_none,H4:search_node_potential_updates_skipped_update_depth_zero,PH432:search_node_potential_updates_skipped_update_depth_zero,H4:search_node_potential_updates_skipped_zero_iteration_limit,PH432:search_node_potential_updates_skipped_zero_iteration_limit,H4:search_node_potential_updates_skipped_zero_violation,PH432:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.4144932539620991,-2.1511020594308063,0.03891100734472275,0.029815081506967545,-0.3050780134754809,99.0,75.0,-0.32000000000000006,49.0,38.0,55.0,41.0,8.0,7.0,100.0,100.0,79.0,60.0,35.0,26.0,44.0,34.0,-0.2941176470588236,175.0,196.0,0.0,0.0,44.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,0.06726685691252654,0.005608301728584175,0.03810378536581993,0.035902438685297966,-0.06131468393603634,3.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,100.0,100.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-1.4971559571050461,-1.426327276565294,0.01659851148724556,0.017083050683140755,0.02919172579225071,15.0,15.0,0.0,10.0,10.0,3.0,3.0,10.0,10.0,100.0,100.0,10.0,10.0,1.0,1.0,9.0,9.0,0.0,2.0,2.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.7228667553833126,-0.8729510667798879,0.03657265938818455,0.03364199958741665,-0.08711312754025702,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.006086301838724051,0.3359277824725,0.09911620803177357,0.13321799598634243,0.3440586421913647,1730.0,1454.0,-0.18982118294360384,780.0,651.0,1154.0,997.0,17.0,37.0,120.0,120.0,1399.0,1205.0,655.0,586.0,744.0,619.0,-0.20193861066235863,2521.0,2925.0,0.0,0.0,744.0,619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,0.4677807438981587,1.7972689944972728,0.018102727830410004,0.03449983894824982,0.9057812320580219,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,2246.9905603144393,2171.2392158441235,786.0229200385511,759.536023683846,-0.03487246888730877,2873624.0,2037942.0,-0.4100617191264522,1271684.0,876318.0,1811833.0,1280856.0,508.0,448.0,800.0,800.0,2608755.0,1862783.0,1393431.0,1021290.0,1215324.0,841493.0,-0.4442473080584153,5744125.0,5661405.0,0.0,0.0,1215275.0,841264.0,45.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.26880796651385985,0.43128278532314357,0.039645999670028687,0.044722793623805046,0.1280531200128694,12.0,12.0,0.0,6.0,6.0,6.0,6.0,1.0,1.0,100.0,100.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.017257050269440466,0.5751835141076649,0.023987112566828728,0.03843614645302296,0.6023665351942149,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.08340847492218018,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.459453151686269,4.811863057950695,0.5387731362134218,0.4847586341202259,-0.11142555963180567,2517.0,1264.0,-0.9912974683544304,1177.0,509.0,1647.0,867.0,0.0,0.0,400.0,400.0,1923.0,811.0,855.0,361.0,1068.0,450.0,-1.3733333333333335,5201.0,3569.0,0.0,0.0,1042.0,426.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
