instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,P128 [P128-e0c758997a9b]:status,P128 [P128-e0c758997a9b]:successful_repeats,P128 [P128-e0c758997a9b]:result,result_match,P32:matches_reference,P128 [P128-e0c758997a9b]:matches_reference,P32:wall_vs_Concorde_symmetric_change,P128 [P128-e0c758997a9b]:wall_vs_Concorde_symmetric_change,P32:wall_seconds,P128 [P128-e0c758997a9b]:wall_seconds,symmetric_change:wall_seconds,P32:branches,P128 [P128-e0c758997a9b]:branches,symmetric_change:branches,P32:nodes_expanded,P128 [P128-e0c758997a9b]:nodes_expanded,P32:pruned_by_bound,P128 [P128-e0c758997a9b]:pruned_by_bound,P32:pruned_infeasible,P128 [P128-e0c758997a9b]:pruned_infeasible,P32:root_potential_iterations,P128 [P128-e0c758997a9b]:root_potential_iterations,P32:search_node_potential_update_candidates,P128 [P128-e0c758997a9b]:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,P128 [P128-e0c758997a9b]:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,P128 [P128-e0c758997a9b]:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.280356965488631,-1.1874764942378788,0.04119984991848469,0.04294919967651367,0.042460100254979816,29.0,34.0,0.17241379310344818,9.0,12.0,20.0,22.0,1.0,0.0,100.0,100.0,26.0,31.0,26.0,31.0,0.0,0.0,0.0,332.0,1447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.1171472166509857,-3.846255389545325,0.01686335727572441,0.00736696831882,-1.2890497889945438,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.5087890647512452,-0.21828310386688576,0.027471747249364853,0.03402252867817879,0.2384552161663247,10.0,10.0,0.0,3.0,3.0,5.0,5.0,3.0,3.0,100.0,100.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,82.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.267908952022271,-0.5453025357648953,0.027783222496509552,0.04077506996691227,0.46761485180615403,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.5160023101159319,-0.3078817151527604,0.06577790714800358,0.0762450136244297,0.15912799494934693,88.0,31.0,-1.838709677419355,26.0,10.0,62.0,21.0,0.0,0.0,120.0,120.0,82.0,29.0,82.0,29.0,0.0,0.0,0.0,1173.0,1285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-2.1673487896860704,0.7613704805175427,0.003893919289112091,0.021723687648773193,4.578874659656011,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.19108222052454948,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1650.6027347305765,1560.9689876013495,315.591917976737,298.46450254134834,-0.05738510037057387,205952.0,85913.0,-1.39721578806467,62812.0,24860.0,143850.0,61083.0,0.0,0.0,400.0,400.0,195829.0,82298.0,194122.0,80590.0,1707.0,1708.0,0.0005858230814295151,3035962.0,3672512.0,0.0,0.0,0.0,0.0,1704.0,1704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,331.7422744363169,557.3872223721855,116.34526353888214,195.2433265466243,0.6781373010631819,60352.0,35437.0,-0.7030787030504839,18041.0,10414.0,42505.0,25035.0,0.0,0.0,400.0,400.0,58114.0,34229.0,57710.0,33825.0,404.0,404.0,0.0,895438.0,1594071.0,0.0,0.0,0.0,0.0,404.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.13790332974117248,0.49089471272787355,0.03555566817522049,0.04658546671271324,0.31021210129246435,3.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.19124088852354082,1.1400437656805584,0.020483732223510742,0.05221933498978615,1.5493076369085723,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
