instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32-no-node-update:status,P32-no-node-update:successful_repeats,P32-no-node-update:result,gap0.005-0.02:status,gap0.005-0.02:successful_repeats,gap0.005-0.02:result,result_match,P32-no-node-update:matches_reference,gap0.005-0.02:matches_reference,P32-no-node-update:wall_vs_Concorde_relative_change,gap0.005-0.02:wall_vs_Concorde_relative_change,P32-no-node-update:wall_seconds,gap0.005-0.02:wall_seconds,relative_change:wall_seconds,P32-no-node-update:branches,gap0.005-0.02:branches,relative_change:branches,P32-no-node-update:nodes_expanded,gap0.005-0.02:nodes_expanded,P32-no-node-update:pruned_by_bound,gap0.005-0.02:pruned_by_bound,P32-no-node-update:pruned_infeasible,gap0.005-0.02:pruned_infeasible,P32-no-node-update:root_potential_iterations,gap0.005-0.02:root_potential_iterations,P32-no-node-update:search_node_potential_update_candidates,gap0.005-0.02:search_node_potential_update_candidates,P32-no-node-update:search_node_potential_updates_triggered,gap0.005-0.02:search_node_potential_updates_triggered,P32-no-node-update:search_node_potential_updates_skipped_total,gap0.005-0.02:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32-no-node-update:search_node_potential_iterations,gap0.005-0.02:search_node_potential_iterations,P32-no-node-update:search_node_potential_updates_skipped_budget_exhausted,gap0.005-0.02:search_node_potential_updates_skipped_budget_exhausted,P32-no-node-update:search_node_potential_updates_skipped_depth_interval,gap0.005-0.02:search_node_potential_updates_skipped_depth_interval,P32-no-node-update:search_node_potential_updates_skipped_gap_above_maximum,gap0.005-0.02:search_node_potential_updates_skipped_gap_above_maximum,P32-no-node-update:search_node_potential_updates_skipped_gap_below_minimum,gap0.005-0.02:search_node_potential_updates_skipped_gap_below_minimum,P32-no-node-update:search_node_potential_updates_skipped_invalid_state,gap0.005-0.02:search_node_potential_updates_skipped_invalid_state,P32-no-node-update:search_node_potential_updates_skipped_numerically_unsafe,gap0.005-0.02:search_node_potential_updates_skipped_numerically_unsafe,P32-no-node-update:search_node_potential_updates_skipped_strategy_none,gap0.005-0.02:search_node_potential_updates_skipped_strategy_none,P32-no-node-update:search_node_potential_updates_skipped_update_depth_zero,gap0.005-0.02:search_node_potential_updates_skipped_update_depth_zero,P32-no-node-update:search_node_potential_updates_skipped_zero_iteration_limit,gap0.005-0.02:search_node_potential_updates_skipped_zero_iteration_limit,P32-no-node-update:search_node_potential_updates_skipped_zero_violation,gap0.005-0.02:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.2563379556605395,-0.41763055999661336,0.06662071123719215,0.05217136815190315,-0.21688965513809177,373.0,265.0,-0.28954423592493295,281.0,207.0,155.0,114.0,111.0,74.0,100.0,100.0,280.0,206.0,0.0,1.0,280.0,205.0,-0.2678571428571429,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.3552286310500776,1.0012887870992904,0.015378627926111221,0.04773331619799137,2.103873533278313,3.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,100.0,100.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.18620967267921418,0.19199432518469206,0.033190079033374786,0.04861496202647686,0.46474378616547884,15.0,15.0,0.0,11.0,11.0,2.0,2.0,11.0,11.0,100.0,100.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.44631230107284936,-0.7956942451266528,0.03153428994119167,0.01163586787879467,-0.6310090412533654,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,4.406026260358964,0.4402743012773591,0.4907832872122526,0.13075455464422703,-0.7335798547930613,168561.0,25075.0,-0.8512407971001597,112098.0,17028.0,101529.0,14788.0,5737.0,742.0,120.0,120.0,112097.0,17027.0,0.0,2.0,112097.0,17025.0,-0.8481226080983434,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17025.0,0.0,0.0,0.0,0.0,112097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,0.6411030202124972,-0.6133732755257338,0.03896316513419151,0.009179314598441124,-0.7644104485139489,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.032883466028980735,0.7137215141865889,0.04187396354973316,0.07420027442276478,0.7719907105196306,12.0,12.0,0.0,6.0,6.0,6.0,6.0,1.0,1.0,100.0,100.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.14446519013657833,-0.58348056064848,0.032193563878536224,0.015673523768782616,-0.5131472915543746,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,158.510456233215,2.7767727339963546,12.571813063696027,0.2976662591099739,-0.9763227262764865,3763318.0,6655.0,-0.9982316136983375,2747059.0,4581.0,1946823.0,3804.0,434189.0,1.0,500.0,400.0,2747057.0,4634.0,0.0,86.0,2747057.0,4548.0,-0.9983444100359039,0.0,1398.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,4520.0,0.0,0.0,0.0,0.0,2747057.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.6164648548240885,0.6716218092392223,0.09307880699634552,0.09625483863055706,0.0341219632771641,18700.0,2141.0,-0.8855080213903743,15848.0,1646.0,7304.0,950.0,6720.0,552.0,400.0,400.0,15847.0,1726.0,0.0,161.0,15847.0,1565.0,-0.9012431375023664,0.0,3293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1565.0,0.0,0.0,0.0,0.0,15847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
