instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,P8:status,P8:successful_repeats,P8:result,result_match,P32:matches_reference,P8:matches_reference,P32:wall_vs_Concorde_symmetric_change,P8:wall_vs_Concorde_symmetric_change,P32:wall_seconds,P8:wall_seconds,symmetric_change:wall_seconds,P32:branches,P8:branches,symmetric_change:branches,P32:nodes_expanded,P8:nodes_expanded,P32:pruned_by_bound,P8:pruned_by_bound,P32:pruned_infeasible,P8:pruned_infeasible,P32:root_potential_iterations,P8:root_potential_iterations,P32:search_node_potential_update_candidates,P8:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,P8:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,P8:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,P8:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,P8:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,P8:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,P8:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,P8:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,P8:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,P8:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,P8:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,P8:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,P8:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,P8:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.280356965488631,-1.569333107638745,0.04119984991848469,0.036566050723195076,-0.1267240815905295,29.0,56.0,0.9310344827586208,9.0,21.0,20.0,38.0,1.0,0.0,100.0,100.0,26.0,46.0,26.0,46.0,0.0,0.0,0.0,332.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.1171472166509857,-0.8939185063247612,0.01686335727572441,0.01885097473859787,0.1178660589569982,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.5087890647512452,-0.27139356047372165,0.027471747249364853,0.03260129131376743,0.18672070683531694,10.0,9.0,-0.11111111111111116,3.0,3.0,5.0,5.0,3.0,1.0,100.0,100.0,7.0,6.0,7.0,6.0,0.0,0.0,0.0,82.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.267908952022271,-0.860629326627439,0.027783222496509552,0.033864788711071014,0.21889347844100882,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.5160023101159319,-0.3270488042042403,0.06577790714800358,0.07514377683401108,0.14238625234660973,88.0,253.0,1.875,26.0,71.0,62.0,184.0,0.0,0.0,120.0,120.0,82.0,214.0,82.0,214.0,0.0,0.0,0.0,1173.0,1116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-2.1673487896860704,-0.3971888023913306,0.003893919289112091,0.008827297016978264,1.2669440123375293,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,331.7422744363169,1363.1253638024252,116.34526353888214,476.9743346273899,3.099645487226791,60352.0,516845.0,7.563842126193,18041.0,162803.0,42505.0,359483.0,0.0,2.0,400.0,400.0,58114.0,492486.0,57710.0,492081.0,404.0,405.0,0.0024752475247524774,895438.0,2572875.0,0.0,0.0,0.0,0.0,404.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.13790332974117248,-0.10197483421521958,0.03555566817522049,0.02835514023900032,-0.253940833144475,3.0,5.0,0.6666666666666667,1.0,2.0,2.0,3.0,0.0,0.0,100.0,100.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,18.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.19124088852354082,-0.2892406302805084,0.020483732223510742,0.01892669126391411,-0.08226693920692352,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.08340847492218018,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.829813090715626,7.4491380268293685,0.5696642939001322,0.7047297172248363,0.23709652293633576,695.0,1360.0,0.9568345323741008,154.0,424.0,548.0,962.0,0.0,0.0,400.0,400.0,379.0,897.0,352.0,868.0,27.0,29.0,0.07407407407407418,5416.0,5456.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
