instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS-PS16:status,PS-PS16:successful_repeats,PS-PS16:result,PSD-PSD16:status,PSD-PSD16:successful_repeats,PSD-PSD16:result,result_match,PS-PS16:matches_reference,PSD-PSD16:matches_reference,PS-PS16:wall_vs_Concorde_relative_change,PSD-PSD16:wall_vs_Concorde_relative_change,PS-PS16:wall_seconds,PSD-PSD16:wall_seconds,relative_change:wall_seconds,PS-PS16:branches,PSD-PSD16:branches,relative_change:branches,PS-PS16:nodes_expanded,PSD-PSD16:nodes_expanded,PS-PS16:pruned_by_bound,PSD-PSD16:pruned_by_bound,PS-PS16:pruned_infeasible,PSD-PSD16:pruned_infeasible,PS-PS16:root_potential_iterations,PSD-PSD16:root_potential_iterations,PS-PS16:search_node_potential_update_candidates,PSD-PSD16:search_node_potential_update_candidates,PS-PS16:search_node_potential_updates_triggered,PSD-PSD16:search_node_potential_updates_triggered,PS-PS16:search_node_potential_updates_skipped_total,PSD-PSD16:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS-PS16:search_node_potential_iterations,PSD-PSD16:search_node_potential_iterations,PS-PS16:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD16:search_node_potential_updates_skipped_budget_exhausted,PS-PS16:search_node_potential_updates_skipped_depth_interval,PSD-PSD16:search_node_potential_updates_skipped_depth_interval,PS-PS16:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD16:search_node_potential_updates_skipped_gap_above_maximum,PS-PS16:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD16:search_node_potential_updates_skipped_gap_below_minimum,PS-PS16:search_node_potential_updates_skipped_invalid_state,PSD-PSD16:search_node_potential_updates_skipped_invalid_state,PS-PS16:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD16:search_node_potential_updates_skipped_numerically_unsafe,PS-PS16:search_node_potential_updates_skipped_strategy_none,PSD-PSD16:search_node_potential_updates_skipped_strategy_none,PS-PS16:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD16:search_node_potential_updates_skipped_update_depth_zero,PS-PS16:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD16:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS16:search_node_potential_updates_skipped_zero_violation,PSD-PSD16:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.4595030069197057,-0.37680370167640576,0.04842023923993111,0.05582882836461067,0.15300604129543127,48.0,35.0,-0.27083333333333337,18.0,12.0,31.0,23.0,2.0,2.0,100.0,100.0,42.0,28.0,42.0,28.0,0.0,0.0,0.0,376.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.28554720894383734,-0.31761483719369443,0.017040619626641273,0.016275765374302864,-0.04488418080423773,2.0,3.0,0.5,1.0,1.0,1.0,2.0,3.0,1.0,100.0,100.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,0.1293087522709011,-0.3228038052354939,0.04605835862457752,0.027619147673249245,-0.40034450861843784,10.0,12.0,0.19999999999999996,3.0,3.0,6.0,8.0,2.0,1.0,100.0,100.0,7.0,10.0,7.0,10.0,0.0,0.0,0.0,47.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.23425151063626604,-0.2987320990093052,0.043611831963062286,0.039939455687999725,-0.0842059622299961,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.44971967014793957,-0.5188474566659391,0.04995691403746605,0.0436811838299036,-0.12562285578440358,86.0,71.0,-0.17441860465116277,28.0,21.0,59.0,50.0,0.0,2.0,100.0,100.0,82.0,60.0,82.0,60.0,0.0,0.0,0.0,734.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.20691682786877974,-0.11043625500836662,0.018829427659511566,0.02112007513642311,0.1216525280711036,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,1657.8528251160444,317.79800257384585,552.2094518914819,106.12350149452686,-0.8078202009563178,421296.0,78972.0,-0.8125498461889028,133187.0,25409.0,290578.0,54042.0,0.0,0.0,400.0,400.0,402315.0,75665.0,402195.0,75645.0,120.0,20.0,-0.8333333333333334,3690548.0,703004.0,0.0,0.0,0.0,0.0,119.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.4005573772142058,-0.05322796665252616,0.025954512879252434,0.04099309258162975,0.5794206106791888,5.0,4.0,-0.19999999999999996,1.0,1.0,4.0,3.0,0.0,0.0,100.0,100.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.5462923565214293,-0.17904864391812425,0.017072906717658043,0.03089219704270363,0.8094280929182767,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,88.34324252639271,2345.7582653173627,7.041585674509406,184.95970053598285,25.26676846460001,11690.0,344662.0,28.483490162532078,3795.0,100105.0,7993.0,247287.0,0.0,6.0,400.0,500.0,10699.0,324471.0,10635.0,318088.0,64.0,6383.0,98.734375,103185.0,2855700.0,0.0,0.0,0.0,0.0,64.0,6382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
