instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P33>1%128:status,P33>1%128:successful_repeats,P33>1%128:result,gap0.005-0.01:status,gap0.005-0.01:successful_repeats,gap0.005-0.01:result,result_match,P33>1%128:matches_reference,gap0.005-0.01:matches_reference,P33>1%128:wall_vs_Concorde_relative_change,gap0.005-0.01:wall_vs_Concorde_relative_change,P33>1%128:wall_seconds,gap0.005-0.01:wall_seconds,relative_change:wall_seconds,P33>1%128:branches,gap0.005-0.01:branches,relative_change:branches,P33>1%128:nodes_expanded,gap0.005-0.01:nodes_expanded,P33>1%128:pruned_by_bound,gap0.005-0.01:pruned_by_bound,P33>1%128:pruned_infeasible,gap0.005-0.01:pruned_infeasible,P33>1%128:root_potential_iterations,gap0.005-0.01:root_potential_iterations,P33>1%128:search_node_potential_update_candidates,gap0.005-0.01:search_node_potential_update_candidates,P33>1%128:search_node_potential_updates_triggered,gap0.005-0.01:search_node_potential_updates_triggered,P33>1%128:search_node_potential_updates_skipped_total,gap0.005-0.01:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P33>1%128:search_node_potential_iterations,gap0.005-0.01:search_node_potential_iterations,P33>1%128:search_node_potential_updates_skipped_budget_exhausted,gap0.005-0.01:search_node_potential_updates_skipped_budget_exhausted,P33>1%128:search_node_potential_updates_skipped_depth_interval,gap0.005-0.01:search_node_potential_updates_skipped_depth_interval,P33>1%128:search_node_potential_updates_skipped_gap_above_maximum,gap0.005-0.01:search_node_potential_updates_skipped_gap_above_maximum,P33>1%128:search_node_potential_updates_skipped_gap_below_minimum,gap0.005-0.01:search_node_potential_updates_skipped_gap_below_minimum,P33>1%128:search_node_potential_updates_skipped_invalid_state,gap0.005-0.01:search_node_potential_updates_skipped_invalid_state,P33>1%128:search_node_potential_updates_skipped_numerically_unsafe,gap0.005-0.01:search_node_potential_updates_skipped_numerically_unsafe,P33>1%128:search_node_potential_updates_skipped_strategy_none,gap0.005-0.01:search_node_potential_updates_skipped_strategy_none,P33>1%128:search_node_potential_updates_skipped_update_depth_zero,gap0.005-0.01:search_node_potential_updates_skipped_update_depth_zero,P33>1%128:search_node_potential_updates_skipped_zero_iteration_limit,gap0.005-0.01:search_node_potential_updates_skipped_zero_iteration_limit,P33>1%128:search_node_potential_updates_skipped_zero_violation,gap0.005-0.01:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.4799846338728707,-0.14280981727191444,0.04658539965748787,0.07679109089076519,0.6483939486482915,373.0,265.0,-0.28954423592493295,281.0,207.0,155.0,114.0,111.0,74.0,100.0,100.0,280.0,206.0,0.0,1.0,280.0,205.0,-0.2678571428571429,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,0.8739011280147548,-0.36454182224640364,0.04469495639204979,0.015156496316194534,-0.6608902314783212,3.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,100.0,100.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.7757533632903443,-0.06921383009706361,0.009145800024271011,0.037961702793836594,3.150725217377845,15.0,15.0,0.0,11.0,11.0,2.0,2.0,11.0,11.0,100.0,100.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.2462018241448013,0.04566536675854538,0.042931223288178444,0.05955399572849274,0.3871954062136298,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,4.7233336001255815,0.6064502199825534,0.5195898693054914,0.14584074914455414,-0.7193156415087696,168561.0,25075.0,-0.8512407971001597,112098.0,17028.0,101529.0,14788.0,5737.0,742.0,120.0,120.0,112097.0,17027.0,0.0,2.0,112097.0,17025.0,-0.8481226080983434,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,112097.0,17025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,0.7198796430778491,0.07497335918843406,0.0408334843814373,0.025522081181406975,-0.37497175252060577,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.3901932601512246,0.04314588510993134,0.060192231088876724,0.04516586288809776,-0.24963966161333684,12.0,12.0,0.0,6.0,6.0,6.0,6.0,1.0,1.0,100.0,100.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,0.633462988409252,0.11502995695543872,0.06146680936217308,0.04195830225944519,-0.3173827843866174,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,161.16817288131114,58.09543677451735,12.781280942261219,4.6576055362820625,-0.6355916470874432,3749913.0,199088.0,-0.9469086349469974,2747059.0,120115.0,1934279.0,124003.0,434173.0,1470.0,500.0,500.0,2747057.0,139305.0,22.0,19203.0,2747035.0,120102.0,-0.9562794067057755,2816.0,64392.0,0.0,0.0,0.0,0.0,0.0,8472.0,2747034.0,111629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.0689242369074616,0.6145755779333752,0.11913219094276428,0.09297001920640469,-0.219606233456488,12190.0,1675.0,-0.8625922887612798,10177.0,1286.0,4934.0,779.0,4102.0,494.0,400.0,400.0,10183.0,1444.0,46.0,227.0,10137.0,1217.0,-0.8799447568314097,5074.0,3398.0,0.0,0.0,0.0,0.0,0.0,86.0,10137.0,1131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
