instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS32:status,PS32:successful_repeats,PS32:result,PSD-PSD64:status,PSD-PSD64:successful_repeats,PSD-PSD64:result,result_match,PS32:matches_reference,PSD-PSD64:matches_reference,PS32:wall_vs_Concorde_relative_change,PSD-PSD64:wall_vs_Concorde_relative_change,PS32:wall_seconds,PSD-PSD64:wall_seconds,relative_change:wall_seconds,PS32:branches,PSD-PSD64:branches,relative_change:branches,PS32:nodes_expanded,PSD-PSD64:nodes_expanded,PS32:pruned_by_bound,PSD-PSD64:pruned_by_bound,PS32:pruned_infeasible,PSD-PSD64:pruned_infeasible,PS32:root_potential_iterations,PSD-PSD64:root_potential_iterations,PS32:search_node_potential_update_candidates,PSD-PSD64:search_node_potential_update_candidates,PS32:search_node_potential_updates_triggered,PSD-PSD64:search_node_potential_updates_triggered,PS32:search_node_potential_updates_skipped_total,PSD-PSD64:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS32:search_node_potential_iterations,PSD-PSD64:search_node_potential_iterations,PS32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD64:search_node_potential_updates_skipped_budget_exhausted,PS32:search_node_potential_updates_skipped_depth_interval,PSD-PSD64:search_node_potential_updates_skipped_depth_interval,PS32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD64:search_node_potential_updates_skipped_gap_above_maximum,PS32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD64:search_node_potential_updates_skipped_gap_below_minimum,PS32:search_node_potential_updates_skipped_invalid_state,PSD-PSD64:search_node_potential_updates_skipped_invalid_state,PS32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD64:search_node_potential_updates_skipped_numerically_unsafe,PS32:search_node_potential_updates_skipped_strategy_none,PSD-PSD64:search_node_potential_updates_skipped_strategy_none,PS32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD64:search_node_potential_updates_skipped_update_depth_zero,PS32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD64:search_node_potential_updates_skipped_zero_iteration_limit,PS32:search_node_potential_updates_skipped_zero_violation,PSD-PSD64:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.5671647004563721,-0.41929117625765355,0.038775403052568436,0.052022602409124374,0.3416392432748281,30.0,35.0,0.16666666666666674,10.0,12.0,20.0,23.0,1.0,2.0,100.0,100.0,24.0,28.0,24.0,28.0,0.0,0.0,0.0,383.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.07441517468520065,-0.3223779531580594,0.02207639068365097,0.01616215892136097,-0.26789849151699785,2.0,3.0,0.5,1.0,1.0,1.0,2.0,3.0,1.0,100.0,100.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.6516754191613525,-0.5858862261094391,0.014206264168024063,0.01688944734632969,0.1888732425759776,10.0,12.0,0.19999999999999996,3.0,3.0,6.0,8.0,4.0,1.0,100.0,100.0,7.0,10.0,7.0,10.0,0.0,0.0,0.0,82.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.5430422428713274,-0.127651021110316,0.026025209575891495,0.04968307167291641,0.9090363721389751,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.3813525390377551,-0.31793155566259157,0.05616358853876591,0.06192122958600521,0.1025155478315849,34.0,71.0,1.0882352941176472,11.0,21.0,23.0,50.0,0.0,2.0,100.0,100.0,32.0,60.0,32.0,60.0,0.0,0.0,0.0,434.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.66547684247994,0.0828165804346177,0.007942268624901772,0.02570829540491104,2.2368957308125546,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,1731.6524461873366,319.03731713371747,576.7763379253447,106.53605238720775,-0.815290528785532,298084.0,78972.0,-0.73506796741858,90098.0,25409.0,208971.0,54042.0,0.0,0.0,400.0,400.0,286093.0,75665.0,285972.0,75645.0,121.0,20.0,-0.8347107438016529,4484804.0,703004.0,0.0,0.0,0.0,0.0,119.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.342549003133924,0.037369878528987766,0.02846614457666874,0.04491577483713627,0.5778664622517895,5.0,4.0,-0.19999999999999996,1.0,1.0,4.0,3.0,0.0,0.0,100.0,100.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,23.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.4803565135093395,-0.3245821767004977,0.019554056227207184,0.025415806099772453,0.29977155657399246,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,62.45634641773285,2380.8376800304413,5.001310532912612,187.724483827129,36.53505857949675,5866.0,344662.0,57.75588135015342,1767.0,100105.0,4135.0,247287.0,0.0,6.0,400.0,500.0,5237.0,324471.0,5173.0,318088.0,64.0,6383.0,98.734375,83688.0,2855700.0,0.0,0.0,0.0,0.0,64.0,6382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.4428777835658888,0.4109800095387377,0.1406650748103857,0.0812466386705637,-0.4224107243387679,589.0,438.0,-0.2563667232597623,193.0,134.0,401.0,307.0,28.0,47.0,400.0,400.0,560.0,392.0,560.0,392.0,0.0,0.0,0.0,8379.0,3566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,20.680647264276157,7.7595434825184935,0.8431296497583389,0.3406462334096432,-0.595974078829655,1776.0,791.0,-0.5546171171171171,539.0,248.0,1246.0,555.0,0.0,0.0,400.0,400.0,1598.0,654.0,1589.0,643.0,9.0,11.0,0.22222222222222232,25281.0,6369.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.3694601100629924,0.14812614912208644,0.018588721752166748,0.0338474977761507,0.8208620381444653,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,56.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,2322.534832252743,171.45645947147264,371.5199639964849,27.57480401173234,-0.9257784057817328,325497.0,35455.0,-0.8910742648933785,101093.0,11465.0,225821.0,24235.0,0.0,0.0,800.0,400.0,306639.0,31918.0,306574.0,31872.0,65.0,46.0,-0.29230769230769227,4924840.0,290978.0,0.0,0.0,0.0,0.0,65.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,192.70369424037267,497.82694064905655,65.09420330822468,167.63099133223295,1.5752061291616224,51825.0,189390.0,2.6544138929088277,17522.0,69148.0,34493.0,122035.0,1.0,16.0,400.0,400.0,47995.0,175968.0,47988.0,175960.0,7.0,8.0,0.1428571428571428,781907.0,1668243.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.45545395562659896,0.979058076205864,0.009884845465421677,0.0359247550368309,2.6343264204281005,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,-0.5067681556543505,2.908162000145634,0.004201386123895645,0.03329001925885677,6.923580046479831,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-0.5721941649127129,2.5122758911245477,0.005802759900689125,0.04764052294194698,7.2099765899825154,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,3.8017710721143825,2.6096937201994233,0.3694654032588005,0.2777427174150944,-0.24825784778407756,3192.0,2062.0,-0.35401002506265666,897.0,721.0,2298.0,1352.0,1.0,2.0,389.0,323.0,2835.0,1850.0,2504.0,1834.0,331.0,16.0,-0.9516616314199395,29670.0,17213.0,0.0,0.0,0.0,0.0,331.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,20.97194962708371,29.145043520091296,4.426349880173802,6.072857076302171,0.3719785468164838,7696.0,14079.0,0.8293918918918919,2629.0,5151.0,5107.0,9105.0,0.0,1.0,395.0,356.0,7097.0,12842.0,7094.0,12840.0,3.0,2.0,-0.33333333333333337,116923.0,125257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
