instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P33>1%:status,P33>1%:successful_repeats,P33>1%:result,P33>2%:status,P33>2%:successful_repeats,P33>2%:result,result_match,P33>1%:matches_reference,P33>2%:matches_reference,P33>1%:wall_vs_Concorde_relative_change,P33>2%:wall_vs_Concorde_relative_change,P33>1%:wall_seconds,P33>2%:wall_seconds,relative_change:wall_seconds,P33>1%:branches,P33>2%:branches,relative_change:branches,P33>1%:nodes_expanded,P33>2%:nodes_expanded,P33>1%:pruned_by_bound,P33>2%:pruned_by_bound,P33>1%:pruned_infeasible,P33>2%:pruned_infeasible,P33>1%:root_potential_iterations,P33>2%:root_potential_iterations,P33>1%:search_node_potential_update_candidates,P33>2%:search_node_potential_update_candidates,P33>1%:search_node_potential_updates_triggered,P33>2%:search_node_potential_updates_triggered,P33>1%:search_node_potential_updates_skipped_total,P33>2%:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P33>1%:search_node_potential_iterations,P33>2%:search_node_potential_iterations,P33>1%:search_node_potential_updates_skipped_budget_exhausted,P33>2%:search_node_potential_updates_skipped_budget_exhausted,P33>1%:search_node_potential_updates_skipped_depth_interval,P33>2%:search_node_potential_updates_skipped_depth_interval,P33>1%:search_node_potential_updates_skipped_gap_above_maximum,P33>2%:search_node_potential_updates_skipped_gap_above_maximum,P33>1%:search_node_potential_updates_skipped_gap_below_minimum,P33>2%:search_node_potential_updates_skipped_gap_below_minimum,P33>1%:search_node_potential_updates_skipped_invalid_state,P33>2%:search_node_potential_updates_skipped_invalid_state,P33>1%:search_node_potential_updates_skipped_numerically_unsafe,P33>2%:search_node_potential_updates_skipped_numerically_unsafe,P33>1%:search_node_potential_updates_skipped_strategy_none,P33>2%:search_node_potential_updates_skipped_strategy_none,P33>1%:search_node_potential_updates_skipped_update_depth_zero,P33>2%:search_node_potential_updates_skipped_update_depth_zero,P33>1%:search_node_potential_updates_skipped_zero_iteration_limit,P33>2%:search_node_potential_updates_skipped_zero_iteration_limit,P33>1%:search_node_potential_updates_skipped_zero_violation,P33>2%:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.2794827064327443,-0.6251795234130301,0.06454729661345482,0.033578164875507355,-0.4797897567020952,373.0,373.0,0.0,281.0,281.0,155.0,155.0,111.0,111.0,100.0,100.0,280.0,280.0,0.0,0.0,280.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.27678801736469394,-0.6864745608826759,0.017249537631869316,0.007477985695004463,-0.5664819629026728,3.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,100.0,100.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,0.3955139291606251,-0.21618819436918346,0.056915419176220894,0.031967418268322945,-0.43833465990392206,15.0,15.0,0.0,11.0,11.0,2.0,2.0,11.0,11.0,100.0,100.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.3033149946429482,-0.5954232855799155,0.03967844508588314,0.023041941225528717,-0.4192831605256977,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,4.538389534067684,4.533419114461609,0.5027998182922602,0.5023485813289881,-0.0008974485408620447,168561.0,168561.0,0.0,112098.0,112098.0,101529.0,101529.0,5737.0,5737.0,120.0,120.0,112097.0,112097.0,0.0,0.0,112097.0,112097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112097.0,112097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,0.02405420313670792,0.1101008667452612,0.024313155561685562,0.026356080546975136,0.08402549722953134,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.19167780977994742,-0.38867187726860386,0.05159696005284786,0.02646912820637226,-0.48700217649913047,12.0,12.0,0.0,6.0,6.0,6.0,6.0,1.0,1.0,100.0,100.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.23711940014810184,-0.5036007745645055,0.028707008808851242,0.018679380416870117,-0.34930941285980666,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,160.67112783875035,161.1077650475786,12.742106348276138,12.77651990018785,0.002700774186864985,3755010.0,3747376.0,-0.002033017222324296,2747059.0,2747059.0,1941756.0,1933294.0,434179.0,434226.0,500.0,500.0,2747057.0,2747057.0,29.0,26.0,2747028.0,2747031.0,1.092089341625524e-06,928.0,832.0,0.0,0.0,0.0,0.0,0.0,0.0,2747027.0,2747030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.40041254522554603,0.5071982727276727,0.08063814602792263,0.08678705058991909,0.07625304976465208,14086.0,18700.0,0.32755927871645607,11975.0,15848.0,5418.0,7304.0,5029.0,6720.0,400.0,400.0,11977.0,15847.0,31.0,0.0,11946.0,15847.0,0.32655282102795913,924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11945.0,15846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
