instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PSD-PSD16:status,PSD-PSD16:successful_repeats,PSD-PSD16:result,PSD32:status,PSD32:successful_repeats,PSD32:result,result_match,PSD-PSD16:matches_reference,PSD32:matches_reference,PSD-PSD16:wall_vs_Concorde_relative_change,PSD32:wall_vs_Concorde_relative_change,PSD-PSD16:wall_seconds,PSD32:wall_seconds,relative_change:wall_seconds,PSD-PSD16:branches,PSD32:branches,relative_change:branches,PSD-PSD16:nodes_expanded,PSD32:nodes_expanded,PSD-PSD16:pruned_by_bound,PSD32:pruned_by_bound,PSD-PSD16:pruned_infeasible,PSD32:pruned_infeasible,PSD-PSD16:root_potential_iterations,PSD32:root_potential_iterations,PSD-PSD16:search_node_potential_update_candidates,PSD32:search_node_potential_update_candidates,PSD-PSD16:search_node_potential_updates_triggered,PSD32:search_node_potential_updates_triggered,PSD-PSD16:search_node_potential_updates_skipped_total,PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PSD-PSD16:search_node_potential_iterations,PSD32:search_node_potential_iterations,PSD-PSD16:search_node_potential_updates_skipped_budget_exhausted,PSD32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD16:search_node_potential_updates_skipped_depth_interval,PSD32:search_node_potential_updates_skipped_depth_interval,PSD-PSD16:search_node_potential_updates_skipped_gap_above_maximum,PSD32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD16:search_node_potential_updates_skipped_gap_below_minimum,PSD32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD16:search_node_potential_updates_skipped_invalid_state,PSD32:search_node_potential_updates_skipped_invalid_state,PSD-PSD16:search_node_potential_updates_skipped_numerically_unsafe,PSD32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD16:search_node_potential_updates_skipped_strategy_none,PSD32:search_node_potential_updates_skipped_strategy_none,PSD-PSD16:search_node_potential_updates_skipped_update_depth_zero,PSD32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD16:search_node_potential_updates_skipped_zero_iteration_limit,PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD16:search_node_potential_updates_skipped_zero_violation,PSD32:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.37680370167640576,-0.5975507053710212,0.05582882836461067,0.036053283140063286,-0.3542174500850336,35.0,27.0,-0.22857142857142854,12.0,9.0,23.0,18.0,2.0,1.0,100.0,100.0,28.0,22.0,28.0,22.0,0.0,0.0,0.0,257.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.31761483719369443,-0.34578041513735625,0.016275765374302864,0.015603980049490929,-0.04127519101943988,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.3228038052354939,-0.4259831787871443,0.027619147673249245,0.023411022499203682,-0.15236260089667353,12.0,15.0,0.25,3.0,5.0,8.0,7.0,1.0,6.0,100.0,100.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,64.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.2987320990093052,-0.5636107379126205,0.039939455687999725,0.024853767827153206,-0.37771390723732845,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.5188474566659391,-0.411648081177283,0.0436811838299036,0.05341322347521782,0.22279706711272285,71.0,16.0,-0.7746478873239436,21.0,4.0,50.0,12.0,2.0,0.0,100.0,100.0,60.0,15.0,60.0,15.0,0.0,0.0,0.0,557.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.11043625500836662,-0.7153255804119447,0.02112007513642311,0.006758756935596466,-0.6799842381270464,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,317.79800257384585,365.65462809510643,106.12350149452686,122.05431859195232,0.1501158261183746,78972.0,63161.0,-0.2002102010839285,25409.0,19479.0,54042.0,43885.0,0.0,0.0,400.0,400.0,75665.0,60283.0,75645.0,60264.0,20.0,19.0,-0.050000000000000044,703004.0,966772.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.05322796665252616,-0.2905497150197982,0.04099309258162975,0.030717596411705017,-0.2506640880890625,4.0,4.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.17904864391812425,-0.29049044862174245,0.03089219704270363,0.02669866941869259,-0.1357471473529106,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,2345.7582653173627,2077.3782175363594,184.95970053598285,163.8073330335319,-0.11436203368168774,344662.0,217627.0,-0.3685784913915662,100105.0,58410.0,247287.0,159992.0,6.0,0.0,500.0,400.0,324471.0,206266.0,318088.0,199884.0,6383.0,6382.0,-0.00015666614444620475,2855700.0,2768550.0,0.0,0.0,0.0,0.0,6382.0,6382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
