run_id,strategy,repeat,instance,status,wall_seconds,result,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_potential_iterations,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_iterations
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.033578164875507355,10628.0,373,281,155,111,100,280,0,0,0,0,0,0,0,0,0,280,0,0
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.007477985695004463,1610.0,3,3,0,6,100,2,0,0,0,0,0,0,0,0,0,2,0,0
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.031967418268322945,2020.0,15,11,2,11,100,10,0,0,0,0,0,0,0,0,0,10,0,0
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.023041941225528717,7542.0,1,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.5023485813289881,25395.0,168561,112098,101529,5737,120,112097,0,0,0,0,0,0,0,0,0,112097,0,0
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.026356080546975136,3323.0,1,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/d198.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/dantzig42.tsp,ok,0.02646912820637226,699.0,12,6,6,1,100,5,0,0,0,0,0,0,0,0,0,5,0,0
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/national/dj38.tsp,ok,0.018679380416870117,6656.0,1,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/eil101.tsp,ok,12.77651990018785,629.0,3747376,2747059,1933294,434226,500,2747057,26,0,0,0,0,0,1,0,0,2747030,0,832
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/eil51.tsp,ok,0.08678705058991909,426.0,18700,15848,7304,6720,400,15847,0,0,0,0,0,0,1,0,0,15846,0,0
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/eil76.tsp,ok,0.6692893076688051,538.0,130438,105325,72413,556,464,105323,4,0,0,0,0,0,1,0,0,105318,0,128
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/fri26.tsp,ok,0.011402079835534096,937.0,1,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/gr120.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/gr137.tsp,ok,336.2310226224363,69853.0,23999443,16170127,14229142,70,800,16170125,4,0,0,0,0,0,0,0,0,16170121,0,128
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/gr17.tsp,ok,0.03979567997157574,2085.0,1,0,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/gr21.tsp,ok,0.02900608256459236,2707.0,1,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/gr24.tsp,ok,0.027933647856116295,1272.0,1,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/gr48.tsp,ok,1.0733571778982878,5046.0,484831,358789,282944,1211,334,358788,3,0,0,0,0,0,2,0,0,358783,0,96
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/gr96.tsp,ok,9.143691446632147,55209.0,2490722,1672187,1488093,6435,684,1672185,0,0,0,0,0,0,1,0,0,1672184,0,0
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/hk48.tsp,ok,0.03802814148366451,11461.0,44,36,19,14,100,35,0,0,0,0,0,0,0,0,0,35,0,0
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/kroA100.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/kroA150.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/kroB100.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/kroB150.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/kroC100.tsp,ok,42.38162621483207,20749.0,11764483,8463763,6847237,3520,618,8463761,8,0,0,0,0,0,0,0,0,8463753,0,256
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/kroD100.tsp,ok,10.643882662057877,21294.0,2644580,1747525,1574155,127,378,1747524,5,0,0,0,0,0,13,0,0,1747506,0,160
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/kroE100.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/lin105.tsp,ok,0.18941230699419975,14379.0,348,225,212,3,333,224,0,0,0,0,0,0,0,0,0,224,0,0
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/pr107.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/pr124.tsp,ok,3.599265795201063,59030.0,660814,487141,383782,84,341,487140,0,0,0,0,0,0,0,0,0,487140,0,0
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/pr136.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/pr144.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/pr152.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/pr76.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/national/qa194.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P33-2-55fad69d5115,P33>2%,1,/home/wj/code/TSP/data/classic/tsplib/rat195.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
