run_id,strategy,repeat,instance,status,wall_seconds,result,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_potential_iterations,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_iterations
gap0.005-0.02-d375f30be6f6,gap0.005-0.02,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.05217136815190315,10628.0,265,207,114,74,100,206,1,0,0,0,0,0,1,0,0,204,0,32
gap0.005-0.02-d375f30be6f6,gap0.005-0.02,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.04773331619799137,1610.0,3,3,0,6,100,2,0,0,0,0,0,0,0,0,0,2,0,0
gap0.005-0.02-d375f30be6f6,gap0.005-0.02,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.04861496202647686,2020.0,15,11,2,11,100,10,0,0,0,0,0,0,0,0,0,10,0,0
gap0.005-0.02-d375f30be6f6,gap0.005-0.02,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.01163586787879467,7542.0,1,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
gap0.005-0.02-d375f30be6f6,gap0.005-0.02,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
gap0.005-0.02-d375f30be6f6,gap0.005-0.02,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.13075455464422703,25395.0,25075,17028,14788,742,120,17027,2,0,0,0,0,0,0,0,0,17025,0,64
gap0.005-0.02-d375f30be6f6,gap0.005-0.02,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
gap0.005-0.02-d375f30be6f6,gap0.005-0.02,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.009179314598441124,3323.0,1,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
gap0.005-0.02-d375f30be6f6,gap0.005-0.02,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
gap0.005-0.02-d375f30be6f6,gap0.005-0.02,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
gap0.005-0.02-d375f30be6f6,gap0.005-0.02,1,/home/wj/code/TSP/data/classic/tsplib/d198.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
gap0.005-0.02-d375f30be6f6,gap0.005-0.02,1,/home/wj/code/TSP/data/classic/tsplib/dantzig42.tsp,ok,0.07420027442276478,699.0,12,6,6,1,100,5,0,0,0,0,0,0,0,0,0,5,0,0
gap0.005-0.02-d375f30be6f6,gap0.005-0.02,1,/home/wj/code/TSP/data/classic/national/dj38.tsp,ok,0.015673523768782616,6656.0,1,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
