实例,Concorde_运行时间,Concorde_分支创建数（bbnodes）,Concorde_运行结果,P1_运行时间,P1_运行时间相对Concorde变化,P1_分支创建数,P1_运行结果,P2_运行时间,P2_运行时间相对P1变化,P2_分支创建数,P2_分支创建数相对P1变化,P2_运行结果
att48.tsp,99.440 ms,1,10628,33.508 ms,-66.30%,58,10628,32.339 ms,-3.49%,87,+50.00%,10628
bayg29.tsp,43.556 ms,1,1610,16.569 ms,-61.96%,3,1610,20.907 ms,+26.18%,3,0.00%,1610
bays29.tsp,48.677 ms,1,2020,18.575 ms,-61.84%,12,2020,20.787 ms,+11.91%,16,+33.33%,2020
berlin52.tsp,68.495 ms,1,7542,32.938 ms,-51.91%,1,7542,29.125 ms,-11.58%,1,0.00%,7542
brazil58.tsp,100.440 ms,1,25395,71.270 ms,-29.04%,336,25395,174.077 ms,+144.25%,1157,+244.35%,25395
burma14.tsp,29.444 ms,1,3323,7.747 ms,-73.69%,1,3323,7.496 ms,-3.25%,1,0.00%,3323
dantzig42.tsp,46.949 ms,1,699,24.226 ms,-48.40%,7,699,17.826 ms,-26.42%,7,0.00%,699
dj38.tsp,37.805 ms,1,6656,12.803 ms,-66.14%,1,6656,16.824 ms,+31.41%,1,0.00%,6656
eil101.tsp,73.995 ms,1,629,471.718 ms,+537.50%,1254,629,15.177 s,+3117.45%,3618557,+288461.16%,629
eil51.tsp,61.975 ms,1,426,74.255 ms,+19.82%,615,426,181.116 ms,+143.91%,1433,+133.01%,426
eil76.tsp,60.101 ms,1,538,184.582 ms,+207.12%,707,538,1.353 s,+633.26%,139255,+19596.61%,538
fri26.tsp,27.559 ms,1,937,13.104 ms,-52.45%,1,937,12.278 ms,-6.30%,1,0.00%,937
gr137.tsp,341.846 ms,1,69853,319.569 s,+93383.23%,24087201,69853,133.280 s,-58.29%,10343794,-57.06%,69853
gr17.tsp,16.621 ms,1,2085,12.157 ms,-26.85%,1,2085,14.712 ms,+21.01%,1,0.00%,2085
gr21.tsp,12.220 ms,1,2707,8.002 ms,-34.52%,1,2707,10.424 ms,+30.27%,1,0.00%,2707
gr24.tsp,26.098 ms,1,1272,10.029 ms,-61.57%,1,1272,15.655 ms,+56.10%,1,0.00%,1272
gr48.tsp,79.802 ms,1,5046,270.163 ms,+238.54%,79114,5046,330.234 ms,+22.24%,101045,+27.72%,5046
gr96.tsp,226.887 ms,1,55209,4.093 s,+1704.20%,553254,55209,8.937 s,+118.32%,2089043,+277.59%,55209
hk48.tsp,46.300 ms,1,11461,28.924 ms,-37.53%,16,11461,22.935 ms,-20.71%,26,+62.50%,11461
kroA100.tsp,111.944 ms,1,21282,731.568 s,+653411.69%,172105550,21282,785.633 s,+7.39%,188523346,+9.54%,21282
kroC100.tsp,101.080 ms,1,20749,32.761 s,+32310.99%,8892308,20749,74.492 s,+127.38%,20749226,+133.34%,20749
kroD100.tsp,136.404 ms,1,21294,220.600 s,+161625.75%,63405303,21294,295.920 s,+34.14%,85408958,+34.70%,21294
lin105.tsp,91.143 ms,1,14379,189.919 ms,+108.37%,74,14379,187.613 ms,-1.21%,57,-22.97%,14379
pr124.tsp,451.222 ms,1,59030,5.530 s,+1125.56%,395726,59030,6.254 s,+13.10%,487582,+23.21%,59030
rat99.tsp,1.152 s,1,1211,399.151 ms,-65.36%,1257,1211,787.325 ms,+97.25%,63304,+4936.12%,1211
rd100.tsp,91.907 ms,1,7910,824.350 ms,+796.94%,59691,7910,1.024 s,+24.27%,105911,+77.43%,7910
st70.tsp,66.025 ms,1,675,1.169 s,+1670.87%,140028,675,11.426 s,+877.28%,4444883,+3074.28%,675
swiss42.tsp,32.797 ms,1,1273,21.388 ms,-34.79%,5,1273,27.011 ms,+26.29%,5,0.00%,1273
ulysses16.tsp,47.218 ms,1,6859,16.668 ms,-64.70%,1,6859,17.788 ms,+6.71%,1,0.00%,6859
wi29.tsp,45.293 ms,1,27603,14.003 ms,-69.08%,1,27603,16.494 ms,+17.79%,1,0.00%,27603
bier127.tsp,205.029 ms,1,118282,"1,800.000 s",+877826.02%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
