实例,Concorde_运行时间,Concorde_分支创建数（bbnodes）,Concorde_运行结果,H0_运行时间,H0_运行时间相对Concorde变化,H0_分支创建数,H0_运行结果,H1_运行时间,H1_运行时间相对H0变化,H1_分支创建数,H1_分支创建数相对H0变化,H1_运行结果
att48.tsp,99.440 ms,1,10628,38.294 ms,-61.49%,2464,10628,39.417 ms,+2.93%,133,-94.60%,10628
bayg29.tsp,43.556 ms,1,1610,21.525 ms,-50.58%,7,1610,15.263 ms,-29.09%,5,-28.57%,1610
bays29.tsp,48.677 ms,1,2020,20.345 ms,-58.20%,128,2020,19.385 ms,-4.72%,28,-78.12%,2020
berlin52.tsp,68.495 ms,1,7542,27.029 ms,-60.54%,1,7542,29.567 ms,+9.39%,1,0.00%,7542
brazil58.tsp,100.440 ms,1,25395,13.166 s,+13008.75%,5522458,25395,123.750 ms,-99.06%,812,-99.99%,25395
brg180.tsp,209.315 ms,1,1950,95.549 s,+45548.22%,2405324,1950,98.756 s,+3.36%,2404701,-0.03%,1950
burma14.tsp,29.444 ms,1,3323,7.665 ms,-73.97%,1,3323,7.155 ms,-6.65%,1,0.00%,3323
dantzig42.tsp,46.949 ms,1,699,25.894 ms,-44.85%,235,699,24.225 ms,-6.44%,21,-91.06%,699
dj38.tsp,37.805 ms,1,6656,15.898 ms,-57.95%,1,6656,15.449 ms,-2.82%,1,0.00%,6656
eil101.tsp,73.995 ms,1,629,11.588 s,+15560.68%,3529534,629,1.518 s,-86.90%,156413,-95.57%,629
eil51.tsp,61.975 ms,1,426,99.029 ms,+59.79%,36993,426,81.527 ms,-17.67%,831,-97.75%,426
eil76.tsp,60.101 ms,1,538,1.013 s,+1585.04%,304712,538,85.523 ms,-91.56%,372,-99.88%,538
fri26.tsp,27.559 ms,1,937,12.885 ms,-53.24%,5,937,10.571 ms,-17.96%,5,0.00%,937
gr137.tsp,341.846 ms,1,69853,163.413 s,+47703.04%,12117424,69853,216.908 s,+32.74%,16389741,+35.26%,69853
gr17.tsp,16.621 ms,1,2085,17.999 ms,+8.29%,104,2085,11.803 ms,-34.42%,14,-86.54%,2085
gr21.tsp,12.220 ms,1,2707,14.194 ms,+16.15%,4,2707,12.048 ms,-15.12%,4,0.00%,2707
gr24.tsp,26.098 ms,1,1272,16.093 ms,-38.34%,5,1272,11.155 ms,-30.69%,5,0.00%,1272
gr48.tsp,79.802 ms,1,5046,170.475 ms,+113.62%,73447,5046,182.390 ms,+6.99%,34087,-53.59%,5046
gr96.tsp,226.887 ms,1,55209,4.686 s,+1965.56%,1426476,55209,3.554 s,-24.17%,436813,-69.38%,55209
hk48.tsp,46.300 ms,1,11461,24.583 ms,-46.90%,48,11461,30.531 ms,+24.19%,18,-62.50%,11461
kroC100.tsp,101.080 ms,1,20749,9.785 s,+9580.53%,2809120,20749,3.694 s,-62.25%,340702,-87.87%,20749
lin105.tsp,91.143 ms,1,14379,120.360 ms,+32.06%,291,14379,130.797 ms,+8.67%,77,-73.54%,14379
pr124.tsp,451.222 ms,1,59030,2.449 s,+442.82%,450183,59030,2.553 s,+4.25%,138048,-69.34%,59030
pr144.tsp,274.462 ms,1,58537,55.228 s,+20022.40%,3619441,58537,34.989 s,-36.65%,1973468,-45.48%,58537
pr76.tsp,215.731 ms,1,108159,"1,765.191 s",+818136.47%,543685176,108159,"1,778.714 s",+0.77%,541527434,-0.40%,108159
rat99.tsp,1.152 s,1,1211,445.980 ms,-61.30%,105242,1211,146.136 ms,-67.23%,391,-99.63%,1211
rd100.tsp,91.907 ms,1,7910,5.631 s,+6026.71%,1545224,7910,1.867 s,-66.85%,140782,-90.89%,7910
st70.tsp,66.025 ms,1,675,380.614 ms,+476.47%,122431,675,173.216 ms,-54.49%,967,-99.21%,675
swiss42.tsp,32.797 ms,1,1273,22.677 ms,-30.86%,6,1273,31.699 ms,+39.78%,6,0.00%,1273
ulysses16.tsp,47.218 ms,1,6859,18.821 ms,-60.14%,6,6859,21.075 ms,+11.98%,4,-33.33%,6859
wi29.tsp,45.293 ms,1,27603,21.363 ms,-52.83%,1255,27603,24.051 ms,+12.58%,251,-80.00%,27603
bier127.tsp,205.029 ms,1,118282,"1,800.000 s",+877826.02%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
ch130.tsp,213.878 ms,1,6110,"1,800.000 s",+841502.03%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
ch150.tsp,348.523 ms,1,6528,"1,800.000 s",+516365.06%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
d198.tsp,1.006 s,3,15780,"1,800.000 s",+178855.27%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
gr120.tsp,158.176 ms,1,6942,"1,800.000 s",+1137871.45%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
kroA100.tsp,111.944 ms,1,21282,"1,800.000 s",+1607845.26%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
kroA150.tsp,483.246 ms,1,26524,"1,800.000 s",+372381.38%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
kroB100.tsp,184.410 ms,1,22141,"1,800.000 s",+975984.56%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
kroB150.tsp,467.264 ms,1,26130,"1,800.000 s",+385121.58%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
kroD100.tsp,136.404 ms,1,21294,"1,800.000 s",+1319512.84%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
kroE100.tsp,256.750 ms,1,22068,"1,800.000 s",+700971.21%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
pr107.tsp,162.066 ms,1,44303,"1,800.000 s",+1110558.71%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
pr136.tsp,538.135 ms,1,96772,"1,800.000 s",+334388.25%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
pr152.tsp,858.483 ms,1,73682,"1,800.000 s",+209572.28%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
qa194.tsp,470.170 ms,1,9352,"1,800.000 s",+382740.57%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
rat195.tsp,2.873 s,3,2323,"1,800.000 s",+62551.95%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
si175.tsp,1.803 s,3,21407,"1,800.000 s",+99757.78%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
u159.tsp,122.766 ms,1,42080,"1,800.000 s",+1466099.02%,未记录,超时,94.864 s,-94.73%,4297386,未记录,42080
xqf131.tsp,360.661 ms,1,564,"1,800.000 s",+498983.65%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
