实例,Concorde_运行时间,Concorde_分支创建数（bbnodes）,Concorde_运行结果,B1_运行时间,B1_运行时间相对Concorde变化,B1_分支创建数,B1_运行结果,B2_运行时间,B2_运行时间相对B1变化,B2_分支创建数,B2_分支创建数相对B1变化,B2_运行结果
att48.tsp,99.440 ms,1,10628,32.413 ms,-67.40%,428,10628,36.612 ms,+12.96%,351,-17.99%,10628
bayg29.tsp,43.556 ms,1,1610,22.030 ms,-49.42%,2,1610,22.701 ms,+3.04%,3,+50.00%,1610
bays29.tsp,48.677 ms,1,2020,21.158 ms,-56.53%,17,2020,21.440 ms,+1.33%,16,-5.88%,2020
berlin52.tsp,68.495 ms,1,7542,23.535 ms,-65.64%,1,7542,23.777 ms,+1.03%,1,0.00%,7542
brazil58.tsp,100.440 ms,1,25395,500.038 ms,+397.85%,192583,25395,118.497 ms,-76.30%,33954,-82.37%,25395
burma14.tsp,29.444 ms,1,3323,7.823 ms,-73.43%,1,3323,7.576 ms,-3.16%,1,0.00%,3323
dantzig42.tsp,46.949 ms,1,699,24.615 ms,-47.57%,16,699,27.381 ms,+11.24%,11,-31.25%,699
dj38.tsp,37.805 ms,1,6656,16.429 ms,-56.54%,1,6656,15.039 ms,-8.46%,1,0.00%,6656
eil101.tsp,73.995 ms,1,629,13.064 s,+17555.23%,3903024,629,179.589 ms,-98.63%,5176,-99.87%,629
eil51.tsp,61.975 ms,1,426,91.230 ms,+47.20%,26804,426,94.490 ms,+3.57%,26263,-2.02%,426
eil76.tsp,60.101 ms,1,538,623.048 ms,+936.66%,157563,538,813.582 ms,+30.58%,236157,+49.88%,538
fri26.tsp,27.559 ms,1,937,14.842 ms,-46.14%,1,937,13.199 ms,-11.07%,1,0.00%,937
gr137.tsp,341.846 ms,1,69853,245.870 s,+71824.13%,20132314,69853,282.273 s,+14.81%,19780074,-1.75%,69853
gr17.tsp,16.621 ms,1,2085,26.041 ms,+56.68%,1,2085,8.578 ms,-67.06%,1,0.00%,2085
gr21.tsp,12.220 ms,1,2707,18.801 ms,+53.85%,1,2707,8.858 ms,-52.89%,1,0.00%,2707
gr24.tsp,26.098 ms,1,1272,21.615 ms,-17.18%,1,1272,12.364 ms,-42.80%,1,0.00%,1272
gr48.tsp,79.802 ms,1,5046,522.100 ms,+554.24%,260420,5046,440.450 ms,-15.64%,249469,-4.21%,5046
gr96.tsp,226.887 ms,1,55209,26.133 s,+11418.18%,8070780,55209,4.865 s,-81.38%,1414316,-82.48%,55209
hk48.tsp,46.300 ms,1,11461,30.774 ms,-33.53%,49,11461,27.857 ms,-9.48%,64,+30.61%,11461
kroA100.tsp,111.944 ms,1,21282,"1,651.103 s",+1474835.35%,396320221,21282,"1,234.440 s",-25.24%,350818907,-11.48%,21282
kroC100.tsp,101.080 ms,1,20749,77.513 s,+76584.80%,23155006,20749,4.408 s,-94.31%,1137227,-95.09%,20749
