实例,Concorde_运行时间,Concorde_分支创建数（bbnodes）,Concorde_运行结果,P0_运行时间,P0_运行时间相对Concorde变化,P0_分支创建数,P0_运行结果,P1_运行时间,P1_运行时间相对P0变化,P1_分支创建数,P1_分支创建数相对P0变化,P1_运行结果
att48.tsp,99.440 ms,1,10628,33.506 ms,-66.31%,373,10628,33.508 ms,+0.01%,58,-84.45%,10628
bayg29.tsp,43.556 ms,1,1610,17.491 ms,-59.84%,3,1610,16.569 ms,-5.27%,3,0.00%,1610
bays29.tsp,48.677 ms,1,2020,16.646 ms,-65.80%,15,2020,18.575 ms,+11.59%,12,-20.00%,2020
berlin52.tsp,68.495 ms,1,7542,25.282 ms,-63.09%,1,7542,32.938 ms,+30.28%,1,0.00%,7542
brazil58.tsp,100.440 ms,1,25395,433.479 ms,+331.58%,168561,25395,71.270 ms,-83.56%,336,-99.80%,25395
burma14.tsp,29.444 ms,1,3323,8.211 ms,-72.11%,1,3323,7.747 ms,-5.65%,1,0.00%,3323
dantzig42.tsp,46.949 ms,1,699,25.414 ms,-45.87%,12,699,24.226 ms,-4.68%,7,-41.67%,699
dj38.tsp,37.805 ms,1,6656,16.382 ms,-56.67%,1,6656,12.803 ms,-21.85%,1,0.00%,6656
eil101.tsp,73.995 ms,1,629,12.267 s,+16478.37%,3763318,629,471.718 ms,-96.15%,1254,-99.97%,629
eil51.tsp,61.975 ms,1,426,80.283 ms,+29.54%,18700,426,74.255 ms,-7.51%,615,-96.71%,426
eil76.tsp,60.101 ms,1,538,579.109 ms,+863.56%,132106,538,184.582 ms,-68.13%,707,-99.46%,538
fri26.tsp,27.559 ms,1,937,6.244 ms,-77.34%,1,937,13.104 ms,+109.85%,1,0.00%,937
gr137.tsp,341.846 ms,1,69853,319.344 s,+93317.43%,23991715,69853,319.569 s,+0.07%,24087201,+0.40%,69853
gr17.tsp,16.621 ms,1,2085,10.812 ms,-34.95%,1,2085,12.157 ms,+12.44%,1,0.00%,2085
gr21.tsp,12.220 ms,1,2707,7.432 ms,-39.18%,1,2707,8.002 ms,+7.67%,1,0.00%,2707
gr24.tsp,26.098 ms,1,1272,10.555 ms,-59.56%,1,1272,10.029 ms,-4.99%,1,0.00%,1272
gr48.tsp,79.802 ms,1,5046,268.904 ms,+236.96%,125818,5046,270.163 ms,+0.47%,79114,-37.12%,5046
gr96.tsp,226.887 ms,1,55209,7.895 s,+3379.78%,2490722,55209,4.093 s,-48.15%,553254,-77.79%,55209
hk48.tsp,46.300 ms,1,11461,27.675 ms,-40.23%,44,11461,28.924 ms,+4.52%,16,-63.64%,11461
kroA100.tsp,111.944 ms,1,21282,796.231 s,+711175.90%,192614325,21282,731.568 s,-8.12%,172105550,-10.65%,21282
kroC100.tsp,101.080 ms,1,20749,39.749 s,+39223.86%,11756617,20749,32.761 s,-17.58%,8892308,-24.36%,20749
kroD100.tsp,136.404 ms,1,21294,446.629 s,+327331.86%,129214031,21294,220.600 s,-50.61%,63405303,-50.93%,21294
lin105.tsp,91.143 ms,1,14379,190.396 ms,+108.90%,348,14379,189.919 ms,-0.25%,74,-78.74%,14379
pr124.tsp,451.222 ms,1,59030,3.536 s,+683.75%,660814,59030,5.530 s,+56.37%,395726,-40.12%,59030
rat99.tsp,1.152 s,1,1211,544.306 ms,-52.77%,91741,1211,399.151 ms,-26.67%,1257,-98.63%,1211
rd100.tsp,91.907 ms,1,7910,2.125 s,+2212.25%,525879,7910,824.350 ms,-61.21%,59691,-88.65%,7910
st70.tsp,66.025 ms,1,675,22.235 s,+33576.10%,8607708,675,1.169 s,-94.74%,140028,-98.37%,675
swiss42.tsp,32.797 ms,1,1273,14.168 ms,-56.80%,8,1273,21.388 ms,+50.96%,5,-37.50%,1273
ulysses16.tsp,47.218 ms,1,6859,14.887 ms,-68.47%,1,6859,16.668 ms,+11.96%,1,0.00%,6859
wi29.tsp,45.293 ms,1,27603,10.321 ms,-77.21%,1,27603,14.003 ms,+35.67%,1,0.00%,27603
bier127.tsp,205.029 ms,1,118282,"1,800.000 s",+877826.02%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
brg180.tsp,209.315 ms,1,1950,"1,800.000 s",+859848.28%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
ch130.tsp,213.878 ms,1,6110,"1,800.000 s",+841502.03%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
ch150.tsp,348.523 ms,1,6528,"1,800.000 s",+516365.06%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
d198.tsp,1.006 s,3,15780,"1,800.000 s",+178855.27%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
gr120.tsp,158.176 ms,1,6942,"1,800.000 s",+1137871.45%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
kroA150.tsp,483.246 ms,1,26524,"1,800.000 s",+372381.38%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
kroB100.tsp,184.410 ms,1,22141,"1,800.000 s",+975984.56%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
kroB150.tsp,467.264 ms,1,26130,"1,800.000 s",+385121.58%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
kroE100.tsp,256.750 ms,1,22068,"1,800.000 s",+700971.21%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
pr107.tsp,162.066 ms,1,44303,"1,800.000 s",+1110558.71%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
pr136.tsp,538.135 ms,1,96772,"1,800.000 s",+334388.25%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
pr144.tsp,274.462 ms,1,58537,"1,800.000 s",+655729.04%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
pr152.tsp,858.483 ms,1,73682,"1,800.000 s",+209572.28%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
pr76.tsp,215.731 ms,1,108159,"1,800.000 s",+834271.63%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
qa194.tsp,470.170 ms,1,9352,"1,800.000 s",+382740.57%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
rat195.tsp,2.873 s,3,2323,"1,800.000 s",+62551.95%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
si175.tsp,1.803 s,3,21407,"1,800.000 s",+99757.78%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
u159.tsp,122.766 ms,1,42080,"1,800.000 s",+1466099.02%,未记录,超时,479.670 s,-73.35%,24067660,未记录,42080
xqf131.tsp,360.661 ms,1,564,"1,800.000 s",+498983.65%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
