实例,Concorde_运行时间,Concorde_分支创建数（bbnodes）,Concorde_运行结果,B3_运行时间,B3_运行时间相对Concorde变化,B3_分支创建数,B3_运行结果,B4_运行时间,B4_运行时间相对B3变化,B4_分支创建数,B4_分支创建数相对B3变化,B4_运行结果
att48.tsp,99.440 ms,1,10628,35.482 ms,-64.32%,741,10628,39.733 ms,+11.98%,420,-43.32%,10628
bayg29.tsp,43.556 ms,1,1610,33.587 ms,-22.89%,2,1610,23.668 ms,-29.53%,3,+50.00%,1610
bays29.tsp,48.677 ms,1,2020,32.955 ms,-32.30%,17,2020,27.810 ms,-15.61%,16,-5.88%,2020
berlin52.tsp,68.495 ms,1,7542,33.456 ms,-51.16%,1,7542,28.090 ms,-16.04%,1,0.00%,7542
brazil58.tsp,100.440 ms,1,25395,193.346 ms,+92.50%,59479,25395,73.490 ms,-61.99%,12213,-79.47%,25395
burma14.tsp,29.444 ms,1,3323,9.952 ms,-66.20%,1,3323,8.680 ms,-12.77%,1,0.00%,3323
dantzig42.tsp,46.949 ms,1,699,30.202 ms,-35.67%,23,699,26.516 ms,-12.20%,13,-43.48%,699
dj38.tsp,37.805 ms,1,6656,15.639 ms,-58.63%,1,6656,11.558 ms,-26.09%,1,0.00%,6656
eil101.tsp,73.995 ms,1,629,57.601 s,+77745.03%,18038828,629,2.160 s,-96.25%,572177,-96.83%,629
eil51.tsp,61.975 ms,1,426,191.835 ms,+209.54%,68118,426,118.967 ms,-37.98%,37072,-45.58%,426
eil76.tsp,60.101 ms,1,538,1.056 s,+1657.62%,312206,538,221.374 ms,-79.04%,51579,-83.48%,538
fri26.tsp,27.559 ms,1,937,15.403 ms,-44.11%,1,937,7.326 ms,-52.44%,1,0.00%,937
gr17.tsp,16.621 ms,1,2085,15.054 ms,-9.42%,1,2085,19.751 ms,+31.20%,1,0.00%,2085
gr21.tsp,12.220 ms,1,2707,9.611 ms,-21.35%,1,2707,9.529 ms,-0.85%,1,0.00%,2707
