实例,Concorde_运行时间,Concorde_分支创建数（bbnodes）,Concorde_运行结果,P0_运行时间,P0_运行时间相对Concorde变化,P0_分支创建数,P0_运行结果,B2_运行时间,B2_运行时间相对P0变化,B2_分支创建数,B2_分支创建数相对P0变化,B2_运行结果
att48.tsp,99.440 ms,1,10628,33.506 ms,-66.31%,373,10628,36.612 ms,+9.27%,351,-5.90%,10628
bayg29.tsp,43.556 ms,1,1610,17.491 ms,-59.84%,3,1610,22.701 ms,+29.79%,3,0.00%,1610
bays29.tsp,48.677 ms,1,2020,16.646 ms,-65.80%,15,2020,21.440 ms,+28.80%,16,+6.67%,2020
berlin52.tsp,68.495 ms,1,7542,25.282 ms,-63.09%,1,7542,23.777 ms,-5.95%,1,0.00%,7542
brazil58.tsp,100.440 ms,1,25395,433.479 ms,+331.58%,168561,25395,118.497 ms,-72.66%,33954,-79.86%,25395
burma14.tsp,29.444 ms,1,3323,8.211 ms,-72.11%,1,3323,7.576 ms,-7.73%,1,0.00%,3323
dantzig42.tsp,46.949 ms,1,699,25.414 ms,-45.87%,12,699,27.381 ms,+7.74%,11,-8.33%,699
dj38.tsp,37.805 ms,1,6656,16.382 ms,-56.67%,1,6656,15.039 ms,-8.19%,1,0.00%,6656
eil101.tsp,73.995 ms,1,629,12.267 s,+16478.37%,3763318,629,179.589 ms,-98.54%,5176,-99.86%,629
eil51.tsp,61.975 ms,1,426,80.283 ms,+29.54%,18700,426,94.490 ms,+17.70%,26263,+40.44%,426
eil76.tsp,60.101 ms,1,538,579.109 ms,+863.56%,132106,538,813.582 ms,+40.49%,236157,+78.76%,538
fri26.tsp,27.559 ms,1,937,6.244 ms,-77.34%,1,937,13.199 ms,+111.38%,1,0.00%,937
gr137.tsp,341.846 ms,1,69853,319.344 s,+93317.43%,23991715,69853,282.273 s,-11.61%,19780074,-17.55%,69853
gr17.tsp,16.621 ms,1,2085,10.812 ms,-34.95%,1,2085,8.578 ms,-20.66%,1,0.00%,2085
gr21.tsp,12.220 ms,1,2707,7.432 ms,-39.18%,1,2707,8.858 ms,+19.18%,1,0.00%,2707
gr24.tsp,26.098 ms,1,1272,10.555 ms,-59.56%,1,1272,12.364 ms,+17.13%,1,0.00%,1272
gr48.tsp,79.802 ms,1,5046,268.904 ms,+236.96%,125818,5046,440.450 ms,+63.79%,249469,+98.28%,5046
gr96.tsp,226.887 ms,1,55209,7.895 s,+3379.78%,2490722,55209,4.865 s,-38.38%,1414316,-43.22%,55209
hk48.tsp,46.300 ms,1,11461,27.675 ms,-40.23%,44,11461,27.857 ms,+0.66%,64,+45.45%,11461
kroA100.tsp,111.944 ms,1,21282,796.231 s,+711175.90%,192614325,21282,"1,234.440 s",+55.04%,350818907,+82.14%,21282
