directory,selector,label,loaded_instances,numeric_fields,category,command,description,executable,executable_sha256,instance_count,kind,repeats,run_id,solver_args,strategy,timeout_seconds,workers,option:--branch-edge-order,option:--debug,option:--debug-interval,option:--exact-max-n,option:--hk-ascent,option:--hk-node-ascent,option:--hk-potential-update,option:--hk-update-budget,option:--hk-update-depth,option:--hk-update-gap-ratio,option:--hk-update-iterations,option:-s
/home/wj/code/TSP/outputs/phkmst-ablation_902/B1-ca7970a71cd0,B1-ca7970a71cd0,B1,50,wall_seconds branches,alpha,/home/wj/code/TSP/build/tsp_bb --hk-ascent polyak --hk-node-ascent polyak --branch-edge-order root-alpha-asc --hk-potential-update none --exact-max-n 199 --debug --debug-interval 5000000 '<instance>',one maximum-degree vertex; root alpha ascending,/home/wj/code/TSP/build/tsp_bb,010714c997bcb90e5fa0295816dab63caa8ca0bf51436c3909a06663a0bda15b,50,tsp_bb,1,B1-ca7970a71cd0,--hk-ascent polyak --hk-node-ascent polyak --branch-edge-order root-alpha-asc --hk-potential-update none --exact-max-n 199 --debug --debug-interval 5000000,B1,1800.0,10,root-alpha-asc,启用,5000000,199,polyak,polyak,none,,,,,
/home/wj/code/TSP/outputs/phkmst-ablation_902/B2-cdf2eed34c79,B2-cdf2eed34c79,B2,50,wall_seconds branches,alpha,/home/wj/code/TSP/build/tsp_bb --hk-ascent polyak --hk-node-ascent polyak --branch-edge-order root-alpha-desc --hk-potential-update none --exact-max-n 199 --debug --debug-interval 5000000 '<instance>',one maximum-degree vertex; root alpha descending,/home/wj/code/TSP/build/tsp_bb,010714c997bcb90e5fa0295816dab63caa8ca0bf51436c3909a06663a0bda15b,50,tsp_bb,1,B2-cdf2eed34c79,--hk-ascent polyak --hk-node-ascent polyak --branch-edge-order root-alpha-desc --hk-potential-update none --exact-max-n 199 --debug --debug-interval 5000000,B2,1800.0,10,root-alpha-desc,启用,5000000,199,polyak,polyak,none,,,,,
/home/wj/code/TSP/outputs/phkmst-ablation_902/B3-605f8c02f5b0,B3-605f8c02f5b0,B3,50,wall_seconds branches,alpha,/home/wj/code/TSP/build/tsp_bb --hk-ascent polyak --hk-node-ascent polyak --branch-edge-order root-alpha-global-asc --hk-potential-update none --exact-max-n 199 --debug --debug-interval 5000000 '<instance>',all violation-touching edges; root alpha ascending,/home/wj/code/TSP/build/tsp_bb,010714c997bcb90e5fa0295816dab63caa8ca0bf51436c3909a06663a0bda15b,50,tsp_bb,1,B3-605f8c02f5b0,--hk-ascent polyak --hk-node-ascent polyak --branch-edge-order root-alpha-global-asc --hk-potential-update none --exact-max-n 199 --debug --debug-interval 5000000,B3,1800.0,10,root-alpha-global-asc,启用,5000000,199,polyak,polyak,none,,,,,
/home/wj/code/TSP/outputs/phkmst-ablation_902/B4-0d755e2fb137,B4-0d755e2fb137,B4,50,wall_seconds branches,alpha,/home/wj/code/TSP/build/tsp_bb --hk-ascent polyak --hk-node-ascent polyak --branch-edge-order root-alpha-global-desc --hk-potential-update none --exact-max-n 199 --debug --debug-interval 5000000 '<instance>',all violation-touching edges; root alpha descending,/home/wj/code/TSP/build/tsp_bb,010714c997bcb90e5fa0295816dab63caa8ca0bf51436c3909a06663a0bda15b,50,tsp_bb,1,B4-0d755e2fb137,--hk-ascent polyak --hk-node-ascent polyak --branch-edge-order root-alpha-global-desc --hk-potential-update none --exact-max-n 199 --debug --debug-interval 5000000,B4,1800.0,10,root-alpha-global-desc,启用,5000000,199,polyak,polyak,none,,,,,
/home/wj/code/TSP/outputs/phkmst-ablation_902/Concorde-7c32cb4cd69e,Concorde-7c32cb4cd69e,Concorde,50,wall_seconds branches,reference,/home/wj/code/TSP/concorde/TSP/concorde -s 123 -o '<solution-file>' '<instance>',Concorde exact solver with a fixed seed,/home/wj/code/TSP/concorde/TSP/concorde,ff9a290ccfd0a933f25a27cfbcac57062d096489c6aac1791318f5b0adeee3c6,50,concorde,1,Concorde-7c32cb4cd69e,-s 123,Concorde,1800.0,10,,,,,,,,,,,,123
/home/wj/code/TSP/outputs/phkmst-ablation_902/H0-30d0496f897a,H0-30d0496f897a,H0,50,wall_seconds branches,core,/home/wj/code/TSP/build/tsp_bb --hk-ascent helsgaun --hk-node-ascent polyak --branch-edge-order weight --hk-potential-update none --exact-max-n 199 --debug --debug-interval 5000000 '<instance>',root Helsgaun; node potential updates disabled,/home/wj/code/TSP/build/tsp_bb,010714c997bcb90e5fa0295816dab63caa8ca0bf51436c3909a06663a0bda15b,50,tsp_bb,1,H0-30d0496f897a,--hk-ascent helsgaun --hk-node-ascent polyak --branch-edge-order weight --hk-potential-update none --exact-max-n 199 --debug --debug-interval 5000000,H0,1800.0,10,weight,启用,5000000,199,helsgaun,polyak,none,,,,,
/home/wj/code/TSP/outputs/phkmst-ablation_902/H1-a048c91415af,H1-a048c91415af,H1,50,wall_seconds branches,core,/home/wj/code/TSP/build/tsp_bb --hk-ascent helsgaun --hk-node-ascent polyak --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 2 --hk-update-gap-ratio 0.02 --hk-update-iterations 16 --hk-update-budget 5000 --exact-max-n 199 --debug --debug-interval 5000000 '<instance>',root Helsgaun; node Polyak; subtree adaptive,/home/wj/code/TSP/build/tsp_bb,010714c997bcb90e5fa0295816dab63caa8ca0bf51436c3909a06663a0bda15b,50,tsp_bb,1,H1-a048c91415af,--hk-ascent helsgaun --hk-node-ascent polyak --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 2 --hk-update-gap-ratio 0.02 --hk-update-iterations 16 --hk-update-budget 5000 --exact-max-n 199 --debug --debug-interval 5000000,H1,1800.0,10,weight,启用,5000000,199,helsgaun,polyak,subtree-adaptive,5000,2,0.02,16,
/home/wj/code/TSP/outputs/phkmst-ablation_902/H2-ff4c35fde321,H2-ff4c35fde321,H2,50,wall_seconds branches,core,/home/wj/code/TSP/build/tsp_bb --hk-ascent helsgaun --hk-node-ascent helsgaun --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 2 --hk-update-gap-ratio 0.02 --hk-update-iterations 16 --hk-update-budget 5000 --exact-max-n 199 --debug --debug-interval 5000000 '<instance>',root Helsgaun; node Helsgaun; subtree adaptive,/home/wj/code/TSP/build/tsp_bb,010714c997bcb90e5fa0295816dab63caa8ca0bf51436c3909a06663a0bda15b,50,tsp_bb,1,H2-ff4c35fde321,--hk-ascent helsgaun --hk-node-ascent helsgaun --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 2 --hk-update-gap-ratio 0.02 --hk-update-iterations 16 --hk-update-budget 5000 --exact-max-n 199 --debug --debug-interval 5000000,H2,1800.0,10,weight,启用,5000000,199,helsgaun,helsgaun,subtree-adaptive,5000,2,0.02,16,
/home/wj/code/TSP/outputs/phkmst-ablation_902/P0-f6b10fa8b249,P0-f6b10fa8b249,P0,50,wall_seconds branches,core,/home/wj/code/TSP/build/tsp_bb --hk-ascent polyak --hk-node-ascent polyak --branch-edge-order weight --hk-potential-update none --exact-max-n 199 --debug --debug-interval 5000000 '<instance>',root Polyak; node potential updates disabled,/home/wj/code/TSP/build/tsp_bb,010714c997bcb90e5fa0295816dab63caa8ca0bf51436c3909a06663a0bda15b,50,tsp_bb,1,P0-f6b10fa8b249,--hk-ascent polyak --hk-node-ascent polyak --branch-edge-order weight --hk-potential-update none --exact-max-n 199 --debug --debug-interval 5000000,P0,1800.0,10,weight,启用,5000000,199,polyak,polyak,none,,,,,
/home/wj/code/TSP/outputs/phkmst-ablation_902/P1-4643aba839a5,P1-4643aba839a5,P1,50,wall_seconds branches,core,/home/wj/code/TSP/build/tsp_bb --hk-ascent polyak --hk-node-ascent polyak --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 2 --hk-update-gap-ratio 0.02 --hk-update-iterations 16 --hk-update-budget 5000 --exact-max-n 199 --debug --debug-interval 5000000 '<instance>',root Polyak; node Polyak; subtree adaptive,/home/wj/code/TSP/build/tsp_bb,010714c997bcb90e5fa0295816dab63caa8ca0bf51436c3909a06663a0bda15b,50,tsp_bb,1,P1-4643aba839a5,--hk-ascent polyak --hk-node-ascent polyak --branch-edge-order weight --hk-potential-update subtree-adaptive --hk-update-depth 2 --hk-update-gap-ratio 0.02 --hk-update-iterations 16 --hk-update-budget 5000 --exact-max-n 199 --debug --debug-interval 5000000,P1,1800.0,10,weight,启用,5000000,199,polyak,polyak,subtree-adaptive,5000,2,0.02,16,
