instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P1:status,P1:successful_repeats,P1:result,H1:status,H1:successful_repeats,H1:result,result_match,P1:matches_reference,H1:matches_reference,P1:wall_vs_Concorde_symmetric_change,H1:wall_vs_Concorde_symmetric_change,P1:wall_seconds,H1:wall_seconds,symmetric_change:wall_seconds,P1:branches,H1:branches,symmetric_change:branches
att48.tsp,ok,0.09943951107561588,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.9676335262405322,-1.5227760025302337,0.03350801579654217,0.03941670246422291,0.17633651313637255,58.0,133.0,1.293103448275862
bayg29.tsp,ok,0.04355635307729244,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.6287229669139678,-1.8537518241618987,0.01656939648091793,0.015262838453054428,-0.08560386928566555,3.0,5.0,0.6666666666666667
bays29.tsp,ok,0.04867664724588394,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-1.6204853714810237,-1.5110153627610576,0.018575431779026985,0.019385244697332382,0.043595913566850886,12.0,28.0,1.3333333333333335
berlin52.tsp,ok,0.06849459186196327,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.0794858280958946,-1.3166118237135627,0.03293823450803757,0.02956671081483364,-0.11403107076463948,1.0,1.0,0.0
brazil58.tsp,ok,0.10043958947062492,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.4092773688921283,0.23208508769915914,0.07127027772367,0.12375012040138245,0.7363496306438979,336.0,812.0,1.4166666666666665
burma14.tsp,ok,0.029443856328725815,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-2.8005651482005347,-3.1149527917552824,0.007747231051325798,0.007155332714319229,-0.08272128783362698,1.0,1.0,0.0
dantzig42.tsp,ok,0.0469488725066185,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.9379804348081822,-0.9380068092278262,0.024225668981671333,0.02422533929347992,-1.3609229056354977e-05,7.0,21.0,2.0
dj38.tsp,ok,0.03780525363981724,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-1.9529113684639334,-1.4470344965278739,0.01280270516872406,0.015449415892362595,0.20673058457240967,1.0,1.0,0.0
eil101.tsp,ok,0.07399468496441841,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.375031220426811,19.510826269835007,0.4717184267938137,1.5176921281963587,2.2173687564249764,1254.0,156413.0,123.73125996810208
eil51.tsp,ok,0.06197481229901314,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.19815346463265704,0.3154800872336694,0.0742553360760212,0.0815266314893961,0.0979228671988055,615.0,831.0,0.35121951219512204
eil76.tsp,ok,0.06010119989514351,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,2.071182739940321,0.4229909541716004,0.18458176776766777,0.08552346378564835,-1.1582587935200346,707.0,372.0,-0.9005376344086022
fri26.tsp,ok,0.027558738365769386,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-1.1030419835577217,-1.6069097494347622,0.013104226440191269,0.010571420192718506,-0.23958997006072424,1.0,5.0,4.0
gr137.tsp,ok,0.3418461326509714,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,933.8323070343043,633.5189718616438,319.56880883686244,216.90785662457347,-0.4732929171393534,24087201.0,16389741.0,-0.4696511067502531
gr17.tsp,ok,0.016620619222521782,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.36713932886564127,-0.40813246072340026,0.012157224118709564,0.011803306639194489,-0.029984604342976562,1.0,14.0,13.0
gr21.tsp,ok,0.012220339849591255,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,-0.527184166574526,-0.01427240788909212,0.00800187699496746,0.012048380449414253,0.5056942836026745,1.0,4.0,3.0
