run_id,strategy,repeat,instance,status,wall_seconds,result,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_potential_iterations,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_iterations
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.037855733186006546,10628.0,36,14,23,0,100,30,30,0,0,0,0,0,0,0,0,0,0,293
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.007992267608642578,1610.0,3,1,2,1,100,2,2,0,0,0,0,0,0,0,0,0,0,7
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.017818940803408623,2020.0,9,3,5,1,100,7,7,0,0,0,0,0,0,0,0,0,0,51
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.02613103576004505,7542.0,1,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.06530142202973366,25395.0,125,38,88,0,120,107,107,0,0,0,0,0,0,0,0,0,0,909
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.0158414077013731,3323.0,1,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/d198.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/dantzig42.tsp,ok,0.01633933186531067,699.0,3,1,2,0,100,2,2,0,0,0,0,0,0,0,0,0,0,18
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/national/dj38.tsp,ok,0.010693453252315521,6656.0,1,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/eil101.tsp,ok,0.3820141199976206,629.0,669,145,528,0,400,333,306,0,0,0,0,0,1,0,0,0,26,3068
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/eil51.tsp,ok,0.09699368849396706,426.0,434,150,291,56,400,407,407,0,0,0,0,0,0,0,0,0,0,3861
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/eil76.tsp,ok,0.21125089935958385,538.0,461,132,336,0,364,331,322,0,0,0,0,0,0,0,0,0,9,3304
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/fri26.tsp,ok,0.013807134702801704,937.0,1,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/gr120.tsp,ok,8.329415824264288,6942.0,154825,102613,92654,0,800,107790,7945,0,0,99724,0,0,2,0,0,0,119,73685
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/gr137.tsp,ok,827.2166551835835,69853.0,51710562,35089684,30998003,104,800,35152332,101000,0,0,35051329,0,0,0,0,0,0,3,966821
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/gr17.tsp,ok,0.009133536368608475,2085.0,1,0,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/gr21.tsp,ok,0.003436719998717308,2707.0,1,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/gr24.tsp,ok,0.0117922592908144,1272.0,1,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/gr48.tsp,ok,0.30709226429462433,5046.0,76141,54505,45142,140,334,55153,1000,0,0,54146,0,0,0,0,0,0,7,9070
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/gr96.tsp,ok,6.644689491018653,55209.0,165701,104609,101272,36,319,112310,12710,0,0,99599,0,0,1,0,0,0,0,121302
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/hk48.tsp,ok,0.03168846294283867,11461.0,21,9,12,2,100,15,15,0,0,0,0,0,0,0,0,0,0,139
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/kroA100.tsp,ok,18.835439052432775,21282.0,193917,109099,125612,0,649,130611,29710,0,0,99747,0,0,1,0,0,0,1153,245993
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/kroA150.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/kroB100.tsp,ok,33.304045252501965,22141.0,203285,121148,122853,0,745,156484,56895,0,0,99583,0,0,0,0,0,0,6,544049
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/kroB150.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/kroC100.tsp,ok,9.443769689649343,20749.0,149187,104786,89973,2,618,115004,15358,0,0,99633,0,0,1,0,0,0,12,136192
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/kroD100.tsp,ok,6.63171966932714,21294.0,151698,102653,91987,229,778,108901,9220,0,0,99631,0,0,1,0,0,0,49,81140
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/kroE100.tsp,ok,1035.4116712734103,22068.0,259919559,155526294,162575256,189550,729,155591320,101000,0,0,155490260,0,0,0,0,0,0,60,922633
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/lin105.tsp,ok,0.20256413333117962,14379.0,65,18,47,0,333,33,31,0,0,0,0,0,2,0,0,0,0,303
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/pr107.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/pr124.tsp,ok,4.707467157393694,59030.0,137396,101073,79134,0,341,103376,3781,0,0,99594,0,0,1,0,0,0,0,36167
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/pr136.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/pr144.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/pr152.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/pr76.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/national/qa194.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/rat195.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/rat99.tsp,ok,0.5207065604627132,1211.0,844,262,590,0,400,694,693,0,0,0,0,0,1,0,0,0,0,6622
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/rd100.tsp,ok,0.6164533663541079,7910.0,667,227,449,0,400,552,541,0,0,0,0,0,0,0,0,0,11,5288
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/si175.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/st70.tsp,ok,1.5622678715735674,675.0,135075,100470,79176,10,734,101956,2361,0,0,99593,0,0,0,0,0,0,2,23465
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/swiss42.tsp,ok,0.023481104522943497,1273.0,8,4,3,5,100,3,3,0,0,0,0,0,0,0,0,0,0,36
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/u159.tsp,ok,33.99111851118505,42080.0,142118,107596,82624,0,800,120845,21221,0,0,99602,0,0,2,0,0,0,20,202229
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/tsplib/ulysses16.tsp,ok,0.018026506528258324,6859.0,1,0,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/national/wi29.tsp,ok,0.018890216946601868,27603.0,1,0,1,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
B0-11f8d0801281,B0,1,/home/wj/code/TSP/data/classic/vlsi/vlsi/xqf131.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
