instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,D0:status,D0:successful_repeats,D0:result,D1:status,D1:successful_repeats,D1:result,result_match,D0:matches_reference,D1:matches_reference,D0:wall_vs_Concorde_symmetric_change,D1:wall_vs_Concorde_symmetric_change,D0:wall_seconds,D1:wall_seconds,symmetric_change:wall_seconds,D0:branches,D1:branches,symmetric_change:branches,D0:nodes_expanded,D1:nodes_expanded,D0:pruned_by_bound,D1:pruned_by_bound,D0:pruned_infeasible,D1:pruned_infeasible,D0:root_potential_iterations,D1:root_potential_iterations,D0:search_node_potential_update_candidates,D1:search_node_potential_update_candidates,D0:search_node_potential_updates_triggered,D1:search_node_potential_updates_triggered,D0:search_node_potential_updates_skipped_total,D1:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,D0:search_node_potential_iterations,D1:search_node_potential_iterations,D0:search_node_potential_updates_skipped_budget_exhausted,D1:search_node_potential_updates_skipped_budget_exhausted,D0:search_node_potential_updates_skipped_depth_interval,D1:search_node_potential_updates_skipped_depth_interval,D0:search_node_potential_updates_skipped_gap_above_maximum,D1:search_node_potential_updates_skipped_gap_above_maximum,D0:search_node_potential_updates_skipped_gap_below_minimum,D1:search_node_potential_updates_skipped_gap_below_minimum,D0:search_node_potential_updates_skipped_invalid_state,D1:search_node_potential_updates_skipped_invalid_state,D0:search_node_potential_updates_skipped_numerically_unsafe,D1:search_node_potential_updates_skipped_numerically_unsafe,D0:search_node_potential_updates_skipped_strategy_none,D1:search_node_potential_updates_skipped_strategy_none,D0:search_node_potential_updates_skipped_update_depth_zero,D1:search_node_potential_updates_skipped_update_depth_zero,D0:search_node_potential_updates_skipped_zero_iteration_limit,D1:search_node_potential_updates_skipped_zero_iteration_limit,D0:search_node_potential_updates_skipped_zero_violation,D1:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09759184531867504,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.9498376860258146,-1.857289484664289,0.05005126632750034,0.03415539301931858,-0.4653986355592783,36.0,58.0,0.6111111111111112,14.0,28.0,23.0,33.0,0.0,4.0,100.0,100.0,30.0,52.0,30.0,33.0,0.0,19.0,,293.0,233.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.04106423445045948,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.0949624699396994,-0.4983449095084669,0.01960141770541668,0.027406396344304085,0.39818439442421383,3.0,3.0,0.0,1.0,3.0,2.0,0.0,1.0,6.0,100.0,100.0,2.0,2.0,2.0,0.0,0.0,2.0,,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04135925695300102,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.9613381657092983,-4.193308376294024,0.021087264642119408,0.007963951677083969,-1.6478393512604272,9.0,12.0,0.33333333333333326,3.0,7.0,5.0,3.0,1.0,7.0,100.0,100.0,7.0,8.0,7.0,3.0,0.0,5.0,,51.0,24.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.07185870036482811,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.4412890391702557,-1.5400364649008869,0.02943473681807518,0.02829042077064514,-0.040448887512391174,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.10223846696317196,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.44829165448188046,-0.4025316209230587,0.07059245742857456,0.07289565913379192,0.03262673930210935,125.0,336.0,1.6880000000000002,38.0,113.0,88.0,235.0,0.0,0.0,120.0,120.0,107.0,294.0,107.0,209.0,0.0,85.0,,909.0,1217.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.029878849163651466,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-2.409361848463266,-0.21444588635417805,0.008763765916228294,0.024602865800261497,1.807339451491187,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.045007988810539246,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-1.1151572256355151,-0.9230327844194384,0.02127879112958908,0.023404691368341446,0.09990700250806106,3.0,7.0,1.3333333333333335,1.0,3.0,2.0,4.0,0.0,0.0,100.0,100.0,2.0,4.0,2.0,2.0,0.0,2.0,,18.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.030624812468886375,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-1.6134290714931856,-0.28832304732316905,0.011718248948454857,0.023771066218614578,1.028551050858924,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07866623997688293,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.198063552029265,7.84329838108108,0.4875783547759056,0.6956690326333046,0.42678407648559147,669.0,1254.0,0.8744394618834082,145.0,421.0,528.0,898.0,0.0,0.0,400.0,400.0,333.0,800.0,306.0,541.0,27.0,259.0,8.592592592592593,3068.0,4675.0,0.0,0.0,0.0,234.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
eil51.tsp,ok,0.05912731774151325,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.5005911874836917,1.0973151648780357,0.08872593194246292,0.12400862015783787,0.3976592574790321,434.0,615.0,0.41705069124423955,150.0,252.0,291.0,387.0,56.0,88.0,400.0,400.0,407.0,550.0,407.0,410.0,0.0,140.0,,3861.0,3430.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
