instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,B0:status,B0:successful_repeats,B0:result,B1:status,B1:successful_repeats,B1:result,result_match,B0:matches_reference,B1:matches_reference,B0:wall_vs_Concorde_symmetric_change,B1:wall_vs_Concorde_symmetric_change,B0:wall_seconds,B1:wall_seconds,symmetric_change:wall_seconds,B0:branches,B1:branches,symmetric_change:branches,B0:nodes_expanded,B1:nodes_expanded,B0:pruned_by_bound,B1:pruned_by_bound,B0:pruned_infeasible,B1:pruned_infeasible,B0:root_potential_iterations,B1:root_potential_iterations,B0:search_node_potential_update_candidates,B1:search_node_potential_update_candidates,B0:search_node_potential_updates_triggered,B1:search_node_potential_updates_triggered,B0:search_node_potential_updates_skipped_total,B1:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,B0:search_node_potential_iterations,B1:search_node_potential_iterations,B0:search_node_potential_updates_skipped_budget_exhausted,B1:search_node_potential_updates_skipped_budget_exhausted,B0:search_node_potential_updates_skipped_depth_interval,B1:search_node_potential_updates_skipped_depth_interval,B0:search_node_potential_updates_skipped_gap_above_maximum,B1:search_node_potential_updates_skipped_gap_above_maximum,B0:search_node_potential_updates_skipped_gap_below_minimum,B1:search_node_potential_updates_skipped_gap_below_minimum,B0:search_node_potential_updates_skipped_invalid_state,B1:search_node_potential_updates_skipped_invalid_state,B0:search_node_potential_updates_skipped_numerically_unsafe,B1:search_node_potential_updates_skipped_numerically_unsafe,B0:search_node_potential_updates_skipped_strategy_none,B1:search_node_potential_updates_skipped_strategy_none,B0:search_node_potential_updates_skipped_update_depth_zero,B1:search_node_potential_updates_skipped_update_depth_zero,B0:search_node_potential_updates_skipped_zero_iteration_limit,B1:search_node_potential_updates_skipped_zero_iteration_limit,B0:search_node_potential_updates_skipped_zero_violation,B1:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09759184531867504,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.5779937965842934,-0.9047368430428124,0.037855733186006546,0.05123639293015003,0.3534645512846566,36.0,56.0,0.5555555555555556,14.0,21.0,23.0,38.0,0.0,0.0,100.0,100.0,30.0,46.0,30.0,46.0,0.0,0.0,0.0,293.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.04106423445045948,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-4.137995430239842,-0.9258725512626078,0.007992267608642578,0.021322404965758324,1.667879256533023,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04135925695300102,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-1.321083919033466,-1.11499019542382,0.017818940803408623,0.019555294886231422,0.09744429267595134,9.0,9.0,0.0,3.0,3.0,5.0,5.0,1.0,1.0,100.0,100.0,7.0,6.0,7.0,6.0,0.0,0.0,0.0,51.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.07185870036482811,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.7499369341762447,-1.049850148708909,0.02613103576004505,0.03505558706820011,0.3415307142857651,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.10223846696317196,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.5656392125215861,-0.006243440445154125,0.06530142202973366,0.10160410776734352,0.5559248881453176,125.0,253.0,1.024,38.0,71.0,88.0,184.0,0.0,0.0,120.0,120.0,107.0,214.0,107.0,214.0,0.0,0.0,0.0,909.0,1116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.029878849163651466,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.8861233627022698,-3.8409052363342706,0.0158414077013731,0.006172161549329758,-1.5665899336502846,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.045007988810539246,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-1.7545795128926764,-1.30896496631174,0.01633933186531067,0.01949271187186241,0.19299320391714114,3.0,5.0,0.6666666666666667,1.0,2.0,2.0,3.0,0.0,0.0,100.0,100.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,18.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.030624812468886375,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-1.8638842613591629,-1.076590710367399,0.010693453252315521,0.014747640118002892,0.37912793650727283,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07866623997688293,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,3.8561380346878185,13.474862465008917,0.3820141199976206,1.1386830043047667,1.980735383058247,669.0,1360.0,1.0328849028400597,145.0,424.0,528.0,962.0,0.0,0.0,400.0,400.0,333.0,897.0,306.0,868.0,27.0,29.0,0.07407407407407418,3068.0,5456.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
eil51.tsp,ok,0.05912731774151325,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.6404209120054138,1.8383569017094614,0.09699368849396706,0.16782443039119244,0.7302613499602193,434.0,829.0,0.9101382488479262,150.0,305.0,291.0,546.0,56.0,106.0,400.0,400.0,407.0,765.0,407.0,765.0,0.0,0.0,0.0,3861.0,4367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.04187852516770363,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,4.044372945647542,8.87107862249427,0.21125089935958385,0.4133862145245075,0.9568494892930894,461.0,921.0,0.9978308026030369,132.0,313.0,336.0,628.0,0.0,0.0,364.0,364.0,331.0,728.0,322.0,718.0,9.0,10.0,0.11111111111111116,3304.0,4235.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
