run_id,strategy,repeat,instance,status,wall_seconds,result,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_potential_iterations,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_iterations
PAA-af1c91938b9a,PAA,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.055406881496310234,10628.0,29,6,23,0,100,18,18,0,0,0,0,0,0,0,0,0,0,206
PAA-af1c91938b9a,PAA,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.06613024324178696,1610.0,3,1,2,3,100,2,2,0,0,0,0,0,0,0,0,0,0,7
PAA-af1c91938b9a,PAA,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.014483975246548653,2020.0,13,4,5,11,100,6,6,0,0,0,0,0,0,0,0,0,0,105
PAA-af1c91938b9a,PAA,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.05320773273706436,7542.0,1,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
PAA-af1c91938b9a,PAA,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,ok,622.0656562466174,118282.0,562892,65625,497743,0,400,509783,509774,0,0,0,0,0,0,0,0,0,9,4610688
PAA-af1c91938b9a,PAA,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.09143008664250374,25395.0,143,18,125,0,120,127,127,0,0,0,0,0,0,0,0,0,0,1230
PAA-af1c91938b9a,PAA,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
PAA-af1c91938b9a,PAA,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.05074954964220524,3323.0,1,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
PAA-af1c91938b9a,PAA,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,ok,1260.2806940078735,6110.0,1058261,145611,913781,0,400,1003796,1003789,0,0,0,0,0,0,0,0,0,7,10616547
PAA-af1c91938b9a,PAA,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,ok,1221.32664331235,6528.0,896169,85809,810913,0,400,851229,851104,0,0,0,0,0,0,0,0,0,125,7560443
PAA-af1c91938b9a,PAA,1,/home/wj/code/TSP/data/classic/tsplib/d198.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
PAA-af1c91938b9a,PAA,1,/home/wj/code/TSP/data/classic/tsplib/dantzig42.tsp,ok,0.06025751680135727,699.0,3,1,2,0,100,2,2,0,0,0,0,0,0,0,0,0,0,18
PAA-af1c91938b9a,PAA,1,/home/wj/code/TSP/data/classic/national/dj38.tsp,ok,0.06202927231788635,6656.0,1,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
PAA-af1c91938b9a,PAA,1,/home/wj/code/TSP/data/classic/tsplib/eil101.tsp,ok,2.411712747067213,629.0,5015,487,4545,0,400,3497,3475,0,0,0,0,0,0,0,0,0,22,34703
PAA-af1c91938b9a,PAA,1,/home/wj/code/TSP/data/classic/tsplib/eil51.tsp,ok,0.08337857387959957,426.0,257,54,203,19,400,211,211,0,0,0,0,0,0,0,0,0,0,2729
PAA-af1c91938b9a,PAA,1,/home/wj/code/TSP/data/classic/tsplib/eil76.tsp,ok,0.5664876364171505,538.0,2391,215,2182,0,364,1422,1415,0,0,0,0,0,0,0,0,0,7,12091
