run_id,strategy,repeat,instance,status,wall_seconds,result,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_potential_iterations,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_iterations
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.049978092312812805,10628.0,36,16,22,0,100,32,21,0,0,0,0,0,0,0,11,0,0,216
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.011165732517838478,1610.0,3,3,0,6,100,2,0,0,0,0,0,0,0,0,2,0,0,0
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.04298749938607216,2020.0,11,6,3,7,100,7,3,0,0,0,0,0,0,0,4,0,0,40
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.030771244317293167,7542.0,1,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.06976642273366451,25395.0,236,77,166,2,120,217,158,0,0,0,0,0,0,0,59,0,0,1348
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.035711560398340225,3323.0,1,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,ok,1340.7544642351568,6110.0,2193440,692734,1541530,5,800,2052354,1514447,0,0,0,0,0,7,0,437023,0,100877,12529379
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,ok,1579.4171776250005,6528.0,3224929,494992,2739359,2208,800,3133953,2679367,0,0,0,0,0,3,0,109027,0,345556,12486455
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/d198.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/dantzig42.tsp,ok,0.06840419955551624,699.0,7,3,4,0,100,4,2,0,0,0,0,0,0,0,2,0,0,6
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/national/dj38.tsp,ok,0.03274603188037872,6656.0,1,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/eil101.tsp,ok,0.6259624809026718,629.0,1289,313,1007,0,400,925,699,0,0,0,0,0,1,0,129,0,96,5938
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/eil51.tsp,ok,0.1007517408579588,426.0,546,214,355,70,400,506,381,0,0,0,0,0,0,0,125,0,0,4603
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/eil76.tsp,ok,2.1012391075491905,538.0,25790,5283,20521,29,364,24383,19155,0,0,0,0,0,0,0,129,0,5099,61964
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/fri26.tsp,ok,0.037132130935788155,937.0,1,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/gr120.tsp,ok,22.586600137874484,6942.0,56158,12091,44630,0,400,52886,42743,0,0,0,0,0,1,0,5138,0,5004,229061
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/gr137.tsp,ok,114.3083029370755,69853.0,169144,73402,106463,3,400,153021,100512,0,0,0,0,0,1,0,52492,0,16,1146896
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/gr17.tsp,ok,0.041893379762768745,2085.0,1,0,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/gr21.tsp,ok,0.03402314707636833,2707.0,1,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/gr24.tsp,ok,0.050426995381712914,1272.0,1,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/gr48.tsp,ok,0.30666688084602356,5046.0,3336,1194,2248,0,334,3065,2100,0,0,0,0,0,0,0,563,0,402,17233
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/gr96.tsp,ok,4.5602311212569475,55209.0,13595,5784,8549,2,319,12061,7962,0,0,0,0,0,1,0,4087,0,11,95406
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/hk48.tsp,ok,0.0466387365013361,11461.0,18,7,11,1,100,14,10,0,0,0,0,0,0,0,4,0,0,85
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/kroA100.tsp,ok,95.75364961661398,21282.0,629077,136977,493058,0,649,576986,443076,0,0,0,0,0,2,0,8818,0,125090,1432403
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/kroA150.tsp,ok,238.67724318429828,26524.0,234218,86812,152338,0,400,220734,157029,0,0,0,0,0,1,0,63682,0,22,1646405
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/kroB100.tsp,ok,123.4296899214387,22141.0,342681,137340,218184,15,745,314597,214765,0,0,0,0,0,0,0,96127,0,3705,2350671
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/kroB150.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/kroC100.tsp,ok,12.450974468141794,20749.0,30174,11125,20075,0,301,27992,19723,0,0,0,0,0,0,0,7742,0,527,184181
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/kroD100.tsp,ok,35.444608982652426,21294.0,89965,26638,64960,0,378,82919,61742,0,0,0,0,0,3,0,13198,0,7976,523059
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/kroE100.tsp,ok,63.438431119546294,22068.0,516817,131876,388503,1729,729,456163,334256,0,0,0,0,0,2,0,26766,0,95139,1364863
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/lin105.tsp,ok,0.24291890300810337,14379.0,60,21,39,0,333,36,23,0,0,0,0,0,1,0,12,0,0,274
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/pr107.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/pr124.tsp,ok,4.031585955992341,59030.0,7172,3155,4481,0,341,6352,4094,0,0,0,0,0,0,0,2188,0,70,47092
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/pr136.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/pr144.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/pr152.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/pr76.tsp,ok,1394.4431774765253,108159.0,14120905,3585869,10703057,648,361,12800686,9505077,0,0,0,0,0,0,0,724028,0,2571581,44460883
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/national/qa194.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/rat195.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
PR1532-d3f8007dc23b,PR1532,1,/home/wj/code/TSP/data/classic/tsplib/rat99.tsp,ok,0.30752754770219326,1211.0,455,176,293,0,400,390,270,0,0,0,0,0,0,0,120,0,0,2917
