run_id,strategy,repeat,instance,status,wall_seconds,result,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_potential_iterations,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_iterations
PS-PS64-13781675bf8e,PS-PS64,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.05216161161661148,10628.0,48,18,31,2,100,42,42,0,0,0,0,0,0,0,0,0,0,376
PS-PS64-13781675bf8e,PS-PS64,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.017229631543159485,1610.0,2,1,1,3,100,1,1,0,0,0,0,0,0,0,0,0,0,2
PS-PS64-13781675bf8e,PS-PS64,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.028911428526043892,2020.0,10,3,6,2,100,7,7,0,0,0,0,0,0,0,0,0,0,47
PS-PS64-13781675bf8e,PS-PS64,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.04913710802793503,7542.0,1,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
PS-PS64-13781675bf8e,PS-PS64,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
PS-PS64-13781675bf8e,PS-PS64,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.056827811524271965,25395.0,86,28,59,0,100,82,82,0,0,0,0,0,0,0,0,0,0,734
PS-PS64-13781675bf8e,PS-PS64,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
PS-PS64-13781675bf8e,PS-PS64,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.019372455775737762,3323.0,1,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
PS-PS64-13781675bf8e,PS-PS64,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,ok,739.3458348196,6110.0,842923,266389,582268,1,400,794139,793794,0,0,0,0,0,2,0,0,0,343,7183071
PS-PS64-13781675bf8e,PS-PS64,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,ok,559.4640149530023,6528.0,421296,133187,290578,0,400,402315,402195,0,0,0,0,0,1,0,0,0,119,3690548
PS-PS64-13781675bf8e,PS-PS64,1,/home/wj/code/TSP/data/classic/tsplib/d198.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
PS-PS64-13781675bf8e,PS-PS64,1,/home/wj/code/TSP/data/classic/tsplib/dantzig42.tsp,ok,0.038575559854507446,699.0,5,1,4,0,100,4,4,0,0,0,0,0,0,0,0,0,0,20
