instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,PS-PS32:status,PS-PS32:successful_repeats,PS-PS32:result,result_match,P32:matches_reference,PS-PS32:matches_reference,P32:wall_vs_Concorde_relative_change,PS-PS32:wall_vs_Concorde_relative_change,P32:wall_seconds,PS-PS32:wall_seconds,relative_change:wall_seconds,P32:branches,PS-PS32:branches,relative_change:branches,P32:nodes_expanded,PS-PS32:nodes_expanded,P32:pruned_by_bound,PS-PS32:pruned_by_bound,P32:pruned_infeasible,PS-PS32:pruned_infeasible,P32:root_potential_iterations,PS-PS32:root_potential_iterations,P32:search_node_potential_update_candidates,PS-PS32:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,PS-PS32:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,PS-PS32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,PS-PS32:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,PS-PS32:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,PS-PS32:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS32:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS32:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,PS-PS32:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS32:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,PS-PS32:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,PS-PS32:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS32:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,PS-PS32:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.6340954076313081,-0.5210508706051253,0.03277943842113018,0.042906494811177254,0.308945390093047,29.0,36.0,0.24137931034482762,9.0,14.0,20.0,22.0,1.0,12.0,100.0,100.0,26.0,29.0,26.0,29.0,0.0,0.0,0.0,332.0,481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.33553282791345895,-0.37395255298626806,0.015848398208618164,0.014932038262486458,-0.057820350931957365,3.0,2.0,-0.33333333333333337,1.0,1.0,2.0,1.0,1.0,3.0,100.0,100.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.4686148999616049,-0.07292797150608443,0.021672306582331657,0.037810223177075386,0.744633088934805,10.0,10.0,0.0,3.0,3.0,5.0,6.0,3.0,2.0,100.0,100.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,82.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.5577923517784235,-0.453618103041157,0.02518514357507229,0.031118201091885567,0.23557767296930132,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.4132228188333388,-0.5046554495059217,0.053270261734724045,0.044969597831368446,-0.1558217217833724,88.0,39.0,-0.5568181818181819,26.0,11.0,62.0,28.0,0.0,0.0,120.0,100.0,82.0,36.0,82.0,36.0,0.0,0.0,0.0,1173.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.6582272780728018,-0.12415618470471046,0.008114388212561607,0.0207943357527256,1.562649852090463,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1549.4207871066144,877.3153951411576,286.81496934965253,162.4810536801815,-0.43349869761468796,205952.0,113490.0,-0.4489492697327533,62812.0,36203.0,143850.0,77705.0,0.0,0.0,400.0,400.0,195829.0,108208.0,194122.0,107863.0,1707.0,345.0,-0.7978910369068541,3035962.0,1751614.0,0.0,0.0,0.0,0.0,1704.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,359.77294266837913,1220.1626618386238,120.09638583473861,406.5083737112582,2.384851016837787,60352.0,205249.0,2.400864925768823,18041.0,62794.0,42505.0,143090.0,0.0,0.0,400.0,400.0,58114.0,196919.0,57710.0,196798.0,404.0,121.0,-0.7004950495049505,895438.0,3116069.0,0.0,0.0,0.0,0.0,404.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.3739902850894712,-0.16440210125926968,0.027104808017611504,0.03617950342595577,0.3348002097062608,3.0,5.0,0.6666666666666667,1.0,1.0,2.0,4.0,0.0,0.0,100.0,100.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,18.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.47175517465320815,-0.1348287721410214,0.0198777224868536,0.03255617991089821,0.6378224382813311,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.986287841349052,60.63379310734367,0.5506241209805012,4.8576660342514515,7.822109038015558,695.0,5915.0,7.510791366906474,154.0,1737.0,548.0,4218.0,0.0,0.0,400.0,400.0,379.0,5210.0,352.0,5145.0,27.0,65.0,1.4074074074074074,5416.0,79837.0,0.0,0.0,0.0,0.0,26.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.0216468982411304,1.541978014840164,0.11640988104045391,0.14637143537402153,0.2573798209033098,429.0,576.0,0.3426573426573427,135.0,190.0,298.0,391.0,51.0,31.0,400.0,400.0,411.0,532.0,411.0,532.0,0.0,0.0,0.0,6174.0,8052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,5.701447384056891,21.197272804212673,0.2606097925454378,0.8632204849272966,2.312310241668269,454.0,1815.0,2.997797356828194,135.0,578.0,328.0,1248.0,0.0,0.0,364.0,400.0,304.0,1651.0,295.0,1642.0,9.0,9.0,0.0,5287.0,25896.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
