instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,PSD-PSD64:status,PSD-PSD64:successful_repeats,PSD-PSD64:result,result_match,P32:matches_reference,PSD-PSD64:matches_reference,P32:wall_vs_Concorde_relative_change,PSD-PSD64:wall_vs_Concorde_relative_change,P32:wall_seconds,PSD-PSD64:wall_seconds,relative_change:wall_seconds,P32:branches,PSD-PSD64:branches,relative_change:branches,P32:nodes_expanded,PSD-PSD64:nodes_expanded,P32:pruned_by_bound,PSD-PSD64:pruned_by_bound,P32:pruned_infeasible,PSD-PSD64:pruned_infeasible,P32:root_potential_iterations,PSD-PSD64:root_potential_iterations,P32:search_node_potential_update_candidates,PSD-PSD64:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,PSD-PSD64:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,PSD-PSD64:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,PSD-PSD64:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD64:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,PSD-PSD64:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD64:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD64:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,PSD-PSD64:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD64:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,PSD-PSD64:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD64:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD64:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,PSD-PSD64:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.6340954076313081,-0.41929117625765355,0.03277943842113018,0.052022602409124374,0.5870498371805457,29.0,35.0,0.2068965517241379,9.0,12.0,20.0,23.0,1.0,2.0,100.0,100.0,26.0,28.0,26.0,28.0,0.0,0.0,0.0,332.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.33553282791345895,-0.3223779531580594,0.015848398208618164,0.01616215892136097,0.019797629300618347,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.4686148999616049,-0.5858862261094391,0.021672306582331657,0.01688944734632969,-0.2206899029335988,10.0,12.0,0.19999999999999996,3.0,3.0,5.0,8.0,3.0,1.0,100.0,100.0,7.0,10.0,7.0,10.0,0.0,0.0,0.0,82.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.5577923517784235,-0.127651021110316,0.02518514357507229,0.04968307167291641,0.9727134580281545,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.4132228188333388,-0.31793155566259157,0.053270261734724045,0.06192122958600521,0.16239769750637545,88.0,71.0,-0.19318181818181823,26.0,21.0,62.0,50.0,0.0,2.0,120.0,100.0,82.0,60.0,82.0,60.0,0.0,0.0,0.0,1173.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.6582272780728018,0.0828165804346177,0.008114388212561607,0.02570829540491104,2.1682358215389432,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,359.77294266837913,319.03731713371747,120.09638583473861,106.53605238720775,-0.11291208601556812,60352.0,78972.0,0.30852332979851527,18041.0,25409.0,42505.0,54042.0,0.0,0.0,400.0,400.0,58114.0,75665.0,57710.0,75645.0,404.0,20.0,-0.9504950495049505,895438.0,703004.0,0.0,0.0,0.0,0.0,404.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.3739902850894712,0.037369878528987766,0.027104808017611504,0.04491577483713627,0.6571146642304933,3.0,4.0,0.33333333333333326,1.0,1.0,2.0,3.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.47175517465320815,-0.3245821767004977,0.0198777224868536,0.025415806099772453,0.27860755257960457,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.986287841349052,2380.8376800304413,0.5506241209805012,187.724483827129,339.93036733088695,695.0,344662.0,494.9165467625899,154.0,100105.0,548.0,247287.0,0.0,6.0,400.0,500.0,379.0,324471.0,352.0,318088.0,27.0,6383.0,235.40740740740742,5416.0,2855700.0,0.0,0.0,0.0,0.0,26.0,6382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
