instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPS32:status,PPS32:successful_repeats,PPS32:result,PSD-PSD32:status,PSD-PSD32:successful_repeats,PSD-PSD32:result,result_match,PPS32:matches_reference,PSD-PSD32:matches_reference,PPS32:wall_vs_Concorde_relative_change,PSD-PSD32:wall_vs_Concorde_relative_change,PPS32:wall_seconds,PSD-PSD32:wall_seconds,relative_change:wall_seconds,PPS32:branches,PSD-PSD32:branches,relative_change:branches,PPS32:nodes_expanded,PSD-PSD32:nodes_expanded,PPS32:pruned_by_bound,PSD-PSD32:pruned_by_bound,PPS32:pruned_infeasible,PSD-PSD32:pruned_infeasible,PPS32:root_potential_iterations,PSD-PSD32:root_potential_iterations,PPS32:search_node_potential_update_candidates,PSD-PSD32:search_node_potential_update_candidates,PPS32:search_node_potential_updates_triggered,PSD-PSD32:search_node_potential_updates_triggered,PPS32:search_node_potential_updates_skipped_total,PSD-PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPS32:search_node_potential_iterations,PSD-PSD32:search_node_potential_iterations,PPS32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD32:search_node_potential_updates_skipped_budget_exhausted,PPS32:search_node_potential_updates_skipped_depth_interval,PSD-PSD32:search_node_potential_updates_skipped_depth_interval,PPS32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD32:search_node_potential_updates_skipped_gap_above_maximum,PPS32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD32:search_node_potential_updates_skipped_gap_below_minimum,PPS32:search_node_potential_updates_skipped_invalid_state,PSD-PSD32:search_node_potential_updates_skipped_invalid_state,PPS32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD32:search_node_potential_updates_skipped_numerically_unsafe,PPS32:search_node_potential_updates_skipped_strategy_none,PSD-PSD32:search_node_potential_updates_skipped_strategy_none,PPS32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD32:search_node_potential_updates_skipped_update_depth_zero,PPS32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PPS32:search_node_potential_updates_skipped_zero_violation,PSD-PSD32:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.46090673789621206,-0.4932716847462204,0.04829448647797108,0.04539508372545242,-0.06003589568844836,31.0,36.0,0.16129032258064524,11.0,13.0,20.0,23.0,1.0,0.0,100.0,100.0,26.0,33.0,26.0,33.0,0.0,0.0,0.0,409.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.30995310214405036,0.07361611575046534,0.016458507627248764,0.02560712769627571,0.555859636622245,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.16003142668289427,-0.5385454805692518,0.03425774723291397,0.01882021874189377,-0.45062882816147987,8.0,12.0,0.5,2.0,3.0,5.0,8.0,1.0,3.0,100.0,100.0,6.0,10.0,6.0,10.0,0.0,0.0,0.0,48.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.3891269183020174,-0.2657716443859537,0.03479118086397648,0.04181665927171707,0.20193273793172462,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.2201997691935873,-0.4701168437203571,0.0707937590777874,0.04810516722500324,-0.32048858753007003,88.0,17.0,-0.8068181818181819,27.0,5.0,61.0,12.0,0.0,0.0,120.0,100.0,81.0,16.0,81.0,16.0,0.0,0.0,0.0,1228.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.464778544502806,-0.7731789182233978,0.012707259505987167,0.005385199561715126,-0.5762107825705591,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1344.1061275218076,4900.016349865168,248.83346246741712,906.6473217196763,2.643590828698913,184428.0,578298.0,2.1356301646170865,56123.0,186453.0,128942.0,393788.0,0.0,0.0,400.0,400.0,175536.0,550509.0,173832.0,550488.0,1704.0,21.0,-0.9876760563380281,2714691.0,9007739.0,0.0,0.0,0.0,0.0,1704.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,271.56664336259684,254.8578137686346,90.73371335677803,85.17157216370106,-0.06130181370628829,50100.0,43137.0,-0.13898203592814373,15092.0,13504.0,35171.0,29782.0,0.0,0.0,400.0,400.0,47921.0,41237.0,47517.0,41217.0,404.0,20.0,-0.9504950495049505,741158.0,665531.0,0.0,0.0,0.0,0.0,404.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.5807154384204738,-0.2912168176455807,0.018154075369238853,0.030688712373375893,0.6904585746832548,3.0,4.0,0.33333333333333326,1.0,1.0,2.0,3.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.5815692455123966,-0.48191737384617217,0.01574544608592987,0.019495321437716484,0.23815618378303682,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
