instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPS32:status,PPS32:successful_repeats,PPS32:result,hybrid-reverse:status,hybrid-reverse:successful_repeats,hybrid-reverse:result,result_match,PPS32:matches_reference,hybrid-reverse:matches_reference,PPS32:wall_vs_Concorde_relative_change,hybrid-reverse:wall_vs_Concorde_relative_change,PPS32:wall_seconds,hybrid-reverse:wall_seconds,relative_change:wall_seconds,PPS32:branches,hybrid-reverse:branches,relative_change:branches,PPS32:nodes_expanded,hybrid-reverse:nodes_expanded,PPS32:pruned_by_bound,hybrid-reverse:pruned_by_bound,PPS32:pruned_infeasible,hybrid-reverse:pruned_infeasible,PPS32:root_potential_iterations,hybrid-reverse:root_potential_iterations,PPS32:search_node_potential_update_candidates,hybrid-reverse:search_node_potential_update_candidates,PPS32:search_node_potential_updates_triggered,hybrid-reverse:search_node_potential_updates_triggered,PPS32:search_node_potential_updates_skipped_total,hybrid-reverse:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPS32:search_node_potential_iterations,hybrid-reverse:search_node_potential_iterations,PPS32:search_node_potential_updates_skipped_budget_exhausted,hybrid-reverse:search_node_potential_updates_skipped_budget_exhausted,PPS32:search_node_potential_updates_skipped_depth_interval,hybrid-reverse:search_node_potential_updates_skipped_depth_interval,PPS32:search_node_potential_updates_skipped_gap_above_maximum,hybrid-reverse:search_node_potential_updates_skipped_gap_above_maximum,PPS32:search_node_potential_updates_skipped_gap_below_minimum,hybrid-reverse:search_node_potential_updates_skipped_gap_below_minimum,PPS32:search_node_potential_updates_skipped_invalid_state,hybrid-reverse:search_node_potential_updates_skipped_invalid_state,PPS32:search_node_potential_updates_skipped_numerically_unsafe,hybrid-reverse:search_node_potential_updates_skipped_numerically_unsafe,PPS32:search_node_potential_updates_skipped_strategy_none,hybrid-reverse:search_node_potential_updates_skipped_strategy_none,PPS32:search_node_potential_updates_skipped_update_depth_zero,hybrid-reverse:search_node_potential_updates_skipped_update_depth_zero,PPS32:search_node_potential_updates_skipped_zero_iteration_limit,hybrid-reverse:search_node_potential_updates_skipped_zero_iteration_limit,PPS32:search_node_potential_updates_skipped_zero_violation,hybrid-reverse:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.46090673789621206,-0.5467292109735737,0.04829448647797108,0.04060610942542553,-0.15919782180627395,31.0,32.0,0.032258064516129004,11.0,11.0,20.0,21.0,1.0,0.0,100.0,210.0,26.0,19.0,26.0,19.0,0.0,0.0,0.0,409.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.30995310214405036,-0.27863283452803,0.016458507627248764,0.017205536365509033,0.04538860722848814,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,127.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.16003142668289427,-0.2982100464453783,0.03425774723291397,0.02862219326198101,-0.16450451142095135,8.0,11.0,0.375,2.0,3.0,5.0,6.0,1.0,3.0,100.0,125.0,6.0,8.0,6.0,8.0,0.0,0.0,0.0,48.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.3891269183020174,-0.47719920383352976,0.03479118086397648,0.029775181785225868,-0.1441744417460772,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.2201997691935873,-0.25515462833497404,0.0707937590777874,0.067620400339365,-0.044825402404971015,88.0,36.0,-0.5909090909090908,27.0,11.0,61.0,25.0,0.0,1.0,120.0,190.0,81.0,30.0,81.0,30.0,0.0,0.0,0.0,1228.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.464778544502806,-0.6537369980169335,0.012707259505987167,0.008220996707677841,-0.3530472322687337,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1344.1061275218076,9378.945144450085,248.83346246741712,1735.2119511552155,5.973386673757467,184428.0,1149734.0,5.234053397531828,56123.0,368633.0,128942.0,785204.0,0.0,3.0,400.0,586.0,175536.0,1090625.0,173832.0,1090594.0,1704.0,31.0,-0.9818075117370892,2714691.0,17677823.0,0.0,0.0,0.0,0.0,1704.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,271.56664336259684,1156.2084709906856,90.73371335677803,385.2188969478011,3.2455982753958823,50100.0,185347.0,2.6995409181636725,15092.0,57361.0,35171.0,128620.0,0.0,0.0,400.0,616.0,47921.0,178853.0,47517.0,178817.0,404.0,36.0,-0.9108910891089109,741158.0,2871263.0,0.0,0.0,0.0,0.0,404.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.5807154384204738,-0.08107596292910668,0.018154075369238853,0.03978733718395233,1.1916476810143646,3.0,6.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,100.0,201.0,2.0,5.0,2.0,5.0,0.0,0.0,0.0,17.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.5815692455123966,-0.3227350126124129,0.01574544608592987,0.025485314428806305,0.6185831947676592,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
