instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPSD32:status,PPSD32:successful_repeats,PPSD32:result,PS-PS64:status,PS-PS64:successful_repeats,PS-PS64:result,result_match,PPSD32:matches_reference,PS-PS64:matches_reference,PPSD32:wall_vs_Concorde_relative_change,PS-PS64:wall_vs_Concorde_relative_change,PPSD32:wall_seconds,PS-PS64:wall_seconds,relative_change:wall_seconds,PPSD32:branches,PS-PS64:branches,relative_change:branches,PPSD32:nodes_expanded,PS-PS64:nodes_expanded,PPSD32:pruned_by_bound,PS-PS64:pruned_by_bound,PPSD32:pruned_infeasible,PS-PS64:pruned_infeasible,PPSD32:root_potential_iterations,PS-PS64:root_potential_iterations,PPSD32:search_node_potential_update_candidates,PS-PS64:search_node_potential_update_candidates,PPSD32:search_node_potential_updates_triggered,PS-PS64:search_node_potential_updates_triggered,PPSD32:search_node_potential_updates_skipped_total,PS-PS64:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPSD32:search_node_potential_iterations,PS-PS64:search_node_potential_iterations,PPSD32:search_node_potential_updates_skipped_budget_exhausted,PS-PS64:search_node_potential_updates_skipped_budget_exhausted,PPSD32:search_node_potential_updates_skipped_depth_interval,PS-PS64:search_node_potential_updates_skipped_depth_interval,PPSD32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS64:search_node_potential_updates_skipped_gap_above_maximum,PPSD32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS64:search_node_potential_updates_skipped_gap_below_minimum,PPSD32:search_node_potential_updates_skipped_invalid_state,PS-PS64:search_node_potential_updates_skipped_invalid_state,PPSD32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS64:search_node_potential_updates_skipped_numerically_unsafe,PPSD32:search_node_potential_updates_skipped_strategy_none,PS-PS64:search_node_potential_updates_skipped_strategy_none,PPSD32:search_node_potential_updates_skipped_update_depth_zero,PS-PS64:search_node_potential_updates_skipped_update_depth_zero,PPSD32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS64:search_node_potential_updates_skipped_zero_iteration_limit,PPSD32:search_node_potential_updates_skipped_zero_violation,PS-PS64:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.5634221594340482,-0.41773946854541055,0.03911067731678486,0.05216161161661148,0.3336923621679557,22.0,48.0,1.1818181818181817,7.0,18.0,15.0,31.0,0.0,2.0,100.0,100.0,18.0,42.0,18.0,42.0,0.0,0.0,0.0,239.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.05677113810373291,-0.2776226091195334,0.02249722369015217,0.017229631543159485,-0.23414409793589308,3.0,2.0,-0.33333333333333337,1.0,1.0,2.0,1.0,1.0,3.0,100.0,100.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.42514663494221305,-0.29111826278382813,0.023445140570402145,0.028911428526043892,0.23315227900755486,11.0,10.0,-0.09090909090909094,3.0,3.0,6.0,6.0,4.0,2.0,100.0,100.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,85.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.796202674470476,-0.1372372003092569,0.011606911197304726,0.04913710802793503,3.2334353380204455,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.3095341858634837,-0.3740360574135003,0.06268358044326305,0.056827811524271965,-0.09341790749000589,47.0,86.0,0.8297872340425532,14.0,28.0,33.0,59.0,0.0,0.0,120.0,100.0,44.0,82.0,44.0,82.0,0.0,0.0,0.0,622.0,734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.4872933351252089,-0.1840448389394953,0.01217271201312542,0.019372455775737762,0.5914658750530781,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1349.9951620100796,3995.643389165524,249.92288493923843,739.3458348196,1.9582958559371253,181331.0,842923.0,3.6485322421428217,55789.0,266389.0,126175.0,582268.0,0.0,1.0,400.0,400.0,172406.0,794139.0,170699.0,793794.0,1707.0,345.0,-0.7978910369068541,2686763.0,7183071.0,0.0,0.0,0.0,0.0,1704.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,330.24310084220025,1679.6457379109356,110.2663047555834,559.4640149530023,4.0737531850107045,59460.0,421296.0,6.085368314833501,17996.0,133187.0,41645.0,290578.0,0.0,0.0,400.0,400.0,56929.0,402315.0,56524.0,402195.0,405.0,120.0,-0.7037037037037037,889991.0,3690548.0,0.0,0.0,0.0,0.0,404.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.1409575759812769,-0.10906304109058784,0.03719459846615791,0.038575559854507446,0.037128009046959454,3.0,5.0,0.6666666666666667,1.0,1.0,2.0,4.0,0.0,0.0,100.0,100.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.4511072985676893,-0.24042936652820068,0.020654696971178055,0.028582455590367317,0.3838235259636975,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.761656648855711,89.6118300061855,0.5329198185354471,7.141569368541241,12.400832770992583,789.0,11690.0,13.816223067173638,195.0,3795.0,604.0,7993.0,0.0,0.0,400.0,400.0,417.0,10699.0,390.0,10635.0,27.0,64.0,1.3703703703703702,6613.0,103185.0,0.0,0.0,0.0,0.0,26.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.0286548361477266,1.4516972664503758,0.11681341007351875,0.14117291569709778,0.2085334689591538,369.0,791.0,1.143631436314363,113.0,263.0,258.0,533.0,49.0,32.0,400.0,400.0,343.0,730.0,342.0,730.0,1.0,0.0,-1.0,5109.0,6467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,3.8779305100274932,21.761494852824356,0.189695805311203,0.8851622808724642,3.666219579396195,309.0,2612.0,7.453074433656958,82.0,869.0,233.0,1772.0,0.0,0.0,364.0,400.0,179.0,2382.0,170.0,2371.0,9.0,11.0,0.22222222222222232,3030.0,22675.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
