instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPSD32:status,PPSD32:successful_repeats,PPSD32:result,PSD-PSD32:status,PSD-PSD32:successful_repeats,PSD-PSD32:result,result_match,PPSD32:matches_reference,PSD-PSD32:matches_reference,PPSD32:wall_vs_Concorde_relative_change,PSD-PSD32:wall_vs_Concorde_relative_change,PPSD32:wall_seconds,PSD-PSD32:wall_seconds,relative_change:wall_seconds,PPSD32:branches,PSD-PSD32:branches,relative_change:branches,PPSD32:nodes_expanded,PSD-PSD32:nodes_expanded,PPSD32:pruned_by_bound,PSD-PSD32:pruned_by_bound,PPSD32:pruned_infeasible,PSD-PSD32:pruned_infeasible,PPSD32:root_potential_iterations,PSD-PSD32:root_potential_iterations,PPSD32:search_node_potential_update_candidates,PSD-PSD32:search_node_potential_update_candidates,PPSD32:search_node_potential_updates_triggered,PSD-PSD32:search_node_potential_updates_triggered,PPSD32:search_node_potential_updates_skipped_total,PSD-PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPSD32:search_node_potential_iterations,PSD-PSD32:search_node_potential_iterations,PPSD32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD32:search_node_potential_updates_skipped_budget_exhausted,PPSD32:search_node_potential_updates_skipped_depth_interval,PSD-PSD32:search_node_potential_updates_skipped_depth_interval,PPSD32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD32:search_node_potential_updates_skipped_gap_above_maximum,PPSD32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD32:search_node_potential_updates_skipped_gap_below_minimum,PPSD32:search_node_potential_updates_skipped_invalid_state,PSD-PSD32:search_node_potential_updates_skipped_invalid_state,PPSD32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD32:search_node_potential_updates_skipped_numerically_unsafe,PPSD32:search_node_potential_updates_skipped_strategy_none,PSD-PSD32:search_node_potential_updates_skipped_strategy_none,PPSD32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD32:search_node_potential_updates_skipped_update_depth_zero,PPSD32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PPSD32:search_node_potential_updates_skipped_zero_violation,PSD-PSD32:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.5634221594340482,-0.4932716847462204,0.03911067731678486,0.04539508372545242,0.16068262786056464,22.0,36.0,0.6363636363636365,7.0,13.0,15.0,23.0,0.0,0.0,100.0,100.0,18.0,33.0,18.0,33.0,0.0,0.0,0.0,239.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.05677113810373291,0.07361611575046534,0.02249722369015217,0.02560712769627571,0.13823501286004714,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.42514663494221305,-0.5385454805692518,0.023445140570402145,0.01882021874189377,-0.1972656898609948,11.0,12.0,0.09090909090909083,3.0,3.0,6.0,8.0,4.0,3.0,100.0,100.0,7.0,10.0,7.0,10.0,0.0,0.0,0.0,85.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.796202674470476,-0.2657716443859537,0.011606911197304726,0.04181665927171707,2.6027379343978647,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.3095341858634837,-0.4701168437203571,0.06268358044326305,0.04810516722500324,-0.2325714822792423,47.0,17.0,-0.6382978723404256,14.0,5.0,33.0,12.0,0.0,0.0,120.0,100.0,44.0,16.0,44.0,16.0,0.0,0.0,0.0,622.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.4872933351252089,-0.7731789182233978,0.01217271201312542,0.005385199561715126,-0.5576006763399604,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1349.9951620100796,4900.016349865168,249.92288493923843,906.6473217196763,2.627708290659743,181331.0,578298.0,2.1891844196524586,55789.0,186453.0,126175.0,393788.0,0.0,0.0,400.0,400.0,172406.0,550509.0,170699.0,550488.0,1707.0,21.0,-0.9876977152899824,2686763.0,9007739.0,0.0,0.0,0.0,0.0,1704.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,330.24310084220025,254.8578137686346,110.2663047555834,85.17157216370106,-0.2275829651452218,59460.0,43137.0,-0.27452068617558023,17996.0,13504.0,41645.0,29782.0,0.0,0.0,400.0,400.0,56929.0,41237.0,56524.0,41217.0,405.0,20.0,-0.9506172839506173,889991.0,665531.0,0.0,0.0,0.0,0.0,404.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.1409575759812769,-0.2912168176455807,0.03719459846615791,0.030688712373375893,-0.17491480916782853,3.0,4.0,0.33333333333333326,1.0,1.0,2.0,3.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.4511072985676893,-0.48191737384617217,0.020654696971178055,0.019495321437716484,-0.05613132621017802,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
